another_name,another_name_kana,post_id,prefecture_id
,,0000000,1
青葉,ｱｵﾊﾞ,0920064,1
青山南,ｱｵﾔﾏﾐﾅﾐ,0920065,1
青山北,ｱｵﾔﾏｷﾀ,0920066,1
昭野,ｱｷﾉ,0920006,1
稲美,ｲﾅﾐ,0920027,1
大通南,ｵｵﾄﾞｵﾘﾐﾅﾐ,0920031,1
大通北,ｵｵﾄﾞｵﾘｷﾀ,0920050,1
上町,ｶﾐﾏﾁ,0920181,1
駒生,ｺﾏｵｲ,0000000,1
栄町,ｻｶｴﾏﾁ,0920012,1
栄森,ｻｶｴﾓﾘ,0920174,1
新町,ｼﾝﾏﾁ,0920015,1
高野,ﾀｶﾉ,0920001,1
田中,ﾀﾅｶ,0920018,1
登栄,ﾄｲｴ,0920184,1
豊岡,ﾄﾖｵｶ,0920007,1
豊富,ﾄﾖﾄﾐ,0920023,1
豊幌,ﾄﾖﾎﾛ,0920183,1
鳥里,ﾄﾘｻﾄ,0920003,1
仲町,ﾅｶﾏﾁ,0920004,1
西一条南,ﾆｼ1ｼﾞｮｳﾐﾅﾐ,0920032,1
西一条北,ﾆｼ1ｼﾞｮｳｷﾀ,0920061,1
西二条南,ﾆｼ2ｼﾞｮｳﾐﾅﾐ,0920033,1
西二条北,ﾆｼ2ｼﾞｮｳｷﾀ,0920062,1
野崎,ﾉｻﾞｷ,0000000,1
東町,ﾋｶﾞｼﾏﾁ,0920011,1
東一条南,ﾋｶﾞｼ1ｼﾞｮｳﾐﾅﾐ,0920041,1
東一条北,ﾋｶﾞｼ1ｼﾞｮｳｷﾀ,0920051,1
東二条南,ﾋｶﾞｼ2ｼﾞｮｳﾐﾅﾐ,0920042,1
東二条北,ﾋｶﾞｼ2ｼﾞｮｳｷﾀ,0920052,1
東三条南,ﾋｶﾞｼ3ｼﾞｮｳﾐﾅﾐ,0920043,1
東三条北,ﾋｶﾞｼ3ｼﾞｮｳｷﾀ,0920053,1
東四条南,ﾋｶﾞｼ4ｼﾞｮｳﾐﾅﾐ,0920044,1
日並,ﾋﾅﾐ,0920021,1
日の出,ﾋﾉﾃﾞ,0920069,1
美和,ﾋﾞﾜ,0920173,1
福住,ﾌｸｽﾞﾐ,0920024,1
古梅,ﾌﾙｳﾒ,0920022,1
報徳,ﾎｳﾄｸ,0920017,1
美里,ﾐｻﾄ,0920014,1
瑞治,ﾐｽﾞﾊﾙ,0920016,1
三橋南,ﾐﾂﾊｼﾐﾅﾐ,0920067,1
三橋町,ﾐﾂﾊｼﾁｮｳ,0920068,1
美富,ﾐﾄﾐ,0000000,1
美禽,ﾐﾄﾞﾘ,0920002,1
都橋,ﾐﾔｺﾊﾞｼ,0920026,1
美芳,ﾐﾖｼ,0920013,1
元町,ﾓﾄﾏﾁ,0920063,1
