another_name,another_name_kana,post_id,prefecture_id
,,0000000,1
稲富,ｲﾅﾄﾐ,0993115,1
卯原内,ｳﾊﾞﾗﾅｲ,0930135,1
浦士別,ｳﾗｼﾍﾞﾂ,0993502,1
大曲,ｵｵﾏｶﾞﾘ,0930045,1
音根内,ｵﾝﾈﾅｲ,0993501,1
海岸町,ｶｲｶﾞﾝﾁｮｳ,0930083,1
嘉多山,ｶﾀﾔﾏ,0930133,1
桂町,ｶﾂﾗﾏﾁ,0930041,1
北浜,ｷﾀﾊﾏ,0993112,1
北一条東,ｷﾀ1ｼﾞｮｳﾋｶﾞｼ,0930051,1
北一条西,ｷﾀ1ｼﾞｮｳﾆｼ,0930071,1
北二条東,ｷﾀ2ｼﾞｮｳﾋｶﾞｼ,0930052,1
北二条西,ｷﾀ2ｼﾞｮｳﾆｼ,0930072,1
北三条東,ｷﾀ3ｼﾞｮｳﾋｶﾞｼ,0930053,1
北三条西,ｷﾀ3ｼﾞｮｳﾆｼ,0930073,1
北四条東,ｷﾀ4ｼﾞｮｳﾋｶﾞｼ,0930054,1
北四条西,ｷﾀ4ｼﾞｮｳﾆｼ,0930074,1
北五条東,ｷﾀ5ｼﾞｮｳﾋｶﾞｼ,0930055,1
北五条西,ｷﾀ5ｼﾞｮｳﾆｼ,0930075,1
北六条東,ｷﾀ6ｼﾞｮｳﾋｶﾞｼ,0930056,1
北六条西,ｷﾀ6ｼﾞｮｳﾆｼ,0930076,1
北七条東,ｷﾀ7ｼﾞｮｳﾋｶﾞｼ,0930057,1
北七条西,ｷﾀ7ｼﾞｮｳﾆｼ,0930077,1
北八条東,ｷﾀ8ｼﾞｮｳﾋｶﾞｼ,0930058,1
北八条西,ｷﾀ8ｼﾞｮｳﾆｼ,0930078,1
北九条東,ｷﾀ9ｼﾞｮｳﾋｶﾞｼ,0930059,1
北九条西,ｷﾀ9ｼﾞｮｳﾆｼ,0930079,1
北十条東,ｷﾀ10ｼﾞｮｳﾋｶﾞｼ,0930060,1
北十条西,ｷﾀ10ｼﾞｮｳﾆｼ,0930080,1
北十一条東,ｷﾀ11ｼﾞｮｳﾋｶﾞｼ,0930061,1
北十一条西,ｷﾀ11ｼﾞｮｳﾆｼ,0930081,1
北十二条東,ｷﾀ12ｼﾞｮｳﾋｶﾞｼ,0930062,1
北十二条西,ｷﾀ12ｼﾞｮｳﾆｼ,0930082,1
清浦,ｷﾖｳﾗ,0993504,1
向陽ケ丘,ｺｳﾖｳｶﾞｵｶ,0930084,1
越歳,ｺｼﾄｼ,0930134,1
駒場南,ｺﾏﾊﾞﾐﾅﾐ,0930035,1
駒場北,ｺﾏﾊﾞｷﾀ,0930033,1
栄,ｻｶｴ,0993503,1
三眺,ｻﾝﾁｮｳ,0930088,1
潮見,ｼｵﾐ,0930042,1
昭和,ｼｮｳﾜ,0993117,1
新町,ｼﾝﾏﾁ,0930046,1
