another_name,another_name_kana,post_id,prefecture_id
,,0000000,1
赤平,ｱｶﾋﾞﾗ,0791143,1
泉町,ｲｽﾞﾐﾏﾁ,0791134,1
エルム町,ｴﾙﾑﾁｮｳ,0791274,1
大町,ｵｵﾏﾁ,0791141,1
北文京町,ｷﾀﾌﾞﾝｷｮｳﾁｮｳ,0791121,1
共和町,ｷｮｳﾜﾁｮｳ,0791101,1
幸町,ｻｲﾜｲﾁｮｳ,0791154,1
桜木町,ｻｸﾗｷﾞﾁｮｳ,0791152,1
昭和町,ｼｮｳﾜﾁｮｳ,0791155,1
住吉町,ｽﾐﾖｼﾁｮｳ,0791156,1
豊丘町,ﾄﾖｵｶﾁｮｳ,0791124,1
豊里,ﾄﾖｻﾄ,0791133,1
錦町,ﾆｼｷﾏﾁ,0791135,1
西豊里町,ﾆｼﾄﾖｻﾄﾁｮｳ,0791131,1
西文京町,ﾆｼﾌﾞﾝｷｮｳﾁｮｳ,0791122,1
東大町,ﾋｶﾞｼｵｵﾏﾁ,0791142,1
東豊里町,ﾋｶﾞｼﾄﾖｻﾄﾁｮｳ,0791132,1
東文京町,ﾋｶﾞｼﾌﾞﾝｷｮｳﾁｮｳ,0791123,1
百戸町東,ﾋｬｯｺﾁｮｳﾋｶﾞｼ,0791272,1
百戸町西,ﾋｬｯｺﾁｮｳﾆｼ,0791273,1
百戸町北,ﾋｬｯｺﾁｮｳｷﾀ,0791271,1
平岸桂町,ﾋﾗｷﾞｼｶﾂﾗﾁｮｳ,0791287,1
平岸新光町,ﾋﾗｷﾞｼｼﾝｺｳﾁｮｳ,0791281,1
平岸仲町,ﾋﾗｷﾞｼﾅｶﾏﾁ,0791282,1
平岸東町,ﾋﾗｷﾞｼﾋｶﾞｼﾏﾁ,0791283,1
平岸西町,ﾋﾗｷﾞｼﾆｼﾏﾁ,0791286,1
平岸南町,ﾋﾗｷﾞｼﾐﾅﾐﾏﾁ,0791284,1
平岸曙町,ﾋﾗｷﾞｼｱｹﾎﾞﾉﾁｮｳ,0791285,1
豊栄町,ﾎｳｴｲﾁｮｳ,0791153,1
幌岡町,ﾎﾛｵｶﾁｮｳ,0791102,1
本町,ﾎﾝﾁｮｳ,0791136,1
美園町,ﾐｿﾉﾁｮｳ,0791144,1
宮下町,ﾐﾔｼﾀﾁｮｳ,0791151,1
茂尻,ﾓｼﾞﾘ,0791266,1
茂尻旭町,ﾓｼﾞﾘｱｻﾋﾏﾁ,0791264,1
茂尻春日町,ﾓｼﾞﾘｶｽｶﾞﾁｮｳ,0791262,1
茂尻栄町,ﾓｼﾞﾘｻｶｴﾏﾁ,0791266,1
茂尻新春日町,ﾓｼﾞﾘｼﾝｶｽｶﾞﾁｮｳ,0791262,1
茂尻新町,ﾓｼﾞﾘｼﾝﾏﾁ,0791265,1
茂尻中央町南,ﾓｼﾞﾘﾁｭｳｵｳﾁｮｳﾐﾅﾐ,0791261,1
茂尻中央町北,ﾓｼﾞﾘﾁｭｳｵｳﾁｮｳｷﾀ,0791261,1
茂尻本町,ﾓｼﾞﾘﾎﾝﾁｮｳ,0791263,1
茂尻宮下町,ﾓｼﾞﾘﾐﾔｼﾀﾁｮｳ,0791264,1
茂尻元町南,ﾓｼﾞﾘﾓﾄﾏﾁﾐﾅﾐ,0791267,1
茂尻元町北,ﾓｼﾞﾘﾓﾄﾏﾁｷﾀ,0791268,1
若木町東,ﾜｶｷﾁｮｳﾋｶﾞｼ,0791113,1
若木町西,ﾜｶｷﾁｮｳﾆｼ,0791112,1
若木町南,ﾜｶｷﾁｮｳﾐﾅﾐ,0791114,1
若木町北,ﾜｶｷﾁｮｳｷﾀ,0791111,1
