another_name,another_name_kana,post_id,prefecture_id
,,0000000,13
秋川,ｱｷｶﾞﾜ,1970804,13
秋留,ｱｷﾙ,1970828,13
網代,ｱｼﾞﾛ,1900155,13
油平,ｱﾌﾞﾗﾀﾞｲ,1970827,13
雨間,ｱﾒﾏ,1970825,13
五日市,ｲﾂｶｲﾁ,1900164,13
伊奈,ｲﾅ,1900142,13
入野,ｲﾘﾉ,1900161,13
上ノ台,ｳｴﾉﾀﾞｲ,1900143,13
牛沼,ｳｼﾇﾏ,1970826,13
小川,ｵｶﾞﾜ,1970821,13
小川東,ｵｶﾞﾜﾋｶﾞｼ,1970822,13
乙津,ｵﾂ,1900174,13
上代継,ｶﾐﾖﾂｷﾞ,1970832,13
切欠,ｷｯｶｹ,1970824,13
草花,ｸｻﾊﾞﾅ,1970802,13
小中野,ｺﾅｶﾉ,1900165,13
小峰台,ｺﾐﾈﾀﾞｲ,1900153,13
小和田,ｺﾜﾀﾞ,1900151,13
三内,ｻﾝﾅｲ,1900162,13
下代継,ｼﾓﾖﾂｷﾞ,1970831,13
菅生,ｽｶﾞｵ,1970801,13
瀬戸岡,ｾﾄﾞｵｶ,1970803,13
高尾,ﾀｶｵ,1900154,13
舘谷,ﾀﾃﾔ,1900163,13
舘谷台,ﾀﾃﾔﾀﾞｲ,1900166,13
戸倉,ﾄｸﾗ,1900173,13
留原,ﾄﾄﾊﾗ,1900152,13
二宮,ﾆﾉﾐﾔ,1970814,13
二宮東,ﾆﾉﾐﾔﾋｶﾞｼ,1970815,13
野辺,ﾉﾍﾞ,1970823,13
原小宮,ﾊﾗｺﾐﾔ,1970811,13
引田,ﾋｷﾀﾞ,1970834,13
平沢,ﾋﾗｻﾜ,1970812,13
平沢西,ﾋﾗｻﾜﾆｼ,1970816,13
平沢東,ﾋﾗｻﾜﾋｶﾞｼ,1970813,13
深沢,ﾌｶｻﾜ,1900172,13
渕上,ﾌﾁｶﾞﾐ,1970833,13
山田,ﾔﾏﾀﾞ,1900144,13
養沢,ﾖｳｻﾞﾜ,1900171,13
横沢,ﾖｺｻﾜ,1900141,13
