another_name,another_name_kana,post_id,prefecture_id
,,0000000,28
猪名寺,ｲﾅﾃﾞﾗ,6610981,28
稲葉荘,ｲﾅﾊﾞｿｳ,6600064,28
稲葉元町,ｲﾅﾊﾞﾓﾄﾏﾁ,6600055,28
今福,ｲﾏﾌｸ,6600812,28
扇町,ｵｳｷﾞﾏﾁ,6600096,28
大島,ｵｵｼﾏ,6600076,28
大庄川田町,ｵｵｼｮｳｶﾜﾀﾁｮｳ,6600072,28
大庄中通,ｵｵｼｮｳﾅｶﾄﾞｵﾘ,6600075,28
大庄西町,ｵｵｼｮｳﾆｼﾏﾁ,6600077,28
大庄北,ｵｵｼｮｳｷﾀ,6600063,28
大高洲町,ｵｵﾀｶｽﾁｮｳ,6600842,28
大西町,ｵｵﾆｼﾁｮｳ,6610023,28
大浜町,ｵｵﾊﾏﾁｮｳ,6600095,28
尾浜町,ｵﾊﾏﾁｮｳ,6610022,28
開明町,ｶｲﾒｲﾁｮｳ,6600862,28
梶ケ島,ｶｼﾞｶﾞｼﾏ,6600821,28
上坂部,ｶﾐｻｶﾍﾞ,6610979,28
上ノ島町,ｶﾐﾉｼﾏﾁｮｳ,6610014,28
瓦宮,ｶﾜﾗﾉﾐﾔ,6610971,28
神崎町,ｶﾝｻﾞｷﾁｮｳ,6610964,28
神田中通,ｶﾝﾀﾞﾅｶﾄﾞｵﾘ,6600884,28
神田南通,ｶﾝﾀﾞﾐﾅﾐﾄﾞｵﾘ,6600885,28
神田北通,ｶﾝﾀﾞｷﾀﾄﾞｵﾘ,6600883,28
北城内,ｷﾀｼﾞｮｳﾅｲ,6600826,28
北竹谷町,ｷﾀﾀｹﾔﾁｮｳ,6600878,28
北大物町,ｷﾀﾀﾞｲﾓﾂﾁｮｳ,6600804,28
北初島町,ｷﾀﾊﾂｼﾏﾁｮｳ,6600834,28
金楽寺町,ｷﾝﾗｸｼﾞﾁｮｳ,6600806,28
杭瀬寺島,ｸｲｾﾃﾗｼﾞﾏ,6600813,28
杭瀬本町,ｸｲｾﾎﾝﾏﾁ,6600814,28
杭瀬南新町,ｸｲｾﾐﾅﾐｼﾝﾏﾁ,6600822,28
杭瀬北新町,ｸｲｾｷﾀｼﾝﾏﾁ,6600815,28
久々知,ｸｸﾁ,6610977,28
久々知西町,ｸｸﾁﾆｼﾏﾁ,6610978,28
口田中,ｸﾁﾀﾅｶ,6610983,28
栗山町,ｸﾘﾔﾏﾁｮｳ,6610013,28
玄番南之町,ｹﾞﾝﾊﾞﾝﾐﾅﾐﾉﾁｮｳ,6600873,28
玄番北之町,ｹﾞﾝﾊﾞﾝｷﾀﾉﾁｮｳ,6600872,28
食満,ｹﾏ,6610982,28
琴浦町,ｺﾄｳﾗﾁｮｳ,6600074,28
小中島,ｺﾅｶｼﾞﾏ,6610972,28
三反田町,ｻﾝﾀﾝﾀﾞﾁｮｳ,6610024,28
潮江,ｼｵｴ,0000000,28
汐町,ｼｵﾏﾁ,6600866,28
椎堂,ｼﾄﾞｳ,6610952,28
下坂部,ｼﾓｻｶﾍﾞ,6610975,28
常光寺,ｼﾞｮｳｺｳｼﾞ,6600811,28
昭和通,ｼｮｳﾜﾄﾞｵﾘ,6600881,28
昭和南通,ｼｮｳﾜﾐﾅﾐﾄﾞｵﾘ,6600882,28
水明町,ｽｲﾒｲﾁｮｳ,6600082,28
末広町,ｽｴﾋﾛﾁｮｳ,6600094,28
崇徳院,ｽﾄｸｲﾝ,6600071,28
善法寺町,ｾﾞﾝﾎﾟｳｼﾞﾁｮｳ,6610973,28
大物町,ﾀﾞｲﾓﾂﾁｮｳ,6600823,28
高田町,ﾀｶﾀﾁｮｳ,6610963,28
竹谷町,ﾀｹﾔﾁｮｳ,6600876,28
立花町,ﾀﾁﾊﾞﾅﾁｮｳ,6610025,28
建家町,ﾀﾃﾔﾁｮｳ,6600871,28
田能,ﾀﾉｳ,6610951,28
塚口町,ﾂｶｸﾞﾁﾁｮｳ,6610002,28
塚口本町,ﾂｶｸﾞﾁﾎﾝﾏﾁ,6610001,28
築地,ﾂｷｼﾞ,6600858,28
次屋,ﾂｷﾞﾔ,6610965,28
常松,ﾂﾈﾏﾂ,6610046,28
常吉,ﾂﾈﾖｼ,6610042,28
鶴町,ﾂﾙﾏﾁ,6600092,28
寺町,ﾃﾗﾏﾁ,6600867,28
道意町,ﾄﾞｲﾁｮｳ,6600083,28
戸ノ内町,ﾄﾉｳﾁﾁｮｳ,6610961,28
富松町,ﾄﾏﾂﾁｮｳ,6610003,28
中在家町,ﾅｶｻﾞｲｹﾁｮｳ,6600851,28
中浜町,ﾅｶﾊﾏﾁｮｳ,6600091,28
長洲中通,ﾅｶﾞｽﾅｶﾄﾞｵﾘ,6600802,28
長洲東通,ﾅｶﾞｽﾋｶﾞｼﾄﾞｵﾘ,6600801,28
長洲西通,ﾅｶﾞｽﾆｼﾄﾞｵﾘ,6600807,28
長洲本通,ﾅｶﾞｽﾎﾝﾄﾞｵﾘ,6600803,28
菜切山町,ﾅｷﾘﾔﾏﾁｮｳ,6600073,28
若王寺,ﾅｺｳｼﾞ,6610974,28
七松町,ﾅﾅﾏﾂﾁｮｳ,6600052,28
西海岸町,ﾆｼｶｲｶﾞﾝﾁｮｳ,6600093,28
西川,ﾆｼｶﾜ,6610966,28
西昆陽,ﾆｼｺﾔ,6610047,28
西桜木町,ﾆｼｻｸﾗｷﾞﾁｮｳ,6600865,28
西高洲町,ﾆｼﾀｶｽﾁｮｳ,6600845,28
西立花町,ﾆｼﾀﾁﾊﾞﾅﾁｮｳ,6600054,28
西大物町,ﾆｼﾀﾞｲﾓﾂﾁｮｳ,6600827,28
西長洲町,ﾆｼﾅｶﾞｽﾁｮｳ,6600805,28
西難波町,ﾆｼﾅﾆﾜﾁｮｳ,6600893,28
西本町,ﾆｼﾎﾝﾏﾁ,6600874,28
西本町北通,ﾆｼﾎﾝﾏﾁｷﾀﾄﾞｵﾘ,6600863,28
西松島町,ﾆｼﾏﾂｼﾏﾁｮｳ,6600837,28
西御園町,ﾆｼﾐｿﾉﾁｮｳ,6600868,28
西向島町,ﾆｼﾑｺｳｼﾞﾏﾁｮｳ,6600857,28
額田町,ﾇｶﾀﾁｮｳ,6610962,28
浜,ﾊﾏ,6610967,28
浜田町,ﾊﾏﾀﾞﾁｮｳ,6600062,28
東海岸町,ﾋｶﾞｼｶｲｶﾞﾝﾁｮｳ,6600843,28
東桜木町,ﾋｶﾞｼｻｸﾗｷﾞﾁｮｳ,6600864,28
東園田町,ﾋｶﾞｼｿﾉﾀﾞﾁｮｳ,6610953,28
東高洲町,ﾋｶﾞｼﾀｶｽﾁｮｳ,6600841,28
東大物町,ﾋｶﾞｼﾀﾞｲﾓﾂﾁｮｳ,6600828,28
東塚口町,ﾋｶﾞｼﾂｶｸﾞﾁﾁｮｳ,6610011,28
東七松町,ﾋｶﾞｼﾅﾅﾏﾂﾁｮｳ,6600051,28
東難波町,ﾋｶﾞｼﾅﾆﾜﾁｮｳ,6600892,28
東初島町,ﾋｶﾞｼﾊﾂｼﾏﾁｮｳ,6600832,28
東浜町,ﾋｶﾞｼﾊﾏﾁｮｳ,6600844,28
東本町,ﾋｶﾞｼﾎﾝﾏﾁ,6600824,28
東松島町,ﾋｶﾞｼﾏﾂｼﾏﾁｮｳ,6600831,28
東向島東之町,ﾋｶﾞｼﾑｺｳｼﾞﾏﾋｶﾞｼﾉﾁｮｳ,6600835,28
東向島西之町,ﾋｶﾞｼﾑｺｳｼﾞﾏﾆｼﾉﾁｮｳ,6600856,28
扶桑町,ﾌｿｳﾁｮｳ,6600891,28
船出,ﾌﾅﾃﾞ,6600846,28
平左衛門町,ﾍｲｻﾞｴﾓﾝﾁｮｳ,6600087,28
丸島町,ﾏﾙｼﾏﾁｮｳ,6600086,28
水堂町,ﾐｽﾞﾄﾞｳﾁｮｳ,6610026,28
御園,ﾐｿﾉ,6610984,28
御園町,ﾐｿﾉﾁｮｳ,6600861,28
南清水,ﾐﾅﾐｼﾐｽﾞ,6610985,28
南城内,ﾐﾅﾐｼﾞｮｳﾅｲ,6600825,28
南竹谷町,ﾐﾅﾐﾀｹﾔﾁｮｳ,6600875,28
南塚口町,ﾐﾅﾐﾂｶｸﾞﾁﾁｮｳ,6610012,28
南七松町,ﾐﾅﾐﾅﾅﾏﾂﾁｮｳ,6600053,28
南初島町,ﾐﾅﾐﾊﾂｼﾏﾁｮｳ,6600833,28
南武庫之荘,ﾐﾅﾐﾑｺﾉｿｳ,6610033,28
宮内町,ﾐﾔｳﾁﾁｮｳ,6600877,28
武庫川町,ﾑｺｶﾞﾜﾁｮｳ,6600084,28
武庫町,ﾑｺﾁｮｳ,6610044,28
武庫の里,ﾑｺﾉｻﾄ,6610041,28
武庫之荘,ﾑｺﾉｿｳ,6610035,28
武庫之荘本町,ﾑｺﾉｿｳﾎﾝﾏﾁ,6610031,28
武庫之荘東,ﾑｺﾉｿｳﾋｶﾞｼ,6610032,28
武庫之荘西,ﾑｺﾉｿｳﾆｼ,6610034,28
武庫元町,ﾑｺﾓﾄﾏﾁ,6610043,28
武庫豊町,ﾑｺﾕﾀｶﾏﾁ,6610045,28
名神町,ﾒｲｼﾝﾁｮｳ,6610021,28
元浜町,ﾓﾄﾊﾏﾁｮｳ,6600085,28
弥生ケ丘町,ﾔﾖｲｶﾞｵｶﾁｮｳ,6610970,28
蓬川荘園,ﾖﾓｶﾞﾜｿｳｴﾝ,6600061,28
蓬川町,ﾖﾓｶﾞﾜﾁｮｳ,6600081,28
