another_name,another_name_kana,post_id,prefecture_id
,,0000000,43
旭町,ｱｻﾋﾏﾁ,8632172,43
天草町大江,ｱﾏｸｻﾏﾁｵｵｴ,8632801,43
天草町大江軍浦,ｱﾏｸｻﾏﾁｵｵｴｲｸｻｶﾞｳﾗ,8632801,43
天草町大江向,ｱﾏｸｻﾏﾁｵｵｴﾑｺｳ,8631401,43
天草町下田北,ｱﾏｸｻﾏﾁｼﾓﾀﾞｷﾀ,8632803,43
天草町下田南,ｱﾏｸｻﾏﾁｼﾓﾀﾞﾐﾅﾐ,8632802,43
天草町高浜北,ｱﾏｸｻﾏﾁﾀｶﾊﾏｷﾀ,0000000,43
天草町高浜南,ｱﾏｸｻﾏﾁﾀｶﾊﾏﾐﾅﾐ,8632804,43
天草町福連木,ｱﾏｸｻﾏﾁﾌｸﾚｷﾞ,8632806,43
有明町赤崎,ｱﾘｱｹﾏﾁｱｶｻｷ,8617201,43
有明町大浦,ｱﾘｱｹﾏﾁｵｵｳﾗ,8617203,43
有明町大島子,ｱﾘｱｹﾏﾁｵｵｼﾏｺﾞ,8617314,43
有明町楠甫,ｱﾘｱｹﾏﾁｸｽﾎﾞ,8617204,43
有明町上津浦,ｱﾘｱｹﾏﾁｺｳﾂｳﾗ,8617311,43
有明町小島子,ｱﾘｱｹﾏﾁｺｼﾏｺﾞ,8617313,43
有明町下津浦,ｱﾘｱｹﾏﾁｼﾓﾂｳﾗ,8617312,43
有明町須子,ｱﾘｱｹﾏﾁｽｼﾞ,8617202,43
五和町鬼池,ｲﾂﾜﾏﾁｵﾆｲｹ,8632331,43
五和町御領,ｲﾂﾜﾏﾁｺﾞﾘｮｳ,8632201,43
五和町城河原,ｲﾂﾜﾏﾁｼﾞｮｳｶﾞﾜﾗ,8632114,43
五和町手野,ｲﾂﾜﾏﾁﾃﾉ,8632424,43
五和町二江,ｲﾂﾜﾏﾁﾌﾀｴ,8632421,43
今釜新町,ｲﾏｶﾞﾏｼﾝﾏﾁ,8630013,43
今釜町,ｲﾏｶﾞﾏﾏﾁ,8630012,43
牛深町,ｳｼﾌﾞｶﾏﾁ,8631901,43
太田町,ｵｵﾀﾏﾁ,8630032,43
大浜町,ｵｵﾊﾏﾏﾁ,8630015,43
魚貫町,ｵﾆｷﾏﾁ,8631721,43
亀場町亀川,ｶﾒﾊﾞﾏﾁｶﾒｶﾞﾜ,8630043,43
亀場町食場,ｶﾒﾊﾞﾏﾁｼﾞｷﾊﾞ,8630046,43
河浦町今田,ｶﾜｳﾗﾏﾁｲﾏﾀﾞ,8631201,43
河浦町今富,ｶﾜｳﾗﾏﾁｲﾏﾄﾐ,0000000,43
河浦町河浦,ｶﾜｳﾗﾏﾁｶﾜｳﾗ,8631202,43
河浦町崎津,ｶﾜｳﾗﾏﾁｻｷﾂ,0000000,43
河浦町白木河内,ｶﾜｳﾗﾏﾁｼﾗｷｶﾜﾁ,8631215,43
河浦町新合,ｶﾜｳﾗﾏﾁｼﾝｺﾞｳ,8631216,43
河浦町立原,ｶﾜｳﾗﾏﾁﾀﾁﾊﾗ,8631211,43
河浦町久留,ｶﾜｳﾗﾏﾁﾋｻﾄﾞﾒ,8631214,43
河浦町宮野河内,ｶﾜｳﾗﾏﾁﾐﾔﾉｶﾜﾁ,8631212,43
河浦町路木,ｶﾜｳﾗﾏﾁﾛｷﾞ,8631213,43
川原新町,ｶﾜﾗｼﾝﾏﾁ,8630036,43
川原町,ｶﾜﾗﾏﾁ,8630024,43
北浜町,ｷﾀﾊﾏﾏﾁ,8630011,43
北原町,ｷﾀﾊﾗﾏﾁ,8630049,43
楠浦町,ｸｽｳﾗﾏﾁ,8630044,43
久玉町,ｸﾀﾏﾏﾁ,8631902,43
倉岳町浦,ｸﾗﾀｹﾏﾁｳﾗ,8616401,43
倉岳町棚底,ｸﾗﾀｹﾏﾁﾀﾅｿｺ,8616402,43
