another_name,another_name_kana,post_id,prefecture_id
,,0000000,23
石作,ｲｼﾂｸﾘ,4901102,23
乙之子,ｵﾄﾉｺ,4901213,23
金岩,ｶﾅｲﾜ,4901221,23
上萱津,ｶﾐｶﾔﾂﾞ,4901112,23
木折,ｷｵﾘ,4901203,23
木田,ｷﾀﾞ,4901222,23
北苅,ｷﾀｶﾞﾘ,4901214,23
小橋方,ｺﾊﾞｼｶﾞﾀ,4901212,23
栄,ｻｶｴ,4901103,23
坂牧,ｻｶﾏｷ,4901115,23
七宝町秋竹,ｼｯﾎﾟｳﾁｮｳｱｷﾀｹ,4970003,23
七宝町伊福,ｼｯﾎﾟｳﾁｮｳｲﾌｸ,4970005,23
七宝町沖之島,ｼｯﾎﾟｳﾁｮｳｵｷﾉｼﾏ,4970001,23
七宝町桂,ｼｯﾎﾟｳﾁｮｳｶﾂﾗ,4970004,23
七宝町川部,ｼｯﾎﾟｳﾁｮｳｶﾜﾍﾞ,4970013,23
七宝町下田,ｼｯﾎﾟｳﾁｮｳｼﾓﾀﾞ,4970012,23
七宝町下之森,ｼｯﾎﾟｳﾁｮｳｼﾓﾉﾓﾘ,4970006,23
七宝町鷹居,ｼｯﾎﾟｳﾁｮｳﾀｶｲ,4970014,23
七宝町遠島,ｼｯﾎﾟｳﾁｮｳﾄｵｼﾏ,4970002,23
七宝町徳実,ｼｯﾎﾟｳﾁｮｳﾄｸｻﾞﾈ,4970016,23
七宝町鯰橋,ｼｯﾎﾟｳﾁｮｳﾅﾏｽﾞﾊﾞｼ,4970015,23
七宝町安松,ｼｯﾎﾟｳﾁｮｳﾔｽﾏﾂ,4970011,23
篠田,ｼﾉﾀﾞ,4901211,23
下萱津,ｼﾓｶﾔﾂﾞ,4901114,23
甚目寺,ｼﾞﾓｸｼﾞ,4901111,23
小路,ｼｮｳｼﾞ,4901106,23
丹波,ﾀﾝﾊﾞ,4901224,23
富塚,ﾄﾐﾂｶ,4901202,23
中萱津,ﾅｶｶﾔﾂﾞ,4901113,23
中橋,ﾅｶﾊｼ,4901226,23
新居屋,ﾆｲﾔ,4901105,23
西今宿,ﾆｼｲﾏｼﾞｭｸ,4901104,23
蜂須賀,ﾊﾁｽｶ,4901225,23
花長,ﾊﾅｵｻ,4901204,23
花正,ﾊﾅﾏｻ,4901205,23
東溝口,ﾋｶﾞｼﾐｿﾞｸﾞﾁ,4901206,23
二ツ寺,ﾌﾀﾂﾃﾞﾗ,4901207,23
古道,ﾌﾙﾐﾁ,4901201,23
方領,ﾎｳﾘｮｳ,4901101,23
本郷,ﾎﾝｺﾞｳ,4901116,23
森,ﾓﾘ,4901107,23
森山,ﾓﾘﾔﾏ,4901223,23
