another_name,another_name_kana,post_id,prefecture_id
,,0000000,36
阿瀬比町,ｱｾﾋﾞﾁｮｳ,7791404,36
新野町,ｱﾗﾀﾉﾁｮｳ,7791510,36
伊島町,ｲｼﾏﾁｮｳ,7741760,36
内原町,ｳﾁﾜﾗﾁｮｳ,7791401,36
大井町,ｵｵｲﾁｮｳ,7715177,36
大潟町,ｵｵｶﾞﾀﾁｮｳ,7740022,36
大田井町,ｵｵﾀｲﾁｮｳ,7715176,36
学原町,ｶﾞｸﾊﾞﾗﾁｮｳ,7740014,36
上大野町,ｶﾐｵｵﾉﾁｮｳ,7740049,36
上中町,ｶﾐﾅｶﾁｮｳ,7740044,36
加茂町,ｶﾓﾁｮｳ,7715173,36
楠根町,ｸｽﾈﾁｮｳ,7715170,36
熊谷町,ｸﾏﾀﾞﾆﾁｮｳ,7715171,36
黒津地町,ｸﾛﾂﾁﾁｮｳ,7740006,36
桑野町,ｸﾜﾉﾁｮｳ,7791402,36
才見町,ｻｲﾐﾁｮｳ,7740015,36
西路見町,ｻｲﾛﾐﾁｮｳ,7740009,36
十八女町,ｻｶﾘﾁｮｳ,7715178,36
下大野町,ｼﾓｵｵﾉﾁｮｳ,7740047,36
水井町,ｽｲｲﾁｮｳ,7715174,36
住吉町,ｽﾐﾖｼﾁｮｳ,7740041,36
宝田町,ﾀｶﾗﾀﾞﾁｮｳ,7740045,36
橘町,ﾀﾁﾊﾞﾅﾁｮｳ,0000000,36
橘町小勝,ﾀﾁﾊﾞﾅﾁｮｳｺｶﾂ,7791631,36
橘町タテアジロ,ﾀﾁﾊﾞﾅﾁｮｳﾀﾃｱｼﾞﾛ,7791630,36
橘町袴,ﾀﾁﾊﾞﾅﾁｮｳﾊｶﾏ,7791630,36
橘町袴傍示,ﾀﾁﾊﾞﾅﾁｮｳﾊｶﾏﾎｳｼﾞ,7791630,36
橘町棒面,ﾀﾁﾊﾞﾅﾁｮｳﾎﾞｳﾒﾝ,7791630,36
辰巳町,ﾀﾂﾐﾁｮｳ,7740001,36
津乃峰町,ﾂﾉﾐﾈﾁｮｳ,7740021,36
椿町,ﾂﾊﾞｷﾁｮｳ,7791750,36
椿泊町,ﾂﾊﾞｷﾄﾞﾏﾘﾁｮｳ,7791740,36
出来町,ﾃﾞｷﾏﾁ,7740007,36
富岡町,ﾄﾐｵｶﾁｮｳ,7740030,36
豊益町,ﾄﾖﾏｽﾁｮｳ,7740002,36
長生町,ﾅｶﾞｲｹﾁｮｳ,7740046,36
中大野町,ﾅｶｵｵﾉﾁｮｳ,7740048,36
那賀川町赤池,ﾅｶｶﾞﾜﾁｮｳｱｶｲｹ,7791242,36
那賀川町今津浦,ﾅｶｶﾞﾜﾁｮｳｲﾏﾂﾞｳﾗ,7791114,36
那賀川町色ケ島,ﾅｶｶﾞﾜﾁｮｳｲﾛｶﾞｼﾏ,7791112,36
那賀川町江野島,ﾅｶｶﾞﾜﾁｮｳｴﾉｼﾏ,7791111,36
那賀川町上福井,ﾅｶｶﾞﾜﾁｮｳｶﾐﾌｸｲ,7791243,36
那賀川町苅屋,ﾅｶｶﾞﾜﾁｮｳｶﾘﾔ,7791235,36
那賀川町北中島,ﾅｶｶﾞﾜﾁｮｳｷﾀﾅｶｼﾏ,7791246,36
那賀川町黒地,ﾅｶｶﾞﾜﾁｮｳｸﾛｼﾞ,7791121,36
那賀川町小延,ﾅｶｶﾞﾜﾁｮｳｺﾉﾌﾞ,7791116,36
那賀川町敷地,ﾅｶｶﾞﾜﾁｮｳｼｷｼﾞ,7791115,36
那賀川町島尻,ﾅｶｶﾞﾜﾁｮｳｼﾏｼﾞﾘ,7791117,36
那賀川町大京原,ﾅｶｶﾞﾜﾁｮｳﾀﾞｲｷｮｳﾊﾞﾗ,7791233,36
那賀川町工地,ﾅｶｶﾞﾜﾁｮｳﾀｸﾑｼﾞ,7791236,36
那賀川町手島,ﾅｶｶﾞﾜﾁｮｳﾃｼﾏ,7791123,36
那賀川町中島,ﾅｶｶﾞﾜﾁｮｳﾅｶｼﾏ,7791245,36
那賀川町西原,ﾅｶｶﾞﾜﾁｮｳﾆｼﾊﾗ,7791232,36
那賀川町原,ﾅｶｶﾞﾜﾁｮｳﾊﾗ,7791231,36
那賀川町日向,ﾅｶｶﾞﾜﾁｮｳﾋﾅﾀ,7791119,36
那賀川町古津,ﾅｶｶﾞﾜﾁｮｳﾌﾙﾂ,7791234,36
那賀川町芳崎,ﾅｶｶﾞﾜﾁｮｳﾎｳｻﾞｷ,7791113,36
那賀川町三栗,ﾅｶｶﾞﾜﾁｮｳﾐｸﾞﾘｭｳ,7791241,36
那賀川町みどり台,ﾅｶｶﾞﾜﾁｮｳﾐﾄﾞﾘﾀﾞｲ,7791244,36
那賀川町八幡,ﾅｶｶﾞﾜﾁｮｳﾔﾜﾀ,7791122,36
