another_name,another_name_kana,post_id,prefecture_id
,,0000000,1
秋月１条,ｱｷﾂｷ1ｼﾞｮｳ,0798401,1
秋月２条,ｱｷﾂｷ2ｼﾞｮｳ,0798402,1
秋月３条,ｱｷﾂｷ3ｼﾞｮｳ,0798403,1
曙北２条,ｱｹﾎﾞﾉｷﾀ2ｼﾞｮｳ,0700072,1
曙北３条,ｱｹﾎﾞﾉｷﾀ3ｼﾞｮｳ,0700073,1
曙１条,ｱｹﾎﾞﾉ1ｼﾞｮｳ,0700061,1
曙２条,ｱｹﾎﾞﾉ2ｼﾞｮｳ,0700062,1
曙３条,ｱｹﾎﾞﾉ3ｼﾞｮｳ,0700063,1
旭岡,ｱｻﾋｶﾞｵｶ,0700822,1
旭町１条,ｱｻﾋﾏﾁ1ｼﾞｮｳ,0700831,1
旭町２条,ｱｻﾋﾏﾁ2ｼﾞｮｳ,0700832,1
江丹別町嵐山,ｴﾀﾝﾍﾞﾂﾁｮｳｱﾗｼﾔﾏ,0708051,1
江丹別町春日,ｴﾀﾝﾍﾞﾂﾁｮｳｶｽｶﾞ,0708052,1
江丹別町共和,ｴﾀﾝﾍﾞﾂﾁｮｳｷｮｳﾜ,0708053,1
江丹別町清水,ｴﾀﾝﾍﾞﾂﾁｮｳｼﾐｽﾞ,0711171,1
江丹別町拓北,ｴﾀﾝﾍﾞﾂﾁｮｳﾀｸﾎｸ,0711172,1
江丹別町中央,ｴﾀﾝﾍﾞﾂﾁｮｳﾁｭｳｵｳ,0711173,1
江丹別町富原,ｴﾀﾝﾍﾞﾂﾁｮｳﾄﾐﾊﾗ,0711174,1
江丹別町中園,ｴﾀﾝﾍﾞﾂﾁｮｳﾅｶｿﾞﾉ,0711175,1
江丹別町西里,ｴﾀﾝﾍﾞﾂﾁｮｳﾆｼｻﾄ,0711176,1
江丹別町芳野,ｴﾀﾝﾍﾞﾂﾁｮｳﾖｼﾉ,0711177,1
大町１条,ｵｵﾏﾁ1ｼﾞｮｳ,0700841,1
大町２条,ｵｵﾏﾁ2ｼﾞｮｳ,0700842,1
大町３条,ｵｵﾏﾁ3ｼﾞｮｳ,0700843,1
神楽岡１条,ｶｸﾞﾗｵｶ1ｼﾞｮｳ,0788311,1
