another_name,another_name_kana,post_id,prefecture_id
,,0000000,11
青葉台,ｱｵﾊﾞﾀﾞｲ,3510016,11
朝志ケ丘,ｱｻｼｶﾞｵｶ,3510035,11
岡,ｵｶ,3510007,11
上内間木,ｶﾐｳﾁﾏｷﾞ,3510001,11
北原,ｷﾀﾊﾗ,3510036,11
幸町,ｻｲﾜｲﾁｮｳ,3510015,11
栄町,ｻｶｴﾁｮｳ,3510012,11
下内間木,ｼﾓｳﾁﾏｷﾞ,3510002,11
泉水,ｾﾝｽﾞｲ,3510024,11
台,ﾀﾞｲ,3510003,11
田島,ﾀｼﾞﾏ,3510032,11
仲町,ﾅｶﾁｮｳ,3510006,11
西原,ﾆｼﾊﾗ,3510034,11
西弁財,ﾆｼﾍﾞﾝｻﾞｲ,3510021,11
根岸,ﾈｷﾞｼ,3510004,11
根岸台,ﾈｷﾞｼﾀﾞｲ,3510005,11
浜崎,ﾊﾏｻｷ,3510033,11
東弁財,ﾋｶﾞｼﾍﾞﾝｻﾞｲ,3510022,11
膝折,ﾋｻﾞｵﾘ,3510013,11
膝折町,ﾋｻﾞｵﾘﾁｮｳ,3510014,11
本町,ﾎﾝﾁｮｳ,3510011,11
溝沼,ﾐｿﾞﾇﾏ,3510023,11
三原,ﾐﾊﾗ,3510025,11
宮戸,ﾐﾔﾄﾞ,3510031,11
