another_name,another_name_kana,post_id,prefecture_id
,,0000000,22
相の原町,ｱｲﾉﾊﾗﾁｮｳ,4130039,22
青葉町,ｱｵﾊﾞﾁｮｳ,4130041,22
網代,ｱｼﾞﾛ,4130103,22
熱海,ｱﾀﾐ,4130033,22
伊豆山,ｲｽﾞｻﾝ,4130002,22
泉,ｲｽﾞﾐ,4130001,22
海光町,ｶｲｺｳﾁｮｳ,4130003,22
春日町,ｶｽｶﾞﾁｮｳ,4130005,22
上宿町,ｶﾐｼﾞｭｸﾁｮｳ,4130018,22
上多賀,ｶﾐﾀｶﾞ,4130101,22
銀座町,ｷﾞﾝｻﾞﾁｮｳ,4130013,22
小嵐町,ｺｱﾗｼﾁｮｳ,4130029,22
咲見町,ｻｷﾐﾁｮｳ,4130019,22
桜木町,ｻｸﾗｷﾞﾁｮｳ,4130025,22
桜町,ｻｸﾗﾁｮｳ,4130028,22
笹良ケ台町,ｻｻﾗｶﾞﾀﾞｲﾁｮｳ,4130037,22
清水町,ｼﾐｽﾞﾁｮｳ,4130021,22
下多賀,ｼﾓﾀｶﾞ,4130102,22
昭和町,ｼｮｳﾜﾁｮｳ,4130022,22
田原本町,ﾀﾊﾗﾎﾝﾁｮｳ,4130011,22
中央町,ﾁｭｳｵｳﾁｮｳ,4130015,22
渚町,ﾅｷﾞｻﾁｮｳ,4130014,22
西熱海町,ﾆｼｱﾀﾐﾁｮｳ,4130038,22
西山町,ﾆｼﾔﾏﾁｮｳ,4130034,22
梅園町,ﾊﾞｲｴﾝﾁｮｳ,4130032,22
梅花町,ﾊﾞｲｶﾁｮｳ,4130026,22
初島,ﾊﾂｼﾏ,4130004,22
林ガ丘町,ﾊﾔｼｶﾞｵｶﾁｮｳ,4130031,22
東海岸町,ﾋｶﾞｼｶｲｶﾞﾝﾁｮｳ,4130012,22
日金町,ﾋｶﾞﾈﾁｮｳ,4130036,22
福道町,ﾌｸﾐﾁﾁｮｳ,4130017,22
緑ガ丘町,ﾐﾄﾞﾘｶﾞｵｶﾁｮｳ,4130035,22
水口町,ﾐﾅｸﾞﾁﾁｮｳ,4130016,22
紅葉ガ丘町,ﾓﾐｼﾞｶﾞｵｶﾁｮｳ,4130027,22
桃山町,ﾓﾓﾔﾏﾁｮｳ,4130006,22
山手町,ﾔﾏﾃﾁｮｳ,4130042,22
和田町,ﾜﾀﾞﾁｮｳ,4130024,22
和田浜南町,ﾜﾀﾞﾊﾏﾐﾅﾐﾁｮｳ,4130023,22
