another_name,another_name_kana,post_id,prefecture_id
,,0000000,14
厚木航空基地,ｱﾂｷﾞｺｳｸｳｷﾁ,2521101,14
大上,ｵｵｶﾞﾐ,2521104,14
落合南,ｵﾁｱｲﾐﾅﾐ,2521115,14
落合北,ｵﾁｱｲｷﾀ,2521116,14
上土棚,ｶﾐﾂﾁﾀﾞﾅ,2521112,14
上土棚中,ｶﾐﾂﾁﾀﾞﾅﾅｶ,2521113,14
上土棚南,ｶﾐﾂﾁﾀﾞﾅﾐﾅﾐ,2521114,14
上土棚北,ｶﾐﾂﾁﾀﾞﾅｷﾀ,2521111,14
小園,ｺｿﾞﾉ,2521121,14
小園南,ｺｿﾞﾉﾐﾅﾐ,2521122,14
蓼川,ﾀﾃｶﾜ,2521105,14
寺尾釜田,ﾃﾗｵｶﾏﾀ,2521135,14
寺尾中,ﾃﾗｵﾅｶ,2521132,14
寺尾西,ﾃﾗｵﾆｼ,2521136,14
寺尾南,ﾃﾗｵﾐﾅﾐ,2521134,14
寺尾北,ﾃﾗｵｷﾀ,2521131,14
寺尾台,ﾃﾗｵﾀﾞｲ,2521137,14
寺尾本町,ﾃﾗｵﾎﾝﾁｮｳ,2521133,14
早川,ﾊﾔｶﾜ,2521123,14
早川城山,ﾊﾔｶﾜｼﾛﾔﾏ,2521127,14
深谷,ﾌｶﾔ,2521103,14
深谷上,ﾌｶﾔｶﾐ,2521108,14
深谷中,ﾌｶﾔﾅｶ,2521107,14
深谷南,ﾌｶﾔﾐﾅﾐ,2521106,14
本蓼川,ﾎﾝﾀﾃｶﾜ,2521102,14
吉岡,ﾖｼｵｶ,2521124,14
吉岡東,ﾖｼｵｶﾋｶﾞｼ,2521125,14
綾西,ﾘｮｳｾｲ,2521126,14
