another_name,another_name_kana,post_id,prefecture_id
,,0000000,33
麻宇那,ｱｿｳﾅ,7050032,33
伊里中,ｲﾘﾅｶ,7050023,33
伊部,ｲﾝﾍﾞ,7050001,33
浦伊部,ｳﾗｲﾝﾍﾞ,7050002,33
大内,ｵｵﾁ,7050003,33
香登本,ｶｶﾞﾄﾓﾄ,7050012,33
香登西,ｶｶﾞﾄﾆｼ,7050011,33
木谷,ｷﾀﾞﾆ,7050035,33
久々井,ｸｸﾞｲ,7050024,33
坂根,ｻｶﾈ,7050016,33
佐山,ｻﾔﾏ,7050026,33
蕃山,ｼｹﾞﾔﾏ,7050031,33
閑谷,ｼｽﾞﾀﾆ,7050036,33
新庄,ｼﾝｼﾞｮｳ,7050014,33
鶴海,ﾂﾙﾐ,7050025,33
友延,ﾄﾓﾉﾌﾞ,7050034,33
西片上,ﾆｼｶﾀｶﾐ,7050021,33
野谷,ﾉﾀﾞﾆ,7050131,33
畠田,ﾊﾀｹﾀﾞ,7050015,33
東片上,ﾋｶﾞｼｶﾀｶﾐ,7050022,33
日生町大多府,ﾋﾅｾﾁｮｳｵｵﾀﾌﾞ,7013203,33
日生町寒河,ﾋﾅｾﾁｮｳｿｳｺﾞ,7013202,33
日生町寺山,ﾋﾅｾﾁｮｳﾃﾗﾔﾏ,7013201,33
日生町日生,ﾋﾅｾﾁｮｳﾋﾅｾ,7013204,33
福田,ﾌｸﾀﾞ,7050013,33
穂浪,ﾎﾅﾐ,7050033,33
三石,ﾐﾂｲｼ,7050132,33
八木山,ﾔｷﾔﾏ,7050133,33
吉永町今崎,ﾖｼﾅｶﾞﾁｮｳｲﾏｻｷ,7090213,33
吉永町岩崎,ﾖｼﾅｶﾞﾁｮｳｲﾜｻｷ,7090226,33
吉永町加賀美,ﾖｼﾅｶﾞﾁｮｳｶｶﾞﾐ,7090301,33
吉永町金谷,ﾖｼﾅｶﾞﾁｮｳｶﾅﾀﾞﾆ,7090221,33
吉永町神根本,ﾖｼﾅｶﾞﾁｮｳｺｳﾈﾎﾝ,7090212,33
吉永町笹目,ﾖｼﾅｶﾞﾁｮｳｻｻﾒ,7090304,33
吉永町高田,ﾖｼﾅｶﾞﾁｮｳﾀｶﾀ,7090211,33
吉永町多麻,ﾖｼﾅｶﾞﾁｮｳﾀﾏ,7090302,33
吉永町都留岐,ﾖｼﾅｶﾞﾁｮｳﾂﾙｷﾞ,7090303,33
吉永町福満,ﾖｼﾅｶﾞﾁｮｳﾌｸﾐﾂ,7090222,33
吉永町三股,ﾖｼﾅｶﾞﾁｮｳﾐﾂﾏﾀ,7090225,33
吉永町南方,ﾖｼﾅｶﾞﾁｮｳﾐﾅﾐｶﾞﾀ,7090223,33
吉永町吉永中,ﾖｼﾅｶﾞﾁｮｳﾖｼﾅｶﾞﾅｶ,7090224,33
吉永町和意谷,ﾖｼﾅｶﾞﾁｮｳﾜｲﾀﾞﾆ,7090214,33
