another_name,another_name_kana,post_id,prefecture_id
,,0000000,44
荒尾,ｱﾗｵ,8790733,44
一畑,ｲﾁﾊﾀ,8790722,44
今町,ｲﾏﾏﾁ,8790626,44
臼野,ｳｽﾉ,8721107,44
梅ノ木,ｳﾒﾉｷ,8790723,44
夷,ｴﾋﾞｽ,8721201,44
大岩屋,ｵｵｲﾜﾔ,8721102,44
大平,ｵｵﾋﾗ,8721106,44
御玉,ｵﾀﾞﾏ,8790605,44
香々地,ｶｶﾁﾞ,8721202,44
鍛治屋町,ｶｼﾞﾔﾏﾁ,8790622,44
堅来,ｶﾀｸ,8721203,44
鼎,ｶﾅｴ,8790603,44
金谷町,ｶﾅﾔﾏﾁ,8790623,44
上香々地,ｶﾐｶｶﾁﾞ,8721204,44
加礼川,ｶﾚｶﾞﾜ,8790721,44
草地,ｸｻｼﾞ,8790601,44
来縄,ｸﾅﾜ,8790614,44
呉崎,ｸﾚｻｷ,8790608,44
黒土,ｸﾛﾂﾁ,8721103,44
小田原,ｺﾀﾞﾜﾗ,8790613,44
小畑,ｺﾊﾞﾀ,8721205,44
是永町,ｺﾚﾅｶﾞﾏﾁ,8790621,44
界,ｻｶｲ,8790615,44
佐野,ｻﾉ,8790612,44
城前,ｼﾞｮｳｾﾞﾝ,8721104,44
城台,ｼﾞｮｳﾀﾞｲ,8790609,44
新栄,ｼﾝｴｲ,8790607,44
新城,ｼﾝｼﾞｮｳ,8790724,44
新地,ｼﾝﾁ,8790627,44
新町,ｼﾝﾏﾁ,8790628,44
大力,ﾀﾞｲﾘｷ,8790732,44
高田,ﾀｶﾀﾞ,8790617,44
田染相原,ﾀｼﾌﾞｱｲﾜﾗ,8790843,44
田染池部,ﾀｼﾌﾞｲｹﾍﾞ,8790842,44
田染上野,ﾀｼﾌﾞｳｴﾉ,8790844,44
田染小崎,ﾀｼﾌﾞｵｻｷ,8790854,44
田染平野,ﾀｼﾌﾞﾋﾗﾉ,8790853,44
田染蕗,ﾀｼﾌﾞﾌｷ,8790841,44
田染真木,ﾀｼﾌﾞﾏｷ,8790855,44
田染真中,ﾀｼﾌﾞﾏﾅｶ,8790852,44
田染横嶺,ﾀｼﾌﾞﾖｺﾐﾈ,8790851,44
玉津,ﾀﾏﾂ,8790606,44
中央通,ﾁｭｳｵｳﾄﾞｵﾘ,8790618,44
築地,ﾂｲｼﾞ,8790734,44
長岩屋,ﾅｶﾞｲﾜﾔ,8790731,44
中真玉,ﾅｶﾏﾀﾏ,8721101,44
西真玉,ﾆｼﾏﾀﾏ,8721105,44
浜町,ﾊﾏﾏﾁ,8790619,44
羽根,ﾊﾈ,8721206,44
払田,ﾊﾗｲﾀﾞ,8790602,44
本町,ﾎﾝﾏﾁ,8790624,44
松行,ﾏﾂﾕｷ,8790735,44
水崎,ﾐｽﾞｻｷ,8790616,44
水取,ﾐｽﾞﾄﾘ,8790625,44
見目,ﾐﾒ,8721207,44
美和,ﾐﾜ,8790604,44
森,ﾓﾘ,8790611,44
