another_name,another_name_kana,post_id,prefecture_id
,,0000000,12
磯辺,ｲｿﾍﾞ,2610012,12
稲毛海岸,ｲﾅｹﾞｶｲｶﾞﾝ,2610005,12
打瀬,ｳﾀｾ,2610013,12
幸町,ｻｲﾜｲﾁｮｳ,2610001,12
新港,ｼﾝﾐﾅﾄ,2610002,12
高洲,ﾀｶｽ,2610004,12
高浜,ﾀｶﾊﾏ,2610003,12
豊砂,ﾄﾖｽﾅ,2610024,12
中瀬,ﾅｶｾ,2610023,12
中瀬ワールドビジネスガーデン,ﾅｶｾﾜｰﾙﾄﾞﾋﾞｼﾞﾈｽｶﾞｰﾃﾞﾝ,2617190,12
中瀬ワールドビジネスガーデン　１階,ﾅｶｾﾜｰﾙﾄﾞﾋﾞｼﾞﾈｽｶﾞｰﾃﾞﾝ1ｶｲ,2617101,12
中瀬ワールドビジネスガーデン　２階,ﾅｶｾﾜｰﾙﾄﾞﾋﾞｼﾞﾈｽｶﾞｰﾃﾞﾝ2ｶｲ,2617102,12
中瀬ワールドビジネスガーデン　３階,ﾅｶｾﾜｰﾙﾄﾞﾋﾞｼﾞﾈｽｶﾞｰﾃﾞﾝ3ｶｲ,2617103,12
中瀬ワールドビジネスガーデン　４階,ﾅｶｾﾜｰﾙﾄﾞﾋﾞｼﾞﾈｽｶﾞｰﾃﾞﾝ4ｶｲ,2617104,12
中瀬ワールドビジネスガーデン　５階,ﾅｶｾﾜｰﾙﾄﾞﾋﾞｼﾞﾈｽｶﾞｰﾃﾞﾝ5ｶｲ,2617105,12
中瀬ワールドビジネスガーデン　６階,ﾅｶｾﾜｰﾙﾄﾞﾋﾞｼﾞﾈｽｶﾞｰﾃﾞﾝ6ｶｲ,2617106,12
中瀬ワールドビジネスガーデン　７階,ﾅｶｾﾜｰﾙﾄﾞﾋﾞｼﾞﾈｽｶﾞｰﾃﾞﾝ7ｶｲ,2617107,12
