another_name,another_name_kana,post_id,prefecture_id
,,0000000,14
赤羽根,ｱｶﾊﾞﾈ,2530001,14
赤松町,ｱｶﾏﾂﾁｮｳ,2530013,14
旭が丘,ｱｻﾋｶﾞｵｶ,2530026,14
甘沼,ｱﾏﾇﾏ,2530004,14
今宿,ｲﾏｼﾞｭｸ,2530072,14
円蔵,ｴﾝｿﾞｳ,2530084,14
香川,ｶｶﾞﾜ,2530082,14
小桜町,ｺｻﾞｸﾗﾁｮｳ,2530016,14
小和田,ｺﾜﾀﾞ,2530012,14
幸町,ｻｲﾜｲﾁｮｳ,2530052,14
汐見台,ｼｵﾐﾀﾞｲ,2530033,14
下寺尾,ｼﾓﾃﾗｵ,2530081,14
下町屋,ｼﾓﾏﾁﾔ,2530087,14
十間坂,ｼﾞｭｯｹﾝｻﾞｶ,2530045,14
松林,ｼｮｳﾘﾝ,2530017,14
白浜町,ｼﾗﾊﾏﾁｮｳ,2530036,14
新栄町,ｼﾝｴｲﾁｮｳ,2530044,14
芹沢,ｾﾘｻﾞﾜ,2530008,14
代官町,ﾀﾞｲｶﾝﾁｮｳ,2530015,14
高田,ﾀｶﾀ,2530002,14
茅ヶ崎,ﾁｶﾞｻｷ,2530041,14
堤,ﾂﾂﾐ,2530006,14
鶴が台,ﾂﾙｶﾞﾀﾞｲ,2530003,14
出口町,ﾃﾞｸﾞﾁﾁｮｳ,2530028,14
常盤町,ﾄｷﾜﾁｮｳ,2530032,14
共恵,ﾄﾓｴ,2530056,14
中海岸,ﾅｶｶｲｶﾞﾝ,2530055,14
中島,ﾅｶｼﾞﾏ,2530073,14
行谷,ﾅﾒｶﾞﾔ,2530007,14
南湖,ﾅﾝｺﾞ,2530061,14
西久保,ﾆｼｸﾎﾞ,2530083,14
萩園,ﾊｷﾞｿﾉ,2530071,14
浜須賀,ﾊﾏｽｶ,2530035,14
浜竹,ﾊﾏﾀｹ,2530021,14
浜之郷,ﾊﾏﾉｺﾞｳ,2530086,14
浜見平,ﾊﾏﾐﾀﾞｲﾗ,2530062,14
東海岸南,ﾋｶﾞｼｶｲｶﾞﾝﾐﾅﾐ,2530054,14
東海岸北,ﾋｶﾞｼｶｲｶﾞﾝｷﾀ,2530053,14
菱沼,ﾋｼﾇﾏ,2530011,14
菱沼海岸,ﾋｼﾇﾏｶｲｶﾞﾝ,2530037,14
ひばりが丘,ﾋﾊﾞﾘｶﾞｵｶ,2530027,14
富士見町,ﾌｼﾞﾐﾁｮｳ,2530031,14
平太夫新田,ﾍｲﾀﾞﾕｳｼﾝﾃﾞﾝ,2530074,14
平和町,ﾍｲﾜﾁｮｳ,2530024,14
本宿町,ﾎﾝｼﾞｭｸﾁｮｳ,2530014,14
本村,ﾎﾝｿﾝ,2530042,14
松尾,ﾏﾂｵ,2530065,14
松風台,ﾏﾂｶｾﾞﾀﾞｲ,2530005,14
松が丘,ﾏﾂｶﾞｵｶ,2530025,14
松浪,ﾏﾂﾅﾐ,2530022,14
みずき,ﾐｽﾞｷ,2530088,14
美住町,ﾐｽﾐﾁｮｳ,2530023,14
緑が浜,ﾐﾄﾞﾘｶﾞﾊﾏ,2530034,14
室田,ﾑﾛﾀ,2530018,14
元町,ﾓﾄﾏﾁ,2530043,14
柳島,ﾔﾅｷﾞｼﾏ,2530064,14
柳島海岸,ﾔﾅｷﾞｼﾏｶｲｶﾞﾝ,2530063,14
矢畑,ﾔﾊﾞﾀ,2530085,14
若松町,ﾜｶﾏﾂﾁｮｳ,2530051,14
