another_name,another_name_kana,post_id,prefecture_id
,,0000000,40
阿志岐,ｱｼｷ,8180011,40
天山,ｱﾏﾔﾏ,8180012,40
石崎,ｲｼｻﾞｷ,8180068,40
牛島,ｳｼｼﾞﾏ,8180014,40
美しが丘南,ｳﾂｸｼｶﾞｵｶﾐﾅﾐ,8180034,40
美しが丘北,ｳﾂｸｼｶﾞｵｶｷﾀ,8180035,40
大石,ｵｵｲｼ,8180006,40
岡田,ｵｶﾀﾞ,8180013,40
上古賀,ｶﾐｺｶﾞ,8180041,40
隈,ｸﾏ,8180031,40
香園,ｺｳｿﾞﾉ,8180002,40
古賀,ｺｶﾞ,8180047,40
桜台,ｻｸﾗﾀﾞｲ,8180063,40
下見,ｼﾀﾐ,8180021,40
杉塚,ｽｷﾞﾂﾞｶ,8180054,40
俗明院,ｿﾞｸﾐｮｳｲﾝ,8180067,40
筑紫,ﾁｸｼ,8180025,40
筑紫駅前通,ﾁｸｼｴｷﾏｴﾄﾞｵﾘ,8180022,40
常松,ﾂﾈﾏﾂ,8180064,40
天拝坂,ﾃﾝﾊﾟｲｻﾞｶ,8180053,40
塔原東,ﾄｳﾉﾊﾙﾋｶﾞｼ,8180059,40
塔原西,ﾄｳﾉﾊﾙﾆｼ,8180073,40
塔原南,ﾄｳﾉﾊﾙﾐﾅﾐ,8180074,40
永岡,ﾅｶﾞｵｶ,8180066,40
西小田,ﾆｼｵﾀﾞ,8180032,40
萩原,ﾊｷﾞﾜﾗ,8180044,40
針摺北,ﾊﾘｽﾘｷﾀ,8180085,40
針摺中央,ﾊﾘｽﾘﾁｭｳｵｳ,8180083,40
針摺西,ﾊﾘｽﾘﾆｼ,8180084,40
針摺東,ﾊﾘｽﾘﾋｶﾞｼ,8180081,40
針摺南,ﾊﾘｽﾘﾐﾅﾐ,8180082,40
原,ﾊﾙ,8180005,40
原田,ﾊﾙﾀﾞ,8180024,40
光が丘,ﾋｶﾘｶﾞｵｶ,8180036,40
平等寺,ﾋﾞｮｳﾄﾞｳｼﾞ,8180045,40
二日市北,ﾌﾂｶｲﾁｷﾀ,8180056,40
二日市中央,ﾌﾂｶｲﾁﾁｭｳｵｳ,8180072,40
二日市西,ﾌﾂｶｲﾁﾆｼ,8180071,40
二日市南,ﾌﾂｶｲﾁﾐﾅﾐ,8180057,40
本道寺,ﾎﾝﾄﾞｳｼﾞ,8180007,40
美咲,ﾐｻｷ,8180026,40
武藏,ﾑｻｼ,8180052,40
むさしケ丘,ﾑｻｼｶﾞｵｶ,8180043,40
紫,ﾑﾗｻｷ,8180061,40
諸田,ﾓﾛﾀ,8180065,40
山家,ﾔﾏｴ,8180003,40
山口,ﾔﾏｸﾞﾁ,8180046,40
柚須原,ﾕｽﾊﾞﾙ,8180001,40
湯町,ﾕﾏﾁ,8180058,40
吉木,ﾖｼｷ,8180004,40
立明寺,ﾘｭｳﾐｮｳｼﾞ,8180042,40
若江,ﾜｶｴ,8180023,40
