another_name,another_name_kana,post_id,prefecture_id
,,0000000,12
市野々,ｲﾁﾉﾉ,2970144,12
今泉,ｲﾏｲｽﾞﾐ,2970103,12
岩川,ｲﾜｶﾜ,2970101,12
岩撫,ｲﾜﾅﾃﾞ,2970154,12
小沢,ｵｻﾞﾜ,2970142,12
小生田,ｵﾌﾞﾀ,2970136,12
笠森,ｶｻﾓﾘ,2970125,12
上小野田,ｶﾐｵﾉﾀﾞ,2970137,12
給田,ｷｭｳﾃﾞﾝ,2970132,12
蔵持,ｸﾗﾓﾁ,2970123,12
坂本,ｻｶﾓﾄ,2970122,12
佐坪,ｻﾂﾎﾞ,2970145,12
芝原,ｼﾊﾞﾊﾗ,2970134,12
地引,ｼﾞﾋｷ,2970135,12
下小野田,ｼﾓｵﾉﾀﾞ,2970138,12
須田,ｽﾀﾞ,2970111,12
関原,ｾｷﾊﾞﾗ,2970113,12
千手堂,ｾﾝｼﾞｭﾄﾞｳ,2970114,12
千田,ｾﾝﾀﾞ,2970115,12
竹林,ﾀｹﾊﾞﾔｼ,2970155,12
棚毛,ﾀﾅｹﾞ,2970105,12
長南,ﾁｮｳﾅﾝ,2970121,12
豊原,ﾄﾖﾊﾗ,2970133,12
中原,ﾅｶﾊﾗ,2970131,12
深沢,ﾌｶｻﾜ,2970124,12
報恩寺,ﾎｳｵﾝｼﾞ,2970141,12
又富,ﾏﾀﾄﾞﾐ,2970104,12
水沼,ﾐｽﾞﾇﾏ,2970152,12
美原台,ﾐﾊﾗﾀﾞｲ,2970143,12
茗荷沢,ﾐｮｳｶﾞｻﾞﾜ,2970151,12
本台,ﾓﾄﾀﾞｲ,2970102,12
山内,ﾔﾏｳﾁ,2970153,12
米満,ﾖﾈﾐﾁ,2970112,12
