another_name,another_name_kana,post_id,prefecture_id
,,0000000,12
赤塚町,ｱｶﾂﾞｶﾏﾁ,2880844,12
海鹿島町,ｱｼｶｼﾞﾏﾁｮｳ,2880005,12
芦崎町,ｱｼｻｷﾁｮｳ,2880861,12
愛宕町,ｱﾀｺﾞﾁｮｳ,2880007,12
新生町,ｱﾗｵｲﾁｮｳ,2880056,12
粟島町,ｱﾜｼﾏﾁｮｳ,2880034,12
飯沼町,ｲｲﾇﾏﾁｮｳ,2880051,12
犬吠埼,ｲﾇﾎﾞｳｻﾞｷ,2880012,12
犬若,ｲﾇﾜｶ,2880015,12
今宮町,ｲﾏﾐﾔﾁｮｳ,2880804,12
上野町,ｳｴﾉﾁｮｳ,2880805,12
植松町,ｳｴﾏﾂﾁｮｳ,2880071,12
内浜町,ｳﾁﾊﾞﾏﾁｮｳ,2880068,12
大橋町,ｵｵﾊｼﾁｮｳ,2880046,12
岡野台町,ｵｶﾉﾀﾞｲﾁｮｳ,2880852,12
小浜町,ｵﾊﾞﾏﾁｮｳ,2880821,12
親田町,ｵﾔﾀﾞﾁｮｳ,2880823,12
垣根町,ｶｷﾈﾏﾁ,2880835,12
垣根見晴台,ｶｷﾈﾐﾊﾗｼﾀﾞｲ,2880833,12
笠上町,ｶｻｶﾞﾐﾁｮｳ,2880004,12
春日台町,ｶｽｶﾞﾀﾞｲﾏﾁ,2880816,12
春日町,ｶｽｶﾞﾁｮｳ,2880814,12
唐子町,ｶﾗｺﾁｮｳ,2880801,12
川口町,ｶﾜｸﾞﾁﾁｮｳ,2880001,12
北小川町,ｷﾀｵｶﾞﾜﾁｮｳ,2880037,12
君ケ浜,ｷﾐｶﾞﾊﾏ,2880011,12
清川町,ｷﾖｶﾜﾁｮｳ,2880817,12
黒生町,ｸﾛﾊｲﾁｮｳ,2880003,12
小長町,ｺﾅｶﾞﾁｮｳ,2880866,12
小畑新町,ｺﾊﾞﾀｹｼﾝﾏﾁ,2880021,12
小畑町,ｺﾊﾞﾀｹﾏﾁ,2880022,12
後飯町,ｺﾞﾊﾝﾁｮｳ,2880064,12
小船木町,ｺﾌﾞﾅｷﾁｮｳ,2880864,12
幸町,ｻｲﾜｲﾁｮｳ,2880073,12
栄町,ｻｶｴﾁｮｳ,2880812,12
榊町,ｻｶｷﾁｮｳ,2880006,12
桜井町,ｻｸﾗｲﾁｮｳ,2880876,12
笹本町,ｻｻﾓﾄﾁｮｳ,2880873,12
猿田町,ｻﾙﾀﾞﾁｮｳ,2880855,12
三軒町,ｻﾝｹﾞﾝﾁｮｳ,2880045,12
潮見町,ｼｵﾐﾁｮｳ,2880025,12
忍町,ｼﾉﾋﾞﾁｮｳ,2880867,12
柴崎町,ｼﾊﾞｻｷﾏﾁ,2880842,12
清水町,ｼﾐｽﾞﾁｮｳ,2880063,12
正明寺町,ｼｮｳﾐｮｳｼﾞﾁｮｳ,2880856,12
白石町,ｼﾗｲｼﾁｮｳ,2880853,12
新地町,ｼﾝﾁﾁｮｳ,2880067,12
新町,ｼﾝﾁｮｳ,2880825,12
陣屋町,ｼﾞﾝﾔﾁｮｳ,2880055,12
末広町,ｽｴﾋﾛﾁｮｳ,2880042,12
台町,ﾀﾞｲﾏﾁ,2880813,12
高神原町,ﾀｶｶﾞﾐﾊﾗﾏﾁ,2880027,12
高神東町,ﾀｶｶﾞﾐﾋｶﾞｼﾏﾁ,2880023,12
高神西町,ﾀｶｶﾞﾐﾆｼﾏﾁ,2880026,12
高田町,ﾀｶﾀﾞﾁｮｳ,2880862,12
高野町,ﾀｶﾉﾏﾁ,2880834,12
竹町,ﾀｹﾁｮｳ,2880062,12
田中町,ﾀﾅｶﾁｮｳ,2880065,12
茶畑町,ﾁｬﾊﾞﾀｹﾁｮｳ,2880854,12
中央町,ﾁｭｳｵｳﾁｮｳ,2880041,12
塚本町,ﾂｶﾓﾄﾁｮｳ,2880868,12
天王台,ﾃﾝﾉｳﾀﾞｲ,2880024,12
通町,ﾄｵﾘﾁｮｳ,2880075,12
外川台町,ﾄｶﾜﾀﾞｲﾏﾁ,2880016,12
外川町,ﾄｶﾜﾏﾁ,2880014,12
常世田町,ﾄｺﾖﾀﾞﾁｮｳ,2880824,12
富川町,ﾄﾐｶﾞﾜﾁｮｳ,2880871,12
豊里台,ﾄﾖｻﾄﾀﾞｲ,2880874,12
名洗町,ﾅｱﾗｲﾏﾁ,2880035,12
中島町,ﾅｶｼﾞﾏﾁｮｳ,2880858,12
仲町,ﾅｶﾁｮｳ,2880077,12
長崎町,ﾅｶﾞｻｷﾏﾁ,2880013,12
長塚町,ﾅｶﾞﾂｶﾏﾁ,2880837,12
長山町,ﾅｶﾞﾔﾏﾁｮｳ,2880865,12
西小川町,ﾆｼｵｶﾞﾜﾁｮｳ,2880036,12
西芝町,ﾆｼｼﾊﾞﾁｮｳ,2880044,12
野尻町,ﾉｼﾞﾘﾁｮｳ,2880863,12
橋本町,ﾊｼﾓﾄﾁｮｳ,2880074,12
浜町,ﾊﾏﾁｮｳ,2880052,12
馬場町,ﾊﾞﾊﾞﾁｮｳ,2880054,12
東小川町,ﾋｶﾞｼｵｶﾞﾜﾁｮｳ,2880032,12
東芝町,ﾋｶﾞｼｼﾊﾞﾁｮｳ,2880043,12
東町,ﾋｶﾞｼﾁｮｳ,2880053,12
双葉町,ﾌﾀﾊﾞﾁｮｳ,2880048,12
船木町,ﾌﾅｷﾁｮｳ,2880857,12
本城町,ﾎﾝｼﾞｮｳﾏﾁ,2880831,12
本町,ﾎﾝﾁｮｳ,2880076,12
前宿町,ﾏｴｼﾞｭｸﾁｮｳ,2880031,12
松岸町,ﾏﾂｷﾞｼﾏﾁ,2880836,12
松岸見晴台,ﾏﾂｷﾞｼﾐﾊﾗｼﾀﾞｲ,2880832,12
松本町,ﾏﾂﾓﾄﾁｮｳ,2880802,12
三門町,ﾐｶﾄﾞﾁｮｳ,2880851,12
三崎町,ﾐｻｷﾁｮｳ,2880815,12
港町,ﾐﾅﾄﾁｮｳ,2880061,12
南小川町,ﾐﾅﾐｵｶﾞﾜﾁｮｳ,2880033,12
南町,ﾐﾅﾐﾁｮｳ,2880038,12
三宅町,ﾐﾔｹﾏﾁ,2880845,12
宮原町,ﾐﾔﾊﾞﾗﾁｮｳ,2880877,12
妙見町,ﾐｮｳｹﾝﾁｮｳ,2880811,12
明神町,ﾐｮｳｼﾞﾝﾁｮｳ,2880002,12
森戸町,ﾓﾘﾄﾁｮｳ,2880872,12
諸持町,ﾓﾛﾓﾁﾁｮｳ,2880875,12
八木町,ﾔｷﾞﾁｮｳ,2880822,12
弥生町,ﾔﾖｲﾁｮｳ,2880072,12
八幡町,ﾔﾊﾀﾁｮｳ,2880803,12
四日市場台,ﾖｯｶｲﾁﾊﾞﾀﾞｲ,2880843,12
四日市場町,ﾖｯｶｲﾁﾊﾞﾏﾁ,2880841,12
余山町,ﾖﾔﾏﾏﾁ,2880846,12
若宮町,ﾜｶﾐﾔﾁｮｳ,2880047,12
和田町,ﾜﾀﾞﾁｮｳ,2880066,12
