another_name,another_name_kana,post_id,prefecture_id
,,0000000,40
朝霧,ｱｻｷﾞﾘ,8090021,40
池田,ｲｹﾀﾞ,8090024,40
岩瀬,ｲﾜｾ,8090011,40
岩瀬西町,ｲﾜｾﾆｼﾏﾁ,8090041,40
扇ケ浦,ｵｳｷﾞｶﾞｳﾗ,8090023,40
大辻町,ｵｵﾂｼﾞﾏﾁ,8090026,40
大根土,ｵｵﾈﾄ,8090039,40
小田ケ浦,ｵﾀﾞｶﾞｳﾗ,8090031,40
上底井野,ｶﾐｿｺｲﾉ,8090003,40
上蓮花寺,ｶﾐﾚﾝｹﾞｼﾞ,8090013,40
桜台,ｻｸﾗﾀﾞｲ,8090017,40
下大隈,ｼﾓｵｵｸﾏ,8090004,40
下蓮花寺,ｼﾓﾚﾝｹﾞｼﾞ,8090012,40
浄花町,ｼﾞｮｳｶﾏﾁ,8090038,40
太賀,ﾀｶﾞ,8090015,40
中央,ﾁｭｳｵｳ,8090030,40
通谷,ﾄｵﾘﾀﾆ,8090018,40
土手ノ内,ﾄﾞﾃﾉｳﾁ,8090033,40
中尾,ﾅｶｵ,8090032,40
中底井野,ﾅｶｿｺｲﾉ,8090002,40
長津,ﾅｶﾞﾂ,8090036,40
中鶴,ﾅｶﾂﾞﾙ,8090037,40
中間,ﾅｶﾏ,8090034,40
七重町,ﾅﾅｴﾏﾁ,8090027,40
鍋山町,ﾅﾍﾞﾔﾏﾏﾁ,8090022,40
垣生,ﾊﾌﾞ,8090001,40
東中間,ﾋｶﾞｼﾅｶﾏ,8090019,40
深坂,ﾌｶｻｶ,8090025,40
星ケ丘,ﾎｼｶﾞｵｶ,8090016,40
松ケ岡,ﾏﾂｶﾞｵｶ,8090035,40
弥生,ﾔﾖｲ,8090028,40
蓮花寺,ﾚﾝｹﾞｼﾞ,8090014,40
