another_name,another_name_kana,post_id,prefecture_id
,,0000000,5
朝日町,ｱｻﾋﾏﾁ,0140013,5
飯田,ｲｲﾀﾞ,0140067,5
泉町,ｲｽﾞﾐﾁｮｳ,0140004,5
板見内,ｲﾀﾐﾅｲ,0140112,5
内小友,ｳﾁｵﾄﾓ,0140073,5
円行寺,ｴﾝｷﾞｮｳｼﾞ,0192201,5
大神成,ｵｵｶﾝﾅﾘ,0140714,5
大沢郷宿,ｵｵｻﾜｺﾞｳｼｭｸ,0192202,5
大沢郷寺,ｵｵｻﾜｺﾞｳﾃﾗ,0192103,5
太田町永代,ｵｵﾀﾁｮｳｴｲﾀﾞｲ,0191616,5
太田町太田,ｵｵﾀﾁｮｳｵｵﾀ,0191613,5
太田町川口,ｵｵﾀﾁｮｳｶﾜｸﾞﾁ,0191615,5
太田町国見,ｵｵﾀﾁｮｳｸﾆﾐ,0191605,5
太田町小神成,ｵｵﾀﾁｮｳｺｶﾞﾅﾘ,0191612,5
太田町駒場,ｵｵﾀﾁｮｳｺﾏﾊﾞ,0191604,5
太田町斉内,ｵｵﾀﾁｮｳｻｲﾅｲ,0191611,5
太田町三本扇,ｵｵﾀﾁｮｳｻﾝﾎﾞﾝｵｳｷﾞ,0191602,5
太田町中里,ｵｵﾀﾁｮｳﾅｶｻﾄ,0191603,5
太田町東今泉,ｵｵﾀﾁｮｳﾋｶﾞｼｲﾏｲｽﾞﾐ,0191614,5
太田町横沢,ｵｵﾀﾁｮｳﾖｺｻﾜ,0191601,5
大花町,ｵｵﾊﾅﾁｮｳ,0140022,5
大曲,ｵｵﾏｶﾞﾘ,0140031,5
大曲あけぼの町,ｵｵﾏｶﾞﾘｱｹﾎﾞﾉﾁｮｳ,0140055,5
大曲飯田町,ｵｵﾏｶﾞﾘｲｲﾀﾞﾁｮｳ,0140068,5
大曲大町,ｵｵﾏｶﾞﾘｵｵﾏﾁ,0140025,5
大曲金谷町,ｵｵﾏｶﾞﾘｶﾅﾔﾁｮｳ,0140054,5
大曲上大町,ｵｵﾏｶﾞﾘｶﾐｵｵﾏﾁ,0140048,5
大曲上栄町,ｵｵﾏｶﾞﾘｶﾐｻｶｴﾁｮｳ,0140062,5
大曲川原町,ｵｵﾏｶﾞﾘｶﾜﾗﾁｮｳ,0140052,5
大曲黒瀬町,ｵｵﾏｶﾞﾘｸﾛｾﾁｮｳ,0140023,5
大曲栄町,ｵｵﾏｶﾞﾘｻｶｴﾁｮｳ,0140061,5
大曲白金町,ｵｵﾏｶﾞﾘｼﾛｶﾞﾈﾁｮｳ,0140015,5
大曲住吉町,ｵｵﾏｶﾞﾘｽﾐﾖｼﾁｮｳ,0140034,5
大曲須和町,ｵｵﾏｶﾞﾘｽﾜﾁｮｳ,0140047,5
大曲田町,ｵｵﾏｶﾞﾘﾀﾏﾁ,0140046,5
大曲通町,ｵｵﾏｶﾞﾘﾄｵﾘﾏﾁ,0140027,5
大曲戸巻町,ｵｵﾏｶﾞﾘﾄﾏｷﾁｮｳ,0140043,5
大曲中通町,ｵｵﾏｶﾞﾘﾅｶﾄﾞｵﾘﾏﾁ,0140024,5
大曲花園町,ｵｵﾏｶﾞﾘﾊﾅｿﾞﾉﾁｮｳ,0140053,5
大曲浜町,ｵｵﾏｶﾞﾘﾊﾏﾁｮｳ,0140051,5
大曲日の出町,ｵｵﾏｶﾞﾘﾋﾉﾃﾞﾁｮｳ,0140063,5
大曲福住町,ｵｵﾏｶﾞﾘﾌｸｽﾞﾐﾁｮｳ,0140014,5
大曲福見町,ｵｵﾏｶﾞﾘﾌｸﾐﾁｮｳ,0140042,5
大曲船場町,ｵｵﾏｶﾞﾘﾌﾅﾊﾞﾁｮｳ,0140057,5
大曲丸子町,ｵｵﾏｶﾞﾘﾏﾙｺﾁｮｳ,0140041,5
大曲丸の内町,ｵｵﾏｶﾞﾘﾏﾙﾉｳﾁﾏﾁ,0140026,5
大曲緑町,ｵｵﾏｶﾞﾘﾐﾄﾞﾘﾁｮｳ,0140056,5
大曲若葉町,ｵｵﾏｶﾞﾘﾜｶﾊﾞﾁｮｳ,0140045,5
大曲西根,ｵｵﾏｶﾞﾘﾆｼﾈ,0140072,5
大巻,ｵｵﾏｷ,0192331,5
小貫高畑,ｵﾇｷﾀｶﾊﾞﾀｹ,0140064,5
角間川町,ｶｸﾏｶﾞﾜﾏﾁ,0141413,5
金山沢,ｶﾈﾔﾏｻﾜ,0192333,5
上鶯野,ｶﾐｳｸﾞｲｽﾉ,0140202,5
刈和野,ｶﾘﾜﾉ,0192112,5
川目,ｶﾜﾉﾒ,0140066,5
北長野,ｷﾀﾅｶﾞﾉ,0140203,5
北楢岡,ｷﾀﾅﾗｵｶ,0191702,5
北野目,ｷﾀﾉﾒ,0192121,5
木原田,ｷﾊﾗﾀﾞ,0192334,5
協和荒川,ｷｮｳﾜｱﾗｶﾜ,0192412,5
協和稲沢,ｷｮｳﾜｲﾅｻﾞﾜ,0192521,5
協和上淀川,ｷｮｳﾜｶﾐﾖﾄﾞｶﾜ,0192413,5
協和小種,ｷｮｳﾜｺﾀﾈ,0192441,5
協和境,ｷｮｳﾜｻｶｲ,0192411,5
協和下淀川,ｷｮｳﾜｼﾓﾖﾄﾞｶﾜ,0192442,5
協和中淀川,ｷｮｳﾜﾅｶﾖﾄﾞｶﾜ,0192443,5
協和船岡,ｷｮｳﾜﾌﾅｵｶ,0192401,5
協和船沢,ｷｮｳﾜﾌﾈｻﾜ,0192402,5
協和峰吉川,ｷｮｳﾜﾐﾈﾖｼｶﾜ,0192431,5
九升田,ｸｼｮｳﾀﾞ,0192332,5
栗沢,ｸﾘｻﾜ,0140713,5
上野田,ｺｳｽﾞｹﾀ,0140803,5
強首,ｺﾜｸﾋﾞ,0192335,5
幸町,ｻｲﾜｲﾁｮｳ,0140012,5
佐野町,ｻﾉﾁｮｳ,0140017,5
清水,ｼﾐｽﾞ,0140204,5
下鶯野,ｼﾓｳｸﾞｲｽﾉ,0140201,5
下深井,ｼﾓﾌｶｲ,0140065,5
正手沢,ｼｮｳﾃｻﾞﾜ,0192204,5
神宮寺,ｼﾞﾝｸﾞｳｼﾞ,0191701,5
杉山田,ｽｷﾞﾔﾏﾀﾞ,0192205,5
高城,ﾀｶｼﾞｮｳ,0192122,5
高関上郷,ﾀｶｾﾞｷｶﾐｺﾞｳ,0140103,5
高梨,ﾀｶﾅｼ,0140805,5
土川,ﾂﾁｶﾜ,0192111,5
寺館,ﾃﾗﾀﾞﾃ,0192123,5
戸地谷,ﾄﾁﾔ,0140801,5
戸蒔,ﾄﾏｷ,0140044,5
豊岡,ﾄﾖｵｶ,0140712,5
豊川,ﾄﾖｶﾜ,0140711,5
長戸呂,ﾅｶﾞﾄﾛ,0140206,5
長野,ﾅｶﾞﾉ,0140207,5
南外赤畑,ﾅﾝｶﾞｲｱｶﾊﾀ,0191949,5
南外赤平後野,ﾅﾝｶﾞｲｱｶﾋﾗｳｼﾛﾉ,0191865,5
南外赤平貝沼,ﾅﾝｶﾞｲｱｶﾋﾗｶｲﾇﾏ,0191863,5
南外赤平大道東,ﾅﾝｶﾞｲｱｶﾋﾗﾀﾞｲﾄﾞｳﾋｶﾞｼ,0191864,5
