another_name,another_name_kana,post_id,prefecture_id
,,0000000,27
赤井,ｱｶｲ,5740046,27
曙町,ｱｹﾎﾞﾉﾁｮｳ,5740076,27
明美の里町,ｱｹﾐﾉｻﾄﾁｮｳ,5740003,27
泉町,ｲｽﾞﾐﾏﾁ,5740024,27
栄和町,ｴｲﾜﾁｮｳ,5740032,27
扇町,ｵｳｷﾞﾏﾁ,5740033,27
大野,ｵｵﾉ,5740042,27
学園町,ｶﾞｸｴﾝﾁｮｳ,5740001,27
川中新町,ｶﾜﾅｶｼﾝﾏﾁ,5740031,27
北楠の里町,ｷﾀｸｽﾉｻﾄﾁｮｳ,5740007,27
北新町,ｷﾀｼﾝﾏﾁ,5740008,27
御供田,ｺﾞｸﾃﾞﾝ,5740025,27
御領,ｺﾞﾘｮｳ,5740064,27
幸町,ｻｲﾜｲﾁｮｳ,5740028,27
三箇,ｻﾝｶﾞ,5740077,27
三洋町,ｻﾝﾖｳﾁｮｳ,5740035,27
新田旭町,ｼﾝﾃﾞﾝｱｻﾋﾏﾁ,5740053,27
新田境町,ｼﾝﾃﾞﾝｻｶｲﾏﾁ,5740051,27
新田中町,ｼﾝﾃﾞﾝﾅｶﾏﾁ,5740056,27
新田西町,ｼﾝﾃﾞﾝﾆｼﾏﾁ,5740057,27
新田北町,ｼﾝﾃﾞﾝｷﾀﾏﾁ,5740052,27
新田東本町,ｼﾝﾃﾞﾝﾋｶﾞｼﾎﾝﾏﾁ,5740054,27
新田本町,ｼﾝﾃﾞﾝﾎﾝﾏﾁ,5740055,27
新町,ｼﾝﾏﾁ,5740037,27
末広町,ｽｴﾋﾛﾁｮｳ,5740036,27
住道,ｽﾐﾉﾄﾞｳ,5740026,27
大東町,ﾀﾞｲﾄｳﾁｮｳ,5740061,27
太子田,ﾀｼﾃﾞﾝ,5740045,27
龍間,ﾀﾂﾏ,5740012,27
谷川,ﾀﾆｶﾞﾜ,5740074,27
津の辺町,ﾂﾉﾍﾞﾁｮｳ,5740017,27
寺川,ﾃﾗｶﾞﾜ,5740014,27
中垣内,ﾅｶｶﾞｲﾄ,5740013,27
中楠の里町,ﾅｶｸｽﾉｻﾄﾁｮｳ,5740006,27
南郷町,ﾅﾝｺﾞｳﾁｮｳ,5740063,27
錦町,ﾆｼｷﾁｮｳ,5740002,27
西楠の里町,ﾆｼｸｽﾉｻﾄﾁｮｳ,5740005,27
野崎,ﾉｻﾞｷ,5740015,27
灰塚,ﾊｲﾂﾞｶ,5740043,27
浜町,ﾊﾏﾏﾁ,5740041,27
氷野,ﾋﾉ,5740062,27
平野屋,ﾋﾗﾉﾔ,5740022,27
平野屋新町,ﾋﾗﾉﾔｼﾝﾏﾁ,5740021,27
深野,ﾌｺﾉ,5740072,27
深野南町,ﾌｺﾉﾐﾅﾐﾁｮｳ,5740075,27
深野北,ﾌｺﾉｷﾀ,5740071,27
北条,ﾎｳｼﾞｮｳ,5740011,27
朋来,ﾎｳﾗｲ,5740034,27
三住町,ﾐｽﾐﾁｮｳ,5740027,27
緑が丘,ﾐﾄﾞﾘｶﾞｵｶ,5740073,27
南楠の里町,ﾐﾅﾐｸｽﾉｻﾄﾁｮｳ,5740004,27
南新田,ﾐﾅﾐｼﾝﾃﾞﾝ,5740023,27
南津の辺町,ﾐﾅﾐﾂﾉﾍﾞﾁｮｳ,5740016,27
諸福,ﾓﾛﾌｸ,5740044,27
