another_name,another_name_kana,post_id,prefecture_id
,,0000000,7
赤坂,ｱｶｻｶ,9601465,7
秋山,ｱｷﾔﾏ,9601409,7
飯坂,ｲｲｻﾞｶ,9601401,7
池ノ入,ｲｹﾉｲﾘ,9601423,7
石川,ｲｼｶﾜ,9601476,7
上桜,ｳｴｻﾞｸﾗ,9601414,7
後田,ｳｼﾛﾀﾞ,9601452,7
海老ケ作,ｴﾋﾞｶﾞｻｸ,9601485,7
延命神,ｴﾝﾒｲｼﾞﾝ,9601484,7
大内,ｵｵｳﾁ,9601443,7
大作,ｵｵｻｸ,9601435,7
大清水,ｵｵｼﾐｽﾞ,9601431,7
大綱木,ｵｵﾂﾅｷﾞ,9601403,7
小島,ｵｼﾞﾏ,9601489,7
柏崎,ｶｼﾜｻﾞｷ,9601429,7
壁沢,ｶﾍﾞｻﾜ,9601478,7
川原田,ｶﾜﾊﾗﾀﾞ,9601436,7
瓦町,ｶﾜﾗﾏﾁ,9601453,7
草ケ入,ｸｻｶﾞｲﾘ,9601472,7
倉ケ作,ｸﾗｶﾞｻｸ,9601477,7
後庵,ｺﾞｱﾝ,9601442,7
小神,ｺｶﾞﾐ,9601407,7
小作,ｺｻｸ,9601434,7
小綱木,ｺﾂﾅｷﾞ,9601402,7
五百田,ｺﾞﾋｬｸﾀﾞ,9601428,7
桜ケ作,ｻｸﾗｶﾞｻｸ,9601473,7
三百田,ｻﾝﾋﾞｬｸﾀﾞ,9601487,7
下拍子,ｼﾀﾋﾞｮｳｼ,9601486,7
賤ノ田,ｼﾂﾉﾀ,9601433,7
新田,ｼﾝﾃﾞﾝ,9601488,7
新中町,ｼﾝﾅｶﾏﾁ,9601422,7
新宮,ｼﾝﾐﾔ,9601425,7
竹ノ内,ﾀｹﾉｳﾁ,9601455,7
舘,ﾀﾃ,9601446,7
舘ノ腰,ﾀﾃﾉｺｼ,9601416,7
段ノ腰,ﾀﾞﾝﾉｺｼ,9601427,7
壺ケ作,ﾂﾎﾞｶﾞｻｸ,9601483,7
鶴沢,ﾂﾙｻﾞﾜ,9601406,7
鉄炮町,ﾃｯﾎﾟｳﾏﾁ,9601421,7
寺久保,ﾃﾗｸﾎﾞ,9601424,7
寺前,ﾃﾗﾏｴ,9601462,7
天神入,ﾃﾝｼﾞﾝｲﾘ,9601468,7
樋ノ口,ﾄｲﾉｸﾁ,9601463,7
道場,ﾄﾞｳｼﾞｮｳ,9601469,7
中島,ﾅｶｼﾞﾏ,9601445,7
中丁,ﾅｶﾁｮｳ,9601456,7
仲ノ内,ﾅｶﾉｳﾁ,9601412,7
七窪,ﾅﾅｸﾎﾞ,9601481,7
七曲,ﾅﾅﾏｶﾞﾘ,9601474,7
仁井町,ﾆｲﾏﾁ,9601415,7
西戸ノ内,ﾆｼﾄﾉｳﾁ,9601471,7
西福沢,ﾆｼﾌｸｻﾞﾜ,9601404,7
根本,ﾈﾓﾄ,9601444,7
橋本,ﾊｼﾓﾄ,9601417,7
八反田,ﾊｯﾀﾝﾀﾞ,9601454,7
羽田,ﾊﾈﾀﾞ,9601408,7
早坂,ﾊﾔｻｶ,9601475,7
東大清水,ﾋｶﾞｼｵｵｼﾐｽﾞ,9601432,7
東福沢,ﾋｶﾞｼﾌｸｻﾞﾜ,9601405,7
広畑,ﾋﾛﾊﾀ,9601413,7
日和田,ﾋﾜﾀﾞ,9601426,7
細田,ﾎｿﾀﾞ,9601411,7
道内,ﾐﾁｳﾁ,9601441,7
宮ノ入,ﾐﾔﾉｲﾘ,9601467,7
宮ノ脇,ﾐﾔﾉﾜｷ,9601464,7
宮前,ﾐﾔﾏｴ,9601466,7
宮町,ﾐﾔﾏﾁ,9601461,7
本町,ﾓﾄﾏﾁ,9601451,7
元屋敷,ﾓﾄﾔｼｷ,9601482,7
山木屋,ﾔﾏｷﾔ,9601501,7
