another_name,another_name_kana,post_id,prefecture_id
,,0000000,40
青葉台,ｱｵﾊﾞﾀﾞｲ,8180137,40
青山,ｱｵﾔﾏ,8180121,40
石坂,ｲｼｻﾞｶ,8180118,40
内山,ｳﾁﾔﾏ,8180115,40
梅ケ丘,ｳﾒｶﾞｵｶ,8180123,40
大佐野,ｵｵｻﾞﾉ,8180134,40
観世音寺,ｶﾝｾﾞｵﾝｼﾞ,8180101,40
北谷,ｷﾀﾀﾞﾆ,8180114,40
国分,ｺｸﾌﾞ,8180132,40
五条,ｺﾞｼﾞｮｳ,8180125,40
宰都,ｻｲﾄ,8180139,40
宰府,ｻｲﾌ,8180117,40
坂本,ｻｶﾓﾄ,8180133,40
三条,ｻﾝｼﾞｮｳ,8180111,40
白川,ｼﾗｶﾜ,8180102,40
朱雀,ｽｻﾞｸ,8180103,40
高雄,ﾀｶｵ,8180122,40
通古賀,ﾄｵﾉｺｶﾞ,8180104,40
都府楼南,ﾄﾌﾛｳﾐﾅﾐ,8180105,40
長浦台,ﾅｶﾞｳﾗﾀﾞｲ,8180136,40
梅香苑,ﾊﾞｲｺｳｴﾝ,8180124,40
御笠,ﾐｶｻ,8180110,40
水城,ﾐｽﾞｷ,8180131,40
向佐野,ﾑｶｲｻﾞﾉ,8180135,40
吉松,ﾖｼﾏﾂ,8180138,40
連歌屋,ﾚﾝｶﾞﾔ,8180119,40
