another_name,another_name_kana,post_id,prefecture_id
,,0000000,1
１条,1ｼﾞｮｳ,0670011,1
２条,2ｼﾞｮｳ,0670012,1
３条,3ｼﾞｮｳ,0670013,1
４条,4ｼﾞｮｳ,0670014,1
５条,5ｼﾞｮｳ,0670015,1
６条,6ｼﾞｮｳ,0670016,1
７条,7ｼﾞｮｳ,0670017,1
８条,8ｼﾞｮｳ,0670018,1
あけぼの町,ｱｹﾎﾞﾉﾁｮｳ,0670025,1
あさひが丘,ｱｻﾋｶﾞｵｶ,0690826,1
朝日町,ｱｻﾋﾁｮｳ,0670024,1
いずみ野,ｲｽﾞﾐﾉ,0670034,1
一番町,ｲﾁﾊﾞﾝﾁｮｳ,0670072,1
江別太,ｴﾍﾞﾂﾌﾞﾄ,0670022,1
王子,ｵｳｼﾞ,0670001,1
大麻,ｵｵｱｻ,0690845,1
大麻泉町,ｵｵｱｻｲｽﾞﾐﾁｮｳ,0690864,1
大麻扇町,ｵｵｱｻｵｳｷﾞﾏﾁ,0690843,1
大麻北町,ｵｵｱｻｷﾀﾏﾁ,0690861,1
大麻栄町,ｵｵｱｻｻｶｴﾏﾁ,0690862,1
大麻桜木町,ｵｵｱｻｻｸﾗｷﾞﾁｮｳ,0690846,1
大麻沢町,ｵｵｱｻｻﾜﾏﾁ,0690842,1
大麻新町,ｵｵｱｻｼﾝﾏﾁ,0690863,1
大麻園町,ｵｵｱｻｿﾉﾏﾁ,0690851,1
大麻高町,ｵｵｱｻﾀｶﾏﾁ,0690853,1
大麻中町,ｵｵｱｻﾅｶﾏﾁ,0690854,1
大麻西町,ｵｵｱｻﾆｼﾏﾁ,0690844,1
大麻晴美町,ｵｵｱｻﾊﾙﾐﾁｮｳ,0690866,1
大麻東町,ｵｵｱｻﾋｶﾞｼﾏﾁ,0690852,1
大麻ひかり町,ｵｵｱｻﾋｶﾘﾏﾁ,0690847,1
大麻南樹町,ｵｵｱｻﾐﾅｷﾁｮｳ,0690865,1
大麻宮町,ｵｵｱｻﾐﾔﾏﾁ,0690855,1
大麻元町,ｵｵｱｻﾓﾄﾏﾁ,0690841,1
角山,ｶｸﾔﾏ,0670052,1
上江別,ｶﾐｴﾍﾞﾂ,0670064,1
上江別西町,ｶﾐｴﾍﾞﾂﾆｼﾏﾁ,0670063,1
上江別東町,ｶﾐｴﾍﾞﾂﾋｶﾞｼﾏﾁ,0670061,1
上江別南町,ｶﾐｴﾍﾞﾂﾐﾅﾐﾏﾁ,0670062,1
工栄町,ｺｳｴｲﾁｮｳ,0670051,1
幸町,ｻｲﾜｲﾁｮｳ,0690812,1
篠津,ｼﾉﾂ,0670055,1
新栄台,ｼﾝｴｲﾀﾞｲ,0690806,1
高砂町,ﾀｶｻｺﾞﾁｮｳ,0670074,1
中央町,ﾁｭｳｵｳﾁｮｳ,0690801,1
対雁,ﾂｲｼｶﾘ,0670033,1
東光町,ﾄｳｺｳﾁｮｳ,0670023,1
豊幌,ﾄﾖﾎﾛ,0670021,1
豊幌花園町,ﾄﾖﾎﾛﾊﾅｿﾞﾉﾁｮｳ,0670026,1
豊幌はみんぐ町,ﾄﾖﾎﾛﾊﾐﾝｸﾞﾁｮｳ,0670028,1
豊幌美咲町,ﾄﾖﾎﾛﾐｻｷﾁｮｳ,0670027,1
中島,ﾅｶｼﾞﾏ,0670053,1
錦町,ﾆｼｷﾁｮｳ,0690811,1
西野幌,ﾆｼﾉｯﾎﾟﾛ,0690832,1
野幌寿町,ﾉｯﾎﾟﾛｺﾄﾌﾞｷﾁｮｳ,0690802,1
野幌末広町,ﾉｯﾎﾟﾛｽｴﾋﾛﾁｮｳ,0690815,1
野幌住吉町,ﾉｯﾎﾟﾛｽﾐﾖｼﾁｮｳ,0690816,1
野幌屯田町,ﾉｯﾎﾟﾛﾄﾝﾃﾞﾝﾁｮｳ,0690803,1
野幌東町,ﾉｯﾎﾟﾛﾋｶﾞｼﾏﾁ,0690825,1
野幌松並町,ﾉｯﾎﾟﾛﾏﾂﾅﾐﾁｮｳ,0690814,1
野幌美幸町,ﾉｯﾎﾟﾛﾐﾕｷﾁｮｳ,0690804,1
野幌代々木町,ﾉｯﾎﾟﾛﾖﾖｷﾞﾁｮｳ,0690817,1
野幌若葉町,ﾉｯﾎﾟﾛﾜｶﾊﾞﾁｮｳ,0690831,1
野幌町,ﾉｯﾎﾟﾛﾁｮｳ,0690813,1
