another_name,another_name_kana,post_id,prefecture_id
,,0000000,21
明智町,ｱｹﾁﾁｮｳ,0000000,21
明智町阿妻,ｱｹﾁﾁｮｳｱﾂﾞﾏ,5097725,21
明智町大泉,ｱｹﾁﾁｮｳｵｵｲｽﾞﾐ,5097721,21
明智町大田,ｱｹﾁﾁｮｳｵｵﾀ,5097723,21
明智町吉良見,ｱｹﾁﾁｮｳｷﾗﾐ,5097726,21
明智町杉野,ｱｹﾁﾁｮｳｽｷﾞﾉ,5097702,21
明智町野志,ｱｹﾁﾁｮｳﾉｼ,5097701,21
明智町東方,ｱｹﾁﾁｮｳﾋｶﾞｼｶﾞﾀ,5097711,21
明智町横通,ｱｹﾁﾁｮｳﾖｺﾄﾞｵﾘ,5097724,21
明智町新井町,ｱｹﾁﾁｮｳｱﾗｲﾁｮｳ,5097708,21
明智町市場町,ｱｹﾁﾁｮｳｲﾁﾊﾞﾁｮｳ,5097703,21
明智町駅前町,ｱｹﾁﾁｮｳｴｷﾏｴﾁｮｳ,5097704,21
明智町片平町,ｱｹﾁﾁｮｳｶﾀﾋﾗﾁｮｳ,5097713,21
明智町新町,ｱｹﾁﾁｮｳｼﾝﾏﾁ,5097705,21
明智町常盤町,ｱｹﾁﾁｮｳﾄｷﾜﾁｮｳ,5097714,21
明智町徳間町,ｱｹﾁﾁｮｳﾄｸﾏﾁｮｳ,5097722,21
明智町東町,ｱｹﾁﾁｮｳﾋｶﾞｼﾏﾁ,5097715,21
明智町東山町,ｱｹﾁﾁｮｳﾋｶﾞｼﾔﾏﾁｮｳ,5097718,21
明智町本町,ｱｹﾁﾁｮｳﾎﾝﾏﾁ,5097716,21
明智町的場町,ｱｹﾁﾁｮｳﾏﾄﾊﾞﾁｮｳ,5097712,21
明智町宮町,ｱｹﾁﾁｮｳﾐﾔﾏﾁ,5097717,21
明智町向町,ｱｹﾁﾁｮｳﾑｶｲﾏﾁ,5097706,21
飯地町,ｲｲｼﾞﾁｮｳ,5098232,21
岩村町,ｲﾜﾑﾗﾁｮｳ,5097403,21
岩村町飯羽間,ｲﾜﾑﾗﾁｮｳｲｲﾊﾞﾏ,5097401,21
岩村町富田,ｲﾜﾑﾗﾁｮｳﾄﾐﾀﾞ,5097402,21
大井町,ｵｵｲﾁｮｳ,5097201,21
長島町久須見,ｵｻｼﾏﾁｮｳｸｽﾐ,5097206,21
長島町正家,ｵｻｼﾏﾁｮｳｼｮｳｹﾞ,5097203,21
長島町永田,ｵｻｼﾏﾁｮｳﾅｶﾞﾀ,5097204,21
長島町中野,ｵｻｼﾏﾁｮｳﾅｶﾉ,5097205,21
長島町鍋山,ｵｻｼﾏﾁｮｳﾅﾍﾞﾔﾏ,5097211,21
笠置町河合,ｶｻｷﾞﾁｮｳｶﾜｲ,5097207,21
笠置町毛呂窪,ｶｻｷﾞﾁｮｳｹﾛｸﾎﾞ,5097209,21
笠置町姫栗,ｶｻｷﾞﾁｮｳﾋﾒｸﾞﾘ,5097208,21
上矢作町,ｶﾐﾔﾊｷﾞﾁｮｳ,0000000,21
上矢作町漆原,ｶﾐﾔﾊｷﾞﾁｮｳｳﾙｼﾊﾗ,5097511,21
上矢作町小田子,ｶﾐﾔﾊｷﾞﾁｮｳｺﾀﾞｺ,5097513,21
上矢作町下,ｶﾐﾔﾊｷﾞﾁｮｳｼﾓ,5097512,21
上矢作町飯田洞,ｶﾐﾔﾊｷﾞﾁｮｳｲｲﾀﾞﾎﾞﾗ,5097502,21
上矢作町木ノ実,ｶﾐﾔﾊｷﾞﾁｮｳｷﾉﾐ,5097501,21
上矢作町小笹原,ｶﾐﾔﾊｷﾞﾁｮｳｺｻﾞｻﾊﾗ,5097504,21
上矢作町島,ｶﾐﾔﾊｷﾞﾁｮｳｼﾏ,5097505,21
上矢作町達原,ｶﾐﾔﾊｷﾞﾁｮｳﾀﾂﾊﾞﾗ,5097503,21
上矢作町本郷,ｶﾐﾔﾊｷﾞﾁｮｳﾎﾝｺﾞｳ,5097506,21
上矢作町横道,ｶﾐﾔﾊｷﾞﾁｮｳﾖｺﾐﾁ,5097507,21
串原,ｸｼﾊﾗ,0000000,21
串原相走,ｸｼﾊﾗｱｲﾊﾞｼﾘ,5097814,21
串原岩倉,ｸｼﾊﾗｲﾜｸﾗ,5097816,21
串原大平,ｸｼﾊﾗｵｵﾀﾞｲﾗ,5097821,21
串原大竹,ｸｼﾊﾗｵｵﾀｹ,5097813,21
串原大野,ｸｼﾊﾗｵｵﾉ,5097815,21
串原大簗,ｸｼﾊﾗｵｵﾔﾅ,5097824,21
串原柿畑,ｸｼﾊﾗｶｷﾊﾞﾀ,5097822,21
串原川ケ渡,ｸｼﾊﾗｶﾜｶﾄﾞ,5097825,21
串原木根,ｸｼﾊﾗｷﾈ,5097826,21
串原閑羅瀬,ｸｼﾊﾗｼｽﾞﾗｾ,5097823,21
串原平山,ｸｼﾊﾗﾀｲﾗﾔﾏ,5097802,21
串原戸中,ｸｼﾊﾗﾄﾁｭｳ,5097804,21
串原中沢,ｸｼﾊﾗﾅｶｻﾜ,5097801,21
串原福原,ｸｼﾊﾗﾌｸﾊﾞﾗ,5097811,21
串原松林,ｸｼﾊﾗﾏﾂﾊﾞﾔｼ,5097806,21
串原松本,ｸｼﾊﾗﾏﾂﾓﾄ,5097803,21
串原峯,ｸｼﾊﾗﾐﾈ,5097805,21
串原森上,ｸｼﾊﾗﾓﾘｱｹﾞ,5097812,21
武並町新竹折,ﾀｹﾅﾐﾁｮｳｼﾝﾀｹｵﾘ,5097126,21
武並町竹折,ﾀｹﾅﾐﾁｮｳﾀｹｵﾘ,5097122,21
武並町藤,ﾀｹﾅﾐﾁｮｳﾌｼﾞ,5097121,21
中野方町,ﾅｶﾉﾎｳﾁｮｳ,5098231,21
東野,ﾋｶﾞｼﾉ,5097202,21
三郷町佐々良木,ﾐｻﾄﾁｮｳｻｻﾞﾗｷﾞ,5097124,21
三郷町野井,ﾐｻﾄﾁｮｳﾉｲ,5097123,21
三郷町椋実,ﾐｻﾄﾁｮｳﾑｸﾉﾐ,5097125,21
山岡町釜屋,ﾔﾏｵｶﾁｮｳｶﾏﾔ,5097604,21
山岡町上手向,ﾔﾏｵｶﾁｮｳｶﾐﾄｳｹﾞ,5097603,21
山岡町久保原,ﾔﾏｵｶﾁｮｳｸﾎﾞﾊﾗ,5097601,21
山岡町下手向,ﾔﾏｵｶﾁｮｳｼﾓﾄｳｹﾞ,5097607,21
山岡町田沢,ﾔﾏｵｶﾁｮｳﾀｻﾞﾜ,5097608,21
山岡町田代,ﾔﾏｵｶﾁｮｳﾀｼﾛ,5097606,21
山岡町馬場山田,ﾔﾏｵｶﾁｮｳﾊﾞﾊﾞﾔﾏﾀﾞ,5097602,21
山岡町原,ﾔﾏｵｶﾁｮｳﾊﾗ,5097605,21
