another_name,another_name_kana,post_id,prefecture_id
,,0000000,11
榎町,ｴﾉｷﾁｮｳ,3540016,11
貝塚,ｶｲﾂﾞｶ,3540012,11
勝瀬,ｶﾂｾ,3540031,11
上沢,ｶﾐｻﾜ,3540034,11
上南畑,ｶﾐﾅﾝﾊﾞﾀ,3540002,11
下南畑,ｼﾓﾅﾝﾊﾞﾀ,3540004,11
諏訪,ｽﾜ,3540023,11
関沢,ｾｷｻﾞﾜ,3540025,11
鶴瀬東,ﾂﾙｾﾋｶﾞｼ,3540024,11
鶴瀬西,ﾂﾙｾﾆｼ,3540026,11
鶴馬,ﾂﾙﾏ,3540021,11
南畑新田,ﾅﾝﾊﾞﾀｼﾝﾃﾞﾝ,3540003,11
西みずほ台,ﾆｼﾐｽﾞﾎﾀﾞｲ,3540018,11
羽沢,ﾊﾈｻﾜ,3540033,11
針ケ谷,ﾊﾘｶﾞﾔ,3540017,11
東大久保,ﾋｶﾞｼｵｵｸﾎﾞ,3540001,11
東みずほ台,ﾋｶﾞｼﾐｽﾞﾎﾀﾞｲ,3540015,11
ふじみ野西,ﾌｼﾞﾐﾉﾆｼ,3540035,11
ふじみ野東,ﾌｼﾞﾐﾉﾋｶﾞｼ,3540036,11
水子,ﾐｽﾞｺ,3540011,11
水谷,ﾐｽﾞﾀﾆ,3540014,11
水谷東,ﾐｽﾞﾀﾆﾋｶﾞｼ,3540013,11
みどり野東,ﾐﾄﾞﾘﾉﾋｶﾞｼ,3540006,11
みどり野西,ﾐﾄﾞﾘﾉﾆｼ,3540008,11
みどり野南,ﾐﾄﾞﾘﾉﾐﾅﾐ,3540007,11
みどり野北,ﾐﾄﾞﾘﾉｷﾀ,3540005,11
山室,ﾔﾏﾑﾛ,3540022,11
渡戸,ﾜﾀﾄﾞ,3540032,11
