another_name,another_name_kana,post_id,prefecture_id
,,0000000,22
青木,ｱｵｷ,4180047,22
青木平,ｱｵｷﾀﾞｲﾗ,4180048,22
阿幸地,ｱｺｳｼﾞ,4180016,22
阿幸地町,ｱｺｳｼﾞﾁｮｳ,4180078,22
安居山,ｱｺﾞﾔﾏ,4180037,22
朝日町,ｱｻﾋﾁｮｳ,4180057,22
浅間町,ｱｻﾏﾁｮｳ,4180032,22
粟倉,ｱﾜｸﾗ,4180011,22
粟倉南町,ｱﾜｸﾗﾐﾅﾐﾁｮｳ,4180018,22
泉町,ｲｽﾞﾐﾁｮｳ,4180043,22
猪之頭,ｲﾉｶｼﾗ,4180108,22
内野,ｳﾂﾉ,4180104,22
内房,ｳﾂﾌﾞｻ,4190317,22
馬見塚,ｳﾏﾐﾂﾞｶ,4180113,22
大岩,ｵｵｲﾜ,4180013,22
大久保,ｵｵｸﾎﾞ,4190314,22
大鹿窪,ｵｵｼｶｸﾎﾞ,4190303,22
大中里,ｵｵﾅｶｻﾞﾄ,4180044,22
大宮町,ｵｵﾐﾔﾁｮｳ,4180066,22
上井出,ｶﾐｲﾃﾞ,4180103,22
上稲子,ｶﾐｲﾅｺ,4190311,22
上条,ｶﾐｼﾞｮｳ,4180116,22
上柚野,ｶﾐﾕﾉ,4190301,22
狩宿,ｶﾘﾔﾄﾞ,4180117,22
神田川町,ｶﾝﾀﾞｶﾞﾜﾁｮｳ,4180031,22
北町,ｷﾀﾏﾁ,4180061,22
北山,ｷﾀﾔﾏ,4180112,22
貴船町,ｷﾌﾞﾈﾁｮｳ,4180042,22
黒田,ｸﾛﾀﾞ,4180034,22
源道寺町,ｹﾞﾝﾄﾞｳｼﾞﾁｮｳ,4180074,22
小泉,ｺｲｽﾞﾐ,4180022,22
佐折,ｻｵﾘ,4180107,22
下稲子,ｼﾓｲﾅｺ,4190312,22
下条,ｼﾓｼﾞｮｳ,4180114,22
下柚野,ｼﾓﾕﾉ,4190305,22
精進川,ｼｮｳｼﾞﾝｶﾞﾜ,4180115,22
城北町,ｼﾞｮｳﾎｸﾁｮｳ,4180062,22
杉田,ｽｷﾞﾀ,4180021,22
宝町,ﾀｶﾗﾏﾁ,4180055,22
田中町,ﾀﾅｶﾁｮｳ,4180075,22
中央町,ﾁｭｳｵｳﾁｮｳ,4180065,22
外神,ﾄｶﾞﾐ,4180006,22
外神東町,ﾄｶﾞﾐﾋｶﾞｼﾁｮｳ,4180007,22
鳥並,ﾄﾘﾅﾐ,4190304,22
中里東町,ﾅｶｻﾞﾄﾋｶﾞｼﾁｮｳ,4180046,22
中島町,ﾅｶｼﾞﾏﾁｮｳ,4180045,22
長貫,ﾅｶﾞﾇｷ,4190315,22
中原町,ﾅｶﾊﾗﾁｮｳ,4180002,22
南陵,ﾅﾝﾘｮｳ,4180019,22
錦町,ﾆｼｷﾁｮｳ,4180076,22
西小泉町,ﾆｼｺｲｽﾞﾐﾁｮｳ,4180026,22
西町,ﾆｼﾏﾁ,4180056,22
西山,ﾆｼﾔﾏ,4190313,22
貫戸,ﾇｸﾄﾞ,4180024,22
沼久保,ﾇﾏｸﾎﾞ,4180036,22
猫沢,ﾈｺｻﾞﾜ,4190302,22
根原,ﾈﾊﾞﾗ,4180101,22
野中,ﾉﾅｶ,4180039,22
野中町,ﾉﾅｶﾁｮｳ,4180038,22
野中東町,ﾉﾅｶﾋｶﾞｼﾁｮｳ,4180033,22
羽鮒,ﾊﾌﾞﾅ,4190316,22
原,ﾊﾗ,4180105,22
半野,ﾊﾝﾉ,4180106,22
光町,ﾋｶﾘﾁｮｳ,4180054,22
東阿幸地,ﾋｶﾞｼｱｺｳｼﾞ,4180071,22
東町,ﾋｶﾞｼﾁｮｳ,4180077,22
人穴,ﾋﾄｱﾅ,4180102,22
ひばりが丘,ﾋﾊﾞﾘｶﾞｵｶ,4180003,22
富士見ケ丘,ﾌｼﾞﾐｶﾞｵｶ,4180014,22
舟久保町,ﾌﾅｸﾎﾞﾁｮｳ,4180017,22
麓,ﾌﾓﾄ,4180109,22
星山,ﾎｼﾔﾏ,4180035,22
穂波町,ﾎﾅﾐﾁｮｳ,4180058,22
舞々木町,ﾏｲﾏｲｷﾞﾁｮｳ,4180015,22
前田町,ﾏｴﾀﾞﾁｮｳ,4180025,22
万野原新田,ﾏﾝﾉﾊﾗｼﾝﾃﾞﾝ,4180001,22
三園平,ﾐｿﾉﾀﾞｲﾗ,4180004,22
宮北町,ﾐﾔｷﾀﾁｮｳ,4180053,22
宮町,ﾐﾔﾁｮｳ,4180067,22
宮原,ﾐﾔﾊﾗ,4180005,22
村山,ﾑﾗﾔﾏ,4180012,22
元城町,ﾓﾄｼﾛﾁｮｳ,4180064,22
矢立町,ﾔﾀﾃﾁｮｳ,4180072,22
山宮,ﾔﾏﾐﾔ,4180111,22
山本,ﾔﾏﾓﾄ,4180023,22
豊町,ﾕﾀｶﾁｮｳ,4180068,22
弓沢町,ﾕﾐｻﾞﾜﾁｮｳ,4180073,22
淀川町,ﾖﾄﾞｶﾞﾜﾁｮｳ,4180041,22
淀師,ﾖﾄﾞｼ,4180051,22
淀平町,ﾖﾄﾞﾋﾗﾁｮｳ,4180052,22
若の宮町,ﾜｶﾉﾐﾔﾁｮｳ,4180063,22
