another_name,another_name_kana,post_id,prefecture_id
,,0000000,26
秋津が丘,ｱｷﾂｶﾞｵｶ,6200861,26
旭が丘,ｱｻﾋｶﾞｵｶ,6200947,26
厚,ｱﾂ,6200058,26
厚中町,ｱﾂﾅｶﾏﾁ,6200056,26
厚東町,ｱﾂﾋｶﾞｼﾏﾁ,6200059,26
甘栗,ｱﾏｸﾞﾘ,6200964,26
天座,ｱﾏｻﾞ,6200201,26
荒河新町,ｱﾗｶﾞｼﾝﾏﾁ,6200063,26
荒河東町,ｱﾗｶﾞﾋｶﾞｼﾏﾁ,6200061,26
荒河ヒルズ,ｱﾗｶﾞﾋﾙｽﾞ,6200067,26
荒木,ｱﾗｷ,6200879,26
生野,ｲｸﾉ,6200823,26
池田,ｲｹﾀﾞ,6200832,26
池部,ｲｹﾍﾞ,6200013,26
石原,ｲｻ,6200804,26
猪崎,ｲｻﾞｷ,6200017,26
石場,ｲｼﾊﾞ,6200961,26
石本,ｲｼﾓﾄ,6200074,26
一尾,ｲﾁｵ,6200071,26
市寺,ｲﾁﾃﾞﾗ,6200939,26
市の谷,ｲﾁﾉﾀﾆ,6200848,26
一ノ宮,ｲﾁﾉﾐﾔ,6200907,26
行積,ｲﾂﾓﾘ,6200212,26
猪野々,ｲﾉﾉ,6200984,26
今安,ｲﾏﾔｽ,6200953,26
鋳物師,ｲﾓｼﾞ,6200031,26
岩井,ｲﾜｲ,6200922,26
岩井新町,ｲﾜｲｼﾝﾏﾁ,6200920,26
岩井東町,ｲﾜｲﾋｶﾞｼﾏﾁ,6200064,26
岩崎,ｲﾜｻｷ,6200831,26
岩間,ｲﾜﾏ,6200847,26
印内,ｲﾝﾅｲ,6200005,26
上野,ｳｴﾉ,6200825,26
上松,ｳｴﾏﾂ,6200845,26
内田町,ｳﾁﾀﾞﾁｮｳ,6200881,26
梅谷,ｳﾒﾀﾞﾆ,6200985,26
漆端,ｳﾙｼｶﾞﾊﾅ,6200076,26
駅南町,ｴｷﾅﾝﾁｮｳ,6200940,26
駅前町,ｴｷﾏｴﾁｮｳ,6200045,26
夷,ｴﾋﾞｽ,6200918,26
大池坂町,ｵｵｲｹｻﾞｶﾁｮｳ,6200816,26
大江町天田内,ｵｵｴﾁｮｳｱﾏﾀﾞｳﾁ,6200325,26
大江町在田,ｵｵｴﾁｮｳｱﾘﾀ,6200354,26
大江町市原谷,ｵｵｴﾁｮｳｲﾁﾜﾗﾀﾞﾆ,6200334,26
大江町上野,ｵｵｴﾁｮｳｳｴﾉ,6200304,26
