another_name,another_name_kana,post_id,prefecture_id
,,0000000,18
在田町,ｱｲﾀﾞﾁｮｳ,9103614,18
赤坂町,ｱｶｻｶﾁｮｳ,9103556,18
赤谷町,ｱｶﾀﾞﾆﾁｮｳ,9102475,18
明里町,ｱｶﾘﾁｮｳ,9188052,18
朝谷町,ｱｻﾀﾞﾆﾁｮｳ,9102357,18
朝宮町,ｱｻﾐﾔﾁｮｳ,9103605,18
足谷町,ｱｼﾀﾆﾁｮｳ,9103266,18
味見河内町,ｱｼﾞﾐｺｳﾁﾁｮｳ,9102463,18
足羽,ｱｽﾜ,9188007,18
足羽上町,ｱｽﾜｶﾐﾁｮｳ,9188006,18
浅水三ケ町,ｱｿｳｽﾞｻﾝｶﾞﾁｮｳ,9188183,18
浅水町,ｱｿｳｽﾞﾁｮｳ,9188181,18
浅水二日町,ｱｿｳｽﾞﾌﾂｶﾏﾁ,9188182,18
網戸瀬町,ｱﾄﾞｾﾁｮｳ,9100104,18
安波賀町,ｱﾊﾞｶﾁｮｳ,9102152,18
安波賀中島町,ｱﾊﾞｶﾅｶｼﾞﾏﾁｮｳ,9102151,18
安保町,ｱﾎﾞﾁｮｳ,9188153,18
天池町,ｱﾏｲｹﾁｮｳ,9100124,18
尼ケ谷町,ｱﾏｶﾞﾀﾆﾁｮｳ,9103525,18
天菅生町,ｱﾏｽｺﾞｳﾁｮｳ,9100041,18
鮎川町,ｱﾕｶﾜﾁｮｳ,9103402,18
荒木新保町,ｱﾗｷｼﾝﾎﾞﾁｮｳ,9102172,18
荒木町,ｱﾗｷﾁｮｳ,9102171,18
荒木別所町,ｱﾗｷﾍﾞｯｼﾖﾁｮｳ,9188232,18
荒谷町,ｱﾗﾀﾆﾁｮｳ,9103251,18
飯塚町,ｲｲﾂﾞｶﾁｮｳ,9188067,18
幾久町,ｲｸﾋｻﾁｮｳ,9100014,18
幾代,ｲｸﾖ,9100013,18
居倉町,ｲｸﾗﾁｮｳ,9103555,18
池尻町,ｲｹﾉｼﾘﾁｮｳ,9103106,18
生部町,ｲｹﾌﾞﾁｮｳ,9190314,18
石新保町,ｲｼｼﾝﾎﾞﾁｮｳ,9103133,18
石橋町,ｲｼﾊﾞｼﾁｮｳ,9103137,18
石畠町,ｲｼﾊﾞﾀｹﾁｮｳ,9103123,18
石盛,ｲｼﾓﾘ,9100125,18
石盛町,ｲｼﾓﾘﾁｮｳ,9100122,18
泉田町,ｲｽﾞﾐﾀﾞﾁｮｳ,9100817,18
板垣,ｲﾀｶﾞｷ,9188104,18
板垣町,ｲﾀｶﾞｷﾁｮｳ,9188103,18
一王寺町,ｲﾁｵｳｼﾞﾁｮｳ,9103262,18
市波町,ｲﾁﾅﾐﾁｮｳ,9102222,18
市ノ瀬町,ｲﾁﾉｾﾁｮｳ,9103125,18
一本木町,ｲｯﾎﾟﾝｷﾞﾁｮｳ,9188101,18
糸崎町,ｲﾄｻｷﾁｮｳ,9103383,18
稲多新町,ｲﾅﾀﾞｼﾝﾏﾁ,9100156,18
稲多浜町,ｲﾅﾀﾞﾊﾏﾏﾁ,9100155,18
