another_name,another_name_kana,post_id,prefecture_id
,,0000000,40
青葉,ｱｵﾊﾞ,8130025,40
大岳,ｵｵﾀｹ,8110322,40
貝塚団地,ｶｲﾂﾞｶﾀﾞﾝﾁ,8120052,40
香椎,ｶｼｲ,8130011,40
香椎駅前,ｶｼｲｴｷﾏｴ,8130013,40
香椎駅東,ｶｼｲｴｷﾋｶﾞｼ,8130012,40
香椎台,ｶｼｲﾀﾞｲ,8130014,40
香椎団地,ｶｼｲﾀﾞﾝﾁ,8130015,40
香椎照葉,ｶｼｲﾃﾘﾊ,8130017,40
香椎浜,ｶｼｲﾊﾏ,8130016,40
香椎浜ふ頭,ｶｼｲﾊﾏﾌﾄｳ,8130018,40
香住ケ丘,ｶｽﾐｶﾞｵｶ,8130003,40
勝馬,ｶﾂﾏ,8110325,40
蒲田,ｶﾏﾀ,8130023,40
上和白,ｶﾐﾜｼﾞﾛ,8110216,40
雁の巣,ｶﾞﾝﾉｽ,8110206,40
郷口町,ｺﾞｳｸﾞﾁﾏﾁ,8120069,40
西戸崎,ｻｲﾄｻﾞｷ,8110321,40
塩浜,ｼｵﾊﾏ,8110203,40
志賀島,ｼｶｼﾏ,8110323,40
下原,ｼﾓﾊﾞﾙ,8130002,40
社領,ｼｬﾘｮｳ,8120068,40
城浜団地,ｼﾛﾊﾏﾀﾞﾝﾁ,8130045,40
高美台,ﾀｶﾐﾀﾞｲ,8110215,40
多々良,ﾀﾀﾗ,8130033,40
多の津,ﾀﾉﾂ,8130034,40
千早,ﾁﾊﾔ,8130044,40
土井,ﾄﾞｲ,8130032,40
唐原,ﾄｳﾉﾊﾙ,8130001,40
名子,ﾅｺﾞ,8130024,40
名島,ﾅｼﾞﾏ,8130043,40
奈多,ﾅﾀ,8110204,40
奈多団地,ﾅﾀﾀﾞﾝﾁ,8110205,40
箱崎,ﾊｺｻﾞｷ,8120053,40
箱崎ふ頭,ﾊｺｻﾞｷﾌﾄｳ,8120051,40
筥松,ﾊｺﾏﾂ,8120061,40
筥松新町,ﾊｺﾏﾂｼﾝﾏﾁ,8120067,40
八田,ﾊｯﾀ,8130031,40
原田,ﾊﾗﾀﾞ,8120063,40
東浜,ﾋｶﾞｼﾊﾏ,8120055,40
弘,ﾋﾛ,8110324,40
二又瀬,ﾌﾀﾏﾀｾ,8120066,40
二又瀬新町,ﾌﾀﾏﾀｾｼﾝﾏﾁ,8120065,40
馬出,ﾏｲﾀﾞｼ,8120054,40
舞松原,ﾏｲﾏﾂﾊﾞﾗ,8130042,40
松香台,ﾏﾂｶﾀﾞｲ,8130004,40
松崎,ﾏﾂｻﾞｷ,8130035,40
松島,ﾏﾂｼﾏ,0000000,40
松田,ﾏﾂﾀﾞ,8120064,40
御島崎,ﾐｼﾏｻﾞｷ,8130005,40
水谷,ﾐｽﾞﾀﾆ,8130041,40
三苫,ﾐﾄﾏ,8110201,40
みどりが丘,ﾐﾄﾞﾘｶﾞｵｶ,8130021,40
みなと香椎,ﾐﾅﾄｶｼｲ,8130019,40
美和台,ﾐﾜﾀﾞｲ,8110212,40
美和台新町,ﾐﾜﾀﾞｲｼﾝﾏﾁ,8110211,40
若宮,ﾜｶﾐﾔ,8130036,40
和白,ﾜｼﾞﾛ,8110202,40
和白丘,ﾜｼﾞﾛｶﾞｵｶ,8110213,40
和白東,ﾜｼﾞﾛﾋｶﾞｼ,8110214,40
