another_name,another_name_kana,post_id,prefecture_id
,,0000000,40
あけぼの,ｱｹﾎﾞﾉ,8113220,40
畦町,ｱｾﾞﾏﾁ,8113202,40
在自,ｱﾗｼﾞ,8113301,40
内殿,ｳﾁﾄﾞﾉ,8113205,40
大石,ｵｵｲｼ,8113302,40
小竹,ｵﾀﾞｹ,8113226,40
勝浦,ｶﾂｳﾗ,8113521,40
上西郷,ｶﾐｻｲｺﾞｳ,8113207,40
光陽台,ｺｳﾖｳﾀﾞｲ,8113223,40
光陽台南,ｺｳﾖｳﾀﾞｲﾐﾅﾐ,8113228,40
桜川,ｻｸﾗｶﾞﾜ,8113229,40
舎利蔵,ｼｬﾘｸﾗ,8113204,40
須多田,ｽﾀﾞﾀ,8113303,40
高平,ﾀｶﾋﾗ,8113227,40
中央,ﾁｭｳｵｳ,8113217,40
津丸,ﾂﾏﾙ,8113222,40
津屋崎,ﾂﾔｻﾞｷ,8113304,40
手光,ﾃﾋﾞｶ,8113224,40
手光南,ﾃﾋﾞｶﾐﾅﾐ,8113218,40
西福間,ﾆｼﾌｸﾏ,8113219,40
奴山,ﾇﾔﾏ,8113522,40
花見が丘,ﾊﾅﾐｶﾞｵｶ,8113214,40
花見が浜,ﾊﾅﾐｶﾞﾊﾏ,8113216,40
花見の里,ﾊﾅﾐﾉｻﾄ,8113215,40
東福間,ﾋｶﾞｼﾌｸﾏ,8113225,40
久末,ﾋｻｽｴ,8113206,40
日蒔野,ﾋﾏｷﾉ,8113209,40
福間駅東,ﾌｸﾏｴｷﾋｶﾞｼ,8113208,40
福間南,ﾌｸﾏﾐﾅﾐ,8113212,40
星ケ丘,ﾎｼｶﾞｵｶ,8113308,40
宮司,ﾐﾔｼﾞ,8113305,40
宮司ヶ丘,ﾐﾔｼﾞｶﾞｵｶ,8113312,40
宮司浜,ﾐﾔｼﾞﾊﾏ,8113311,40
宮司元町,ﾐﾔｼﾞﾓﾄﾏﾁ,8113309,40
本木,ﾓﾄｷﾞ,8113203,40
八並,ﾔﾂﾅﾐ,8113201,40
生家,ﾕｸｴ,8113306,40
有弥の里,ﾕﾐﾉｻﾄ,8113211,40
若木台,ﾜｶｷﾞﾀﾞｲ,8113221,40
渡,ﾜﾀﾘ,8113307,40
