another_name,another_name_kana,post_id,prefecture_id
,,0000000,21
藍川町,ｱｲｶﾜﾁｮｳ,5008103,21
間之町,ｱｲﾉﾏﾁ,5008083,21
青柳町,ｱｵﾔｷﾞﾁｮｳ,5008881,21
茜部大川,ｱｶﾅﾍﾞｵｵｶﾜ,5008282,21
茜部大野,ｱｶﾅﾍﾞｵｵﾉ,5008261,21
茜部新所,ｱｶﾅﾍﾞｼﾝｼｮ,5008263,21
茜部神清寺,ｱｶﾅﾍﾞｼﾝｾｲｼﾞ,5008265,21
茜部辰新,ｱｶﾅﾍﾞﾀﾂｼﾝ,5008264,21
茜部寺屋敷,ｱｶﾅﾍﾞﾃﾗﾔｼｷ,5008267,21
茜部中島,ｱｶﾅﾍﾞﾅｶｼﾏ,5008269,21
茜部野瀬,ｱｶﾅﾍﾞﾉｾ,5008283,21
茜部菱野,ｱｶﾅﾍﾞﾋｼﾉ,5008268,21
茜部本郷,ｱｶﾅﾍﾞﾎﾝｺﾞｳ,5008262,21
茜町,ｱｶﾈﾁｮｳ,5008284,21
県町,ｱｶﾞﾀﾏﾁ,5008176,21
秋沢,ｱｷｻﾜ,5011182,21
秋津町,ｱｷﾂﾏﾁ,5008067,21
芥見,ｱｸﾀﾐ,5013134,21
芥見大退,ｱｸﾀﾐｵｵﾉｷﾞ,5013111,21
芥見大船,ｱｸﾀﾐｵｵﾌﾞﾈ,5013114,21
芥見海戸山,ｱｸﾀﾐｶｲﾄﾔﾏ,5013136,21
芥見影山,ｱｸﾀﾐｶｹﾞﾔﾏ,5013143,21
芥見清水,ｱｸﾀﾐｷﾖﾐｽﾞ,5013135,21
芥見嵯峨,ｱｸﾀﾐｻｶﾞ,5013146,21
芥見大般若,ｱｸﾀﾐﾀﾞｲﾊﾝﾆｬ,5013144,21
芥見中野畑,ｱｸﾀﾐﾅｶﾉﾊﾞﾀ,5013141,21
芥見長山,ｱｸﾀﾐﾅｶﾞﾔﾏ,5013132,21
芥見野畑,ｱｸﾀﾐﾉﾊﾞﾀ,5013145,21
芥見東山,ｱｸﾀﾐﾋｶﾞｼﾔﾏ,5013112,21
芥見堀田,ｱｸﾀﾐﾎﾘﾀ,5013147,21
芥見町屋,ｱｸﾀﾐﾏﾁﾔ,5013116,21
芥見南山,ｱｸﾀﾐﾐﾅﾐﾔﾏ,5013133,21
曙町,ｱｹﾎﾞﾉﾁｮｳ,5008148,21
朝霧町,ｱｻｷﾞﾘﾁｮｳ,5008255,21
朝日町,ｱｻﾋﾏﾁ,5008109,21
安食,ｱｼﾞｷ,5011109,21
安食志良古,ｱｼﾞｷｼﾗｺ,5011108,21
安宅町,ｱﾀｶﾏﾁ,5008411,21
吾妻町,ｱﾂﾞﾏﾁｮｳ,5008883,21
天池,ｱﾏｲｹ,5008221,21
雨踊町,ｱﾏｵﾄﾞﾘﾁｮｳ,5008337,21
尼ケ崎町,ｱﾏｶﾞｻｷﾁｮｳ,5008132,21
荒川町,ｱﾗｶﾜﾁｮｳ,5008449,21
安良田町,ｱﾗﾀﾏﾁ,5008401,21
粟野,ｱﾜﾉ,5020001,21
粟野東,ｱﾜﾉﾋｶﾞｼ,5020002,21
粟野西,ｱﾜﾉﾆｼ,5020006,21
粟野台,ｱﾜﾉﾀﾞｲ,5020007,21
庵町,ｲｵﾘﾏﾁ,5008139,21
生田町,ｲｸﾀﾏﾁ,5008405,21
池田町,ｲｹﾀﾞﾏﾁ,5008884,21
池ノ上町,ｲｹﾉｳｴﾁｮｳ,5020906,21
石谷,ｲｼｶﾞｲ,5011106,21
石切町,ｲｼｷﾘﾁｮｳ,5008437,21
石長町,ｲｼﾅｶﾞﾁｮｳ,5008153,21
石原,ｲｼﾊﾗ,0000000,21
泉町,ｲｽﾞﾐﾏﾁ,5008073,21
市ノ坪町,ｲﾁﾉﾂﾎﾞﾁｮｳ,5008155,21
市橋,ｲﾁﾊｼ,5008381,21
一番町,ｲﾁﾊﾞﾝﾁｮｳ,5008183,21
一松道,ｲｯｼｮｳﾄﾞｳ,5008403,21
伊奈波通,ｲﾅﾊﾞﾄﾞｵﾘ,5008043,21
稲荷町,ｲﾅﾘﾁｮｳ,5008336,21
稲荷山,ｲﾅﾘﾔﾏ,5008489,21
茨木町,ｲﾊﾞﾗｷﾞﾁｮｳ,5008161,21
伊吹町,ｲﾌﾞｷﾁｮｳ,5008077,21
今川,ｲﾏｶﾞﾜ,5011114,21
今川町,ｲﾏｶﾞﾜﾁｮｳ,5008814,21
今小町,ｲﾏｺﾏﾁ,5008069,21
今沢町,ｲﾏｻﾞﾜﾁｮｳ,5008822,21
今町,ｲﾏﾏﾁ,5008023,21
今嶺,ｲﾏﾐﾈ,5008388,21
芋島,ｲﾓｼﾞﾏ,5008234,21
入舟町,ｲﾘﾌﾈﾁｮｳ,5008152,21
岩井,ｲﾜｲ,5013101,21
岩井万場,ｲﾜｲﾏﾝﾊﾞ,5013102,21
岩栄町,ｲﾜｴｲﾁｮｳ,5008134,21
岩倉町,ｲﾜｸﾗﾁｮｳ,5020844,21
岩崎,ｲﾜｻｷ,5020005,21
岩田東,ｲﾜﾀﾋｶﾞｼ,5013154,21
岩田西,ｲﾜﾀﾆｼ,5013156,21
岩滝東,ｲﾜﾀｷﾋｶﾞｼ,5013151,21
岩滝西,ｲﾜﾀｷﾆｼ,5013152,21
岩田坂,ｲﾜﾀｻﾞｶ,5013155,21
岩地,ｲﾜﾁ,5008225,21
岩利,ｲﾜﾘ,5011102,21
魚屋町,ｳｵﾔﾁｮｳ,5008033,21
鵜川町,ｳｶﾜﾁｮｳ,5020837,21
鶯谷,ｳｸﾞｲｽﾀﾞﾆ,5008052,21
鶯谷町,ｳｸﾞｲｽﾀﾞﾆﾁｮｳ,5008053,21
宇佐,ｳｻ,5008368,21
宇佐東町,ｳｻﾋｶﾞｼﾏﾁ,5008366,21
宇佐南,ｳｻﾐﾅﾐ,5008367,21
打越,ｳﾁｺｼ,5020802,21
靱屋町,ｳﾂﾎﾞﾔﾁｮｳ,5008041,21
梅ケ枝町,ｳﾒｶﾞｴﾁｮｳ,5008818,21
梅河町,ｳﾒｶﾞﾜﾁｮｳ,5008815,21
梅園町,ｳﾒｿﾞﾉﾁｮｳ,5008371,21
雲竜町,ｳﾝﾘｭｳﾁｮｳ,5008123,21
栄扇町,ｴｲｾﾝﾁｮｳ,5008059,21
永楽町,ｴｲﾗｸﾁｮｳ,5008133,21
江川町,ｴｶﾞﾜﾁｮｳ,5008823,21
江口,ｴｸﾞﾁ,5020915,21
江崎,ｴｻｷ,5010117,21
江崎北,ｴｻｷｷﾀ,5010121,21
江崎南,ｴｻｷﾐﾅﾐ,5010122,21
江添,ｴｿﾞｴ,5008383,21
戎町,ｴﾋﾞｽﾁｮｳ,5008149,21
老松町,ｵｲﾏﾂﾁｮｳ,5008165,21
大池町,ｵｵｲｹﾁｮｳ,5008373,21
大蔵台,ｵｵｸﾗﾀﾞｲ,5013108,21
大倉町,ｵｵｸﾗﾁｮｳ,5008447,21
大菅北,ｵｵｽｶﾞｷﾀ,5010118,21
大菅南,ｵｵｽｶﾞﾐﾅﾐ,5010119,21
大富町,ｵｵﾄﾐﾁｮｳ,5008873,21
大縄場,ｵｵﾅﾜﾊﾞ,5008889,21
大洞,ｵｵﾎﾞﾗ,5013124,21
大洞柏台,ｵｵﾎﾞﾗｶｼﾜﾀﾞｲ,5013123,21
大洞桐が丘,ｵｵﾎﾞﾗｷﾘｶﾞｵｶ,5013121,21
大洞桜台,ｵｵﾎﾞﾗｻｸﾗﾀﾞｲ,5013127,21
大洞緑山,ｵｵﾎﾞﾗﾐﾄﾞﾘﾔﾏ,5013125,21
大洞紅葉が丘,ｵｵﾎﾞﾗﾓﾐｼﾞｶﾞｵｶ,5013122,21
大洞西,ｵｵﾎﾞﾗﾆｼ,5013126,21
大宮町,ｵｵﾐﾔﾁｮｳ,5008003,21
大柳町,ｵｵﾔﾅｷﾞﾁｮｳ,5008885,21
大脇,ｵｵﾜｷ,5016134,21
沖ノ橋町,ｵｷﾉﾊｼﾁｮｳ,5008305,21
奥,ｵｸ,5011185,21
小熊町,ｵｸﾞﾏﾁｮｳ,5008061,21
御杉町,ｵｽｷﾞﾁｮｳ,5008079,21
織田塚町,ｵﾀﾞﾂﾞｶﾁｮｳ,5008135,21
織田町,ｵﾀﾞﾏﾁ,5020835,21
御浪町,ｵﾅﾐﾁｮｳ,5008181,21
雄総桜町,ｵﾌﾞｻｻｸﾗﾏﾁ,5020016,21
雄総緑町,ｵﾌﾞｻﾐﾄﾞﾘﾏﾁ,5020014,21
雄総柳町,ｵﾌﾞｻﾔﾅｷﾞﾏﾁ,5020015,21
折立,ｵﾘﾀﾃ,5011132,21
鏡島,ｶｶﾞｼﾏ,5010111,21
鏡島市場,ｶｶﾞｼﾏｲﾁﾊﾞ,5010113,21
鏡島精華,ｶｶﾞｼﾏｾｲｶ,5010112,21
鏡島町,ｶｶﾞｼﾏﾁｮｳ,5010111,21
鏡島中,ｶｶﾞｼﾏﾅｶ,5010124,21
鏡島西,ｶｶﾞｼﾏﾆｼ,5010123,21
鏡島南,ｶｶﾞｼﾏﾐﾅﾐ,5010115,21
鏡岩,ｶｶﾞﾐｲﾜ,5008001,21
鍵屋中町,ｶｷﾞﾔﾅｶﾏﾁ,5008313,21
鍵屋東町,ｶｷﾞﾔﾋｶﾞｼﾏﾁ,5008306,21
鍵屋西町,ｶｷﾞﾔﾆｼﾏﾁ,5008314,21
学園町,ｶﾞｸｴﾝﾁｮｳ,5020841,21
神楽町,ｶｸﾞﾗﾁｮｳ,5008443,21
花月町,ｶｹﾞﾂﾁｮｳ,5008128,21
水主町,ｶｺﾏﾁ,5008259,21
鹿島町,ｶｼﾏﾁｮｳ,5008323,21
粕森町,ｶｼﾓﾘﾁｮｳ,5008102,21
梶川町,ｶｼﾞｶﾜﾁｮｳ,5008017,21
春日町,ｶｽｶﾞﾏﾁ,5008303,21
霞町,ｶｽﾐﾁｮｳ,5008186,21
香取町,ｶﾄﾘﾁｮｳ,5008322,21
門屋,ｶﾄﾞﾔ,5012521,21
門屋門,ｶﾄﾞﾔｶﾄﾞ,5012528,21
門屋勢引,ｶﾄﾞﾔｾｲﾋｷ,5012527,21
門屋野崎,ｶﾄﾞﾔﾉｻﾞｷ,5012526,21
門屋溝上,ｶﾄﾞﾔﾐｿﾞｶﾞﾐ,5012522,21
金岡町,ｶﾅｵｶﾁｮｳ,5008849,21
金園町,ｶﾅｿﾞﾉﾁｮｳ,5008113,21
金屋町,ｶﾅﾔﾁｮｳ,5008065,21
金屋横町,ｶﾅﾔﾖｺﾁｮｳ,5008063,21
加野,ｶﾉ,5013107,21
加納青藤町,ｶﾉｳｱｵﾌｼﾞﾁｮｳ,5008457,21
加納朝日町,ｶﾉｳｱｻﾋﾏﾁ,5008452,21
加納愛宕町,ｶﾉｳｱﾀｺﾞﾁｮｳ,5008476,21
加納安良町,ｶﾉｳｱﾗﾏﾁ,5008422,21
加納梅田町,ｶﾉｳｳﾒﾀﾞﾁｮｳ,5008279,21
加納大石町,ｶﾉｳｵｵｲｼﾁｮｳ,5008427,21
加納大手町,ｶﾉｳｵｵﾃﾏﾁ,5008482,21
加納奥平町,ｶﾉｳｵｸﾀﾞｲﾗﾁｮｳ,5008272,21
加納上本町,ｶﾉｳｶﾐﾎﾝﾏﾁ,5008451,21
加納北広江町,ｶﾉｳｷﾀﾋﾛｴﾁｮｳ,5008419,21
加納清田町,ｶﾉｳｷﾖﾀﾞﾏﾁ,5008417,21
加納清野町,ｶﾉｳｷﾖﾉﾏﾁ,5008472,21
加納沓井町,ｶﾉｳｸﾂｲﾁｮｳ,5008481,21
加納黒木町,ｶﾉｳｸﾛｷﾁｮｳ,5008461,21
加納寿町,ｶﾉｳｺﾄﾌﾞｷﾁｮｳ,5008465,21
加納坂井町,ｶﾉｳｻｶｲﾏﾁ,5008475,21
加納栄町通,ｶﾉｳｻｶｴﾏﾁﾄﾞｵﾘ,5008455,21
加納桜田町,ｶﾉｳｻｸﾗﾀﾞﾁｮｳ,5008468,21
加納桜道,ｶﾉｳｻｸﾗﾐﾁ,5008428,21
加納清水町,ｶﾉｳｼﾐｽﾞﾁｮｳ,5008429,21
加納新本町,ｶﾉｳｼﾝﾎﾝﾏﾁ,5008463,21
加納新町,ｶﾉｳｼﾝﾏﾁ,5008425,21
加納神明町,ｶﾉｳｼﾝﾒｲﾁｮｳ,5008462,21
加納新柳町,ｶﾉｳｼﾝﾔﾅｷﾞﾏﾁ,5008421,21
加納城南通,ｶﾉｳｼﾞｮｳﾅﾝﾄﾞｵﾘ,5008486,21
加納鷹匠町,ｶﾉｳﾀｶｼｮｳﾏﾁ,5008274,21
加納高柳町,ｶﾉｳﾀｶﾔﾅｷﾞﾁｮｳ,5008459,21
加納立花町,ｶﾉｳﾀﾁﾊﾞﾅﾁｮｳ,5008277,21
加納大黒町,ｶﾉｳﾀﾞｲｺｸﾁｮｳ,5008456,21
加納鉄砲町,ｶﾉｳﾃｯﾎﾟｳﾁｮｳ,5008453,21
加納天神町,ｶﾉｳﾃﾝｼﾞﾝﾏﾁ,5008473,21
加納東陽町,ｶﾉｳﾄｳﾖｳﾁｮｳ,5008413,21
加納徳川町,ｶﾉｳﾄｸｶﾞﾜﾁｮｳ,5008416,21
加納中広江町,ｶﾉｳﾅｶﾋﾛｴﾁｮｳ,5008415,21
加納永井町,ｶﾉｳﾅｶﾞｲﾁｮｳ,5008454,21
加納長刀堀,ｶﾉｳﾅｷﾞﾅﾀﾎﾞﾘ,5008487,21
加納南陽町,ｶﾉｳﾅﾝﾖｳﾁｮｳ,5008276,21
加納西広江町,ｶﾉｳﾆｼﾋﾛｴﾁｮｳ,5008418,21
加納西丸町,ｶﾉｳﾆｼﾏﾙﾁｮｳ,5008488,21
加納西山町,ｶﾉｳﾆｼﾔﾏﾁｮｳ,5008278,21
加納二之丸,ｶﾉｳﾆﾉﾏﾙ,5008484,21
加納八幡町,ｶﾉｳﾊﾁﾏﾝﾁｮｳ,5008431,21
加納花ノ木町,ｶﾉｳﾊﾅﾉｷﾁｮｳ,5008275,21
加納東広江町,ｶﾉｳﾋｶﾞｼﾋﾛｴﾁｮｳ,5008414,21
加納東丸町,ｶﾉｳﾋｶﾞｼﾏﾙﾁｮｳ,5008483,21
加納菱野町,ｶﾉｳﾋｼﾉﾏﾁ,5008479,21
加納伏見町,ｶﾉｳﾌｼﾐﾁｮｳ,5008478,21
加納富士町,ｶﾉｳﾌｼﾞﾏﾁ,5008471,21
加納舟田町,ｶﾉｳﾌﾅﾀﾞﾁｮｳ,5008252,21
加納堀田町,ｶﾉｳﾎｯﾀﾁｮｳ,5008271,21
加納本石町,ｶﾉｳﾎﾝｺﾞｸﾁｮｳ,5008466,21
加納本町,ｶﾉｳﾎﾝﾏﾁ,5008474,21
加納前田町,ｶﾉｳﾏｴﾀﾞﾏﾁ,5008464,21
加納丸之内,ｶﾉｳﾏﾙﾉｳﾁ,5008485,21
加納三笠町,ｶﾉｳﾐｶｻﾁｮｳ,5008467,21
