another_name,another_name_kana,post_id,prefecture_id
,,0000000,29
相谷町,ｱｲﾀﾆﾁｮｳ,6370074,29
居伝町,ｲﾃﾞﾁｮｳ,6370013,29
犬飼町,ｲﾇｶｲﾁｮｳ,6370072,29
今井,ｲﾏｲ,6370004,29
今井町,ｲﾏｲﾁｮｳ,6370004,29
宇野町,ｳﾉﾁｮｳ,6370003,29
大沢町,ｵｵｻﾞﾜﾁｮｳ,6370077,29
大津町,ｵｵﾂﾞﾁｮｳ,6370060,29
大塔町宇井,ｵｵﾄｳﾁｮｳｳｲ,6370405,29
大塔町小代,ｵｵﾄｳﾁｮｳｺﾀﾞｲ,6370416,29
大塔町阪本,ｵｵﾄｳﾁｮｳｻｶﾓﾄ,6370417,29
大塔町猿谷,ｵｵﾄｳﾁｮｳｻﾙﾀﾆ,6370414,29
大塔町篠原,ｵｵﾄｳﾁｮｳｼﾉﾊﾗ,6370401,29
大塔町清水,ｵｵﾄｳﾁｮｳｼﾐｽﾞ,6370406,29
大塔町簾,ｵｵﾄｳﾁｮｳｽﾀﾞﾚ,6370419,29
大塔町惣谷,ｵｵﾄｳﾁｮｳｿｳﾀﾆ,6370402,29
大塔町辻堂,ｵｵﾄｳﾁｮｳﾂｼﾞﾄﾞｳ,6370408,29
大塔町堂平,ｵｵﾄｳﾁｮｳﾄﾞｳﾋﾗ,6370411,29
大塔町閉君,ｵｵﾄｳﾁｮｳﾄｼﾞｷﾐ,6370407,29
大塔町殿野,ｵｵﾄｳﾁｮｳﾄﾉﾉ,6370409,29
大塔町中井傍示,ｵｵﾄｳﾁｮｳﾅｶｲﾎｳｼﾞ,6370403,29
大塔町中原,ｵｵﾄｳﾁｮｳﾅｶﾊﾞﾗ,6370415,29
大塔町中峯,ｵｵﾄｳﾁｮｳﾅｶﾐﾈ,6370404,29
大塔町引土,ｵｵﾄｳﾁｮｳﾋｷﾂﾁ,6370413,29
大塔町飛養曽,ｵｵﾄｳﾁｮｳﾋﾖｿ,6370412,29
大野新田町,ｵｵﾉｼﾝﾃﾞﾝﾁｮｳ,6370015,29
大野町,ｵｵﾉﾁｮｳ,6370063,29
大深町,ｵｵﾌﾞｶﾁｮｳ,6370066,29
岡口,ｵｶｸﾞﾁ,6370006,29
岡町,ｵｶﾁｮｳ,6370092,29
生子町,ｵﾌﾞｽﾁｮｳ,6370053,29
小和町,ｵﾜﾁｮｳ,6370019,29
樫辻町,ｶｼﾂｼﾞﾁｮｳ,6370054,29
釜窪町,ｶﾏﾉｸﾎﾞﾁｮｳ,6370084,29
上之町,ｶﾐﾉﾁｮｳ,6370081,29
北山町,ｷﾀﾔﾏﾁｮｳ,6370091,29
木ノ原町,ｷﾉﾊﾗﾁｮｳ,6370076,29
久留野町,ｸﾙﾉﾁｮｳ,6370018,29
車谷町,ｸﾙﾏﾀﾞﾆﾁｮｳ,6370025,29
黒駒町,ｸﾛﾏﾁｮｳ,6370062,29
上野町,ｺｳﾂﾞｹﾁｮｳ,6370073,29
小島町,ｺｼﾞﾏﾁｮｳ,6370031,29
五條,ｺﾞｼﾞｮｳ,6370042,29
小山町,ｺﾔﾏﾁｮｳ,6370012,29
