another_name,another_name_kana,post_id,prefecture_id
,,0000000,11
旭町,ｱｻﾋﾁｮｳ,3610074,11
荒木,ｱﾗｷ,3610011,11
壱里山町,ｲﾁﾘﾔﾏﾁｮｳ,3610046,11
犬塚,ｲﾇｽﾞｶ,3610081,11
忍,ｵｼ,3610077,11
押上町,ｵｼｱｹﾞﾁｮｳ,3610045,11
小見,ｵﾐ,3610007,11
利田,ｶｶﾞﾀﾞ,3610034,11
門井町,ｶﾄﾞｲﾁｮｳ,3610044,11
上池守,ｶﾐｲｹﾓﾘ,3610066,11
北河原,ｷﾀｶﾞﾜﾗ,3610001,11
行田,ｷﾞｮｳﾀﾞ,3610073,11
小敷田,ｺｼｷﾀﾞ,3610065,11
小針,ｺﾊﾞﾘ,3610024,11
駒形,ｺﾏｶﾞﾀ,3610055,11
斎条,ｻｲｼﾞｮｳ,3610005,11
栄町,ｻｶｴﾁｮｳ,3610071,11
酒巻,ｻｶﾏｷ,3610002,11
埼玉,ｻｷﾀﾏ,3610025,11
桜町,ｻｸﾗﾁｮｳ,3610022,11
佐間,ｻﾏ,3610032,11
皿尾,ｻﾗｵ,3610063,11
清水町,ｼﾐｽﾞﾁｮｳ,3610047,11
下池守,ｼﾓｲｹﾓﾘ,3610067,11
下忍,ｼﾓｵｼ,3610037,11
下須戸,ｼﾓｽﾄﾞ,3610012,11
下中条,ｼﾓﾁｭｳｼﾞｮｳ,3610003,11
城西,ｼﾞｮｳｻｲ,3610057,11
城南,ｼﾞｮｳﾅﾝ,3610054,11
白川戸,ｼﾗｶﾜﾄﾞ,3610006,11
水城公園,ｽｲｼﾞｮｳｺｳｴﾝ,3610053,11
須加,ｽｶ,3610004,11
関根,ｾｷﾈ,3610015,11
棚田町,ﾀﾅﾀﾞﾁｮｳ,3610041,11
中央,ﾁｭｳｵｳ,3610078,11
堤根,ﾂﾂﾐﾈ,3610035,11
天満,ﾃﾝﾏ,3610076,11
藤間,ﾄｳﾏ,3610014,11
中江袋,ﾅｶｴﾌﾞｸﾛ,3610083,11
中里,ﾅｶｻﾞﾄ,3610064,11
長野,ﾅｶﾞﾉ,3610023,11
西新町,ﾆｼｼﾝﾏﾁ,3610042,11
野,ﾉ,3610026,11
樋上,ﾋﾉｳｴ,3610036,11
深水町,ﾌｶﾐﾁｮｳ,3610043,11
富士見町,ﾌｼﾞﾐﾁｮｳ,3610021,11
藤原町,ﾌｼﾞﾜﾗﾁｮｳ,3610016,11
本丸,ﾎﾝﾏﾙ,3610052,11
前谷,ﾏｴﾔ,3610038,11
真名板,ﾏﾅｲﾀ,3610013,11
馬見塚,ﾏﾐﾂﾞｶ,3610082,11
緑町,ﾐﾄﾞﾘﾁｮｳ,3610031,11
南河原,ﾐﾅﾐｶﾜﾗ,3610084,11
宮本,ﾐﾔﾓﾄ,3610072,11
向町,ﾑｶｲﾏﾁ,3610075,11
持田,ﾓﾁﾀﾞ,3610056,11
谷郷,ﾔｺﾞｳ,3610062,11
矢場,ﾔﾊﾞ,3610051,11
若小玉,ﾜｶｺﾀﾞﾏ,3610017,11
渡柳,ﾜﾀﾘﾔﾅｷﾞ,3610033,11
和田,ﾜﾀﾞ,3610061,11
