another_name,another_name_kana,post_id,prefecture_id
,,0000000,12
朝日,ｱｻﾋ,2891101,12
砂,ｲｻｺﾞ,2891121,12
泉台,ｲｽﾞﾐﾀﾞｲ,2891105,12
榎戸,ｴﾉｷﾄﾞ,2891106,12
大木,ｵｵｷﾞ,2891111,12
大関,ｵｵｾｷ,2891142,12
大谷流,ｵｵﾔﾙ,2891134,12
岡田,ｵｶﾀﾞ,2891137,12
沖,ｵｷ,2891126,12
沖渡,ｵｷﾜﾀｼ,2891102,12
上砂,ｶﾐｲｻｺﾞ,2891125,12
雁丸,ｶﾞﾝﾏﾙ,2891108,12
木原,ｷﾊﾞﾗ,2891112,12
希望ケ丘,ｷﾎﾞｳｶﾞｵｶ,2891131,12
小谷流,ｺﾔﾙ,2891135,12
四木,ｼﾓｸ,2891122,12
勢田,ｾﾀ,2891132,12
滝台,ﾀｷﾀﾞｲ,2891123,12
中央,ﾁｭｳｵｳ,2891116,12
富山,ﾄﾔﾏ,2891141,12
根古谷,ﾈｺﾞﾔ,2891136,12
東吉田,ﾋｶﾞｼﾖｼﾀﾞ,2891114,12
文違,ﾋｼﾞｶｲ,2891104,12
みどり台,ﾐﾄﾞﾘﾀﾞｲ,2891145,12
用草,ﾓﾁｸｻ,2891138,12
八街い,ﾔﾁﾏﾀｲ,2891143,12
八街ろ,ﾔﾁﾏﾀﾛ,2891144,12
八街は,ﾔﾁﾏﾀﾊ,2891107,12
八街に,ﾔﾁﾏﾀﾆ,2891103,12
八街ほ,ﾔﾁﾏﾀﾎ,2891115,12
八街へ,ﾔﾁﾏﾀﾍ,2891113,12
山田台,ﾔﾏﾀﾞﾀﾞｲ,2891124,12
吉倉,ﾖｼｸﾗ,2891133,12
