another_name,another_name_kana,post_id,prefecture_id
,,0000000,35
相島,ｱｲｼﾏ,7580001,35
明木,ｱｷﾗｷﾞ,7540411,35
油屋町,ｱﾌﾞﾗﾔﾁｮｳ,7580051,35
今魚店町,ｲﾏｳｵﾉﾀﾅﾏﾁ,7580052,35
今古萩町,ｲﾏﾌﾙﾊｷﾞﾏﾁ,7580021,35
江崎,ｴｻｷ,7593113,35
恵美須町,ｴﾋﾞｽﾁｮｳ,7580033,35
江向,ｴﾑｶｲ,7580041,35
大井,ｵｵｲ,7593611,35
大島,ｵｵｼﾏ,7580003,35
御許町,ｵﾓﾄﾏﾁ,7580042,35
片俣,ｶﾀﾏﾀ,7580301,35
上小川西分,ｶﾐｵｶﾞﾜﾆｼﾌﾞﾝ,7593201,35
上小川東分,ｶﾐｵｶﾞﾜﾋｶﾞｼﾌﾞﾝ,7593202,35
上五間町,ｶﾐｺﾞｹﾝﾏﾁ,7580043,35
上田万,ｶﾐﾀﾏ,7593111,35
唐樋町,ｶﾗﾋﾏﾁ,7580044,35
川上,ｶﾜｶﾐ,7580141,35
川島,ｶﾜｼﾏ,7580031,35
瓦町,ｶﾜﾗﾏﾁ,7580071,35
北片河町,ｷﾀｶﾀｶﾜﾏﾁ,7580053,35
北古萩町,ｷﾀﾌﾙﾊｷﾞﾏﾁ,7580032,35
吉部上,ｷﾍﾞｶﾐ,7580304,35
吉部下,ｷﾍﾞｼﾓ,7580305,35
熊谷町,ｸﾏｶﾞﾔﾁｮｳ,7580034,35
黒川,ｸﾛｶﾞﾜ,7580213,35
河添,ｺｳｿﾞｴ,7580073,35
呉服町,ｺﾞﾌｸﾏﾁ,7580072,35
米屋町,ｺﾒﾔﾁｮｳ,7580045,35
細工町,ｻｲｸﾏﾁ,7580035,35
佐々並,ｻｻﾅﾐ,7530101,35
三見,ｻﾝﾐ,7593721,35
塩屋町,ｼｵﾔﾁｮｳ,7580036,35
紫福,ｼﾌﾞｷ,7580501,35
下小川,ｼﾓｵｶﾞﾜ,7593204,35
下五間町,ｼﾓｺﾞｹﾝﾏﾁ,7580043,35
下田万,ｼﾓﾀﾏ,7593112,35
須佐,ｽｻ,7593411,35
鈴野川,ｽｽﾞﾉｶﾞﾜ,7593303,35
高佐上,ﾀｶｻｶﾐ,7580302,35
高佐下,ﾀｶｻｼﾓ,7580303,35
樽屋町,ﾀﾙﾔﾁｮｳ,7580054,35
椿東,ﾁﾝﾄｳ,7580011,35
椿,ﾂﾊﾞｷ,7580061,35
津守町,ﾂﾓﾘﾁｮｳ,7580037,35
中小川,ﾅｶｵｶﾞﾜ,7593203,35
西田町,ﾆｼﾀﾏﾁ,7580046,35
橋本町,ﾊｼﾓﾄﾏﾁ,7580062,35
浜崎新町,ﾊﾏｻｷｼﾝﾁｮｳ,7580023,35
浜崎町,ﾊﾏｻｷﾏﾁ,7580022,35
春若町,ﾊﾙﾜｶﾁｮｳ,7580055,35
東田町,ﾋｶﾞｼﾀﾏﾁ,7580047,35
東浜崎町,ﾋｶﾞｼﾊﾏｻｷﾏﾁ,7580024,35
肥島,ﾋｼﾏ,7580004,35
土原,ﾋｼﾞﾜﾗ,7580025,35
櫃島,ﾋﾂｼﾏ,7580002,35
平安古町,ﾋﾔｺﾏﾁ,7580074,35
福井上,ﾌｸｲｶﾐ,7580211,35
福井下,ﾌｸｲｼﾓ,7580212,35
古魚店町,ﾌﾙｳｵﾉﾀﾅﾏﾁ,7580056,35
古萩町,ﾌﾙﾊｷﾞﾏﾁ,7580026,35
堀内,ﾎﾘｳﾁ,7580057,35
見島,ﾐｼﾏ,7580701,35
南片河町,ﾐﾅﾐｶﾀｶﾜﾏﾁ,7580076,35
南古萩町,ﾐﾅﾐﾌﾙﾊｷﾞﾏﾁ,7580077,35
弥富上,ﾔﾄﾞﾐｶﾐ,7593301,35
弥富下,ﾔﾄﾞﾐｼﾓ,7593302,35
山田,ﾔﾏﾀﾞ,7580063,35
吉田町,ﾖｼﾀﾞﾁｮｳ,7580027,35
