another_name,another_name_kana,post_id,prefecture_id
,,0000000,17
粟生町,ｱｵﾏﾁ,9250045,17
旭町,ｱｻﾋﾏﾁ,9250034,17
粟原町,ｱﾜﾗﾏﾁ,9250043,17
石野町,ｲｼﾉﾏﾁ,9250026,17
一ノ宮町,ｲﾁﾉﾐﾔﾏﾁ,9250004,17
飯山町,ｲﾉﾔﾏﾏﾁ,9250613,17
宇土野町,ｳﾄﾞﾉﾏﾁ,9250605,17
上江町,ｳﾜｴﾏﾁ,9250611,17
大川町,ｵｵｶﾜﾏﾁ,9250015,17
太田町,ｵｵﾀﾏﾁ,9250025,17
大町,ｵｵﾏﾁ,9250072,17
尾長町,ｵﾅｶﾞﾏﾁ,9250625,17
垣内田町,ｶｸｯﾀﾏﾁ,9250612,17
鹿島路町,ｶｼﾏｼﾞﾏﾁ,9250076,17
金丸出町,ｶﾈﾏﾙﾃﾞﾏﾁ,9250075,17
釜屋町,ｶﾏﾔﾏﾁ,9250014,17
上白瀬町,ｶﾐｼﾛｾﾏﾁ,9250607,17
上中山町,ｶﾐﾅｶﾔﾏﾏﾁ,9250011,17
川原町,ｶﾜﾗﾏﾁ,9250033,17
御坊山町,ｺﾞﾎﾞｳﾔﾏﾏﾁ,9250047,17
酒井町,ｻｶｲﾏﾁ,9250074,17
寺家町,ｼﾞｹﾏﾁ,9250003,17
志々見町,ｼｼﾞﾐﾏﾁ,9250624,17
四町,ｼﾁｮｳ,9250616,17
柴垣町,ｼﾊﾞｶﾞｷﾏﾁ,9250001,17
島出町,ｼﾏﾃﾞﾏﾁ,9250051,17
下曽祢町,ｼﾓｿﾈﾏﾁ,9250071,17
白石町,ｼﾛｲｼﾏﾁ,9250604,17
白瀬町,ｼﾛｾﾏﾁ,9250606,17
新保町,ｼﾝﾎﾞﾏﾁ,9250044,17
菅池町,ｽｶﾞｲｹﾏﾁ,9250601,17
次場町,ｽﾊﾞﾏﾁ,9250028,17
千石町,ｾﾝｺﾞｸﾏﾁ,9250602,17
千田町,ｾﾝﾀﾞﾏﾁ,9250626,17
滝谷町,ﾀｷﾀﾞﾆﾏﾁ,9250002,17
滝町,ﾀｷﾏﾁ,9250005,17
千路町,ﾁｼﾞﾏﾁ,9250012,17
中央町,ﾁｭｳｵｳﾏﾁ,9250052,17
千代町,ﾁﾖﾏﾁ,9250615,17
千里浜町,ﾁﾘﾊﾏﾏﾁ,9250054,17
土橋町,ﾂﾁﾊｼﾏﾁ,9250042,17
円井町,ﾂﾑﾗｲﾏﾁ,9250617,17
鶴多町,ﾂﾙﾀﾏﾁ,9250027,17
中川町,ﾅｶｶﾞﾜﾏﾁ,9250614,17
西釜屋町,ﾆｼｶﾏﾔﾏﾁ,9250017,17
羽咋町,ﾊｸｲﾏﾁ,9250016,17
東潟町,ﾋｶﾞｼｶﾀﾏﾁ,9250077,17
東釜屋町,ﾋｶﾞｼｶﾏﾔﾏﾁ,9250013,17
東川原町,ﾋｶﾞｼｶﾜﾗﾏﾁ,9250032,17
東的場町,ﾋｶﾞｼﾏﾄﾊﾞﾏﾁ,9250031,17
菱分町,ﾋｼﾜｹﾏﾁ,9250621,17
兵庫町,ﾋｮｳｺﾞﾏﾁ,9250046,17
深江町,ﾌｶｴﾏﾁ,9250022,17
福水町,ﾌｸﾐｽﾞﾏﾁ,9250603,17
堀替新町,ﾎﾘｶｴｼﾝﾏﾁ,9250622,17
本江町,ﾎﾝｺﾞｳﾏﾁ,9250623,17
本町,ﾎﾝﾏﾁ,9250035,17
松ケ下町,ﾏﾂｶﾞｼﾀﾏﾁ,9250048,17
的場町,ﾏﾄﾊﾞﾏﾁ,9250036,17
神子原町,ﾐｺﾊﾗﾏﾁ,9250608,17
三ツ屋町,ﾐﾂﾔﾏﾁ,9250024,17
南中央町,ﾐﾅﾐﾁｭｳｵｳﾏﾁ,9250053,17
柳田町,ﾔﾅｲﾀﾞﾏﾁ,9250018,17
柳橋町,ﾔﾅｷﾞﾊﾞｼﾏﾁ,9250049,17
吉崎町,ﾖｼｻｷﾏﾁ,9250021,17
四柳町,ﾖﾂﾔﾅｷﾞﾏﾁ,9250073,17
立開町,ﾘｭｳｶﾞｲﾏﾁ,9250041,17
若草町,ﾜｶｸｻﾏﾁ,9250023,17
