another_name,another_name_kana,post_id,prefecture_id
,,0000000,32
相生町,ｱｲｵｲﾁｮｳ,6970034,32
浅井町,ｱｻｲﾁｮｳ,6970022,32
旭町市木,ｱｻﾋﾁｮｳｲﾁｷﾞ,6970514,32
旭町今市,ｱｻﾋﾁｮｳｲﾏｲﾁ,6970425,32
旭町木田,ｱｻﾋﾁｮｳｷﾀ,6970427,32
旭町来尾,ｱｻﾋﾁｮｳｷﾀｵ,6970512,32
旭町坂本,ｱｻﾋﾁｮｳｻｶﾓﾄ,0000000,32
旭町坂本八ツ木,ｱｻﾋﾁｮｳｻｶﾓﾄﾔﾂｷﾞ,6970513,32
旭町重富,ｱｻﾋﾁｮｳｼｹﾞﾄﾐ,6970423,32
旭町都川,ｱｻﾋﾁｮｳﾂｶﾜ,6970511,32
旭町本郷,ｱｻﾋﾁｮｳﾎﾝｺﾞｳ,6970422,32
旭町丸原,ｱｻﾋﾁｮｳﾏﾙﾊﾞﾗ,6970426,32
旭町山ノ内,ｱｻﾋﾁｮｳﾔﾏﾉｳﾁ,6970421,32
旭町和田,ｱｻﾋﾁｮｳﾜﾀﾞ,6970424,32
朝日町,ｱｻﾋﾏﾁ,6970033,32
熱田町,ｱﾂﾀﾁｮｳ,6970062,32
櫟田原町,ｲﾁｲﾀﾊﾞﾗﾁｮｳ,6971334,32
井野町,ｲﾉﾁｮｳ,6971335,32
牛市町,ｳｼｲﾁﾁｮｳ,6970032,32
後野町,ｳｼﾛﾉﾁｮｳ,6970011,32
内田町,ｳﾁﾀﾞﾁｮｳ,0000000,32
内田町百万騎,ｳﾁﾀﾞﾁｮｳﾋｬｸﾏﾝｷ,6970064,32
宇津井町,ｳﾂｲﾁｮｳ,6970312,32
宇野町,ｳﾉﾁｮｳ,6950102,32
生湯町,ｳﾌﾞﾕﾁｮｳ,6970002,32
蛭子町,ｴﾋﾞｽﾁｮｳ,6970044,32
大金町,ｵｵｶﾞﾈﾁｮｳ,6950103,32
大辻町,ｵｵﾂｼﾞﾁｮｳ,6970053,32
折居町,ｵﾘｲﾁｮｳ,6971338,32
笠柄町,ｶｻｶﾞﾗﾁｮｳ,6970061,32
片庭町,ｶﾀﾆﾜﾁｮｳ,6970041,32
金城町今福,ｶﾅｷﾞﾁｮｳｲﾏﾌｸ,6970302,32
金城町入野,ｶﾅｷﾞﾁｮｳｲﾘﾉ,6970305,32
金城町宇津井,ｶﾅｷﾞﾁｮｳｳﾂｲ,6970304,32
金城町追原,ｶﾅｷﾞﾁｮｳｵｲﾊﾞﾗ,6970301,32
金城町小国,ｶﾅｷﾞﾁｮｳｵｸﾞﾆ,6970213,32
金城町上来原,ｶﾅｷﾞﾁｮｳｶﾐｸﾙﾊﾞﾗ,6970122,32
金城町久佐,ｶﾅｷﾞﾁｮｳｸｻﾞ,6970303,32
金城町七条,ｶﾅｷﾞﾁｮｳｼﾁｼﾞｮｳ,6970123,32
金城町下来原,ｶﾅｷﾞﾁｮｳｼﾓｸﾙﾊﾞﾗ,6970121,32
金城町長田,ｶﾅｷﾞﾁｮｳﾅｶﾞﾀ,6970212,32
金城町波佐,ｶﾅｷﾞﾁｮｳﾊｻﾞ,6970211,32
上府町,ｶﾐｺｳﾁｮｳ,6970005,32
京町,ｷｮｳﾏﾁ,6970045,32
久代町,ｸｼﾛﾁｮｳ,6970004,32
黒川町,ｸﾛｶﾜﾁｮｳ,6970024,32
高佐町,ｺｳｻﾁｮｳ,6970007,32
河内町,ｺｳﾁﾁｮｳ,6970012,32
国分町,ｺｸﾌﾞﾁｮｳ,6970003,32
紺屋町,ｺﾝﾔﾏﾁ,6970031,32
栄町,ｻｶｴﾏﾁ,6970043,32
佐野町,ｻﾉﾁｮｳ,6970311,32
三階町,ｻﾝｶﾞｲﾁｮｳ,6970013,32
清水町,ｼﾐｽﾞﾁｮｳ,6970047,32
下有福町,ｼﾓｱﾘﾌｸﾁｮｳ,6950101,32
下府町,ｼﾓｺｳﾁｮｳ,6970006,32
真光町,ｼﾝｺｳﾁｮｳ,6970046,32
新町,ｼﾝﾏﾁ,6970037,32
杉戸町,ｽｷﾞﾄﾞﾁｮｳ,6970035,32
周布町,ｽﾌﾁｮｳ,6971321,32
瀬戸ケ島町,ｾﾄｶﾞｼﾏﾁｮｳ,6970051,32
瀬戸見町,ｾﾄﾐﾁｮｳ,6970057,32
高田町,ﾀｶﾀﾁｮｳ,6970054,32
竹迫町,ﾀｹｻﾞｺﾁｮｳ,6970015,32
田橋町,ﾀﾊﾞｾﾁｮｳ,6971332,32
田町,ﾀﾏﾁ,6970026,32
治和町,ﾁﾜﾁｮｳ,6971326,32
津摩町,ﾂﾏﾁｮｳ,6971327,32
天満町,ﾃﾝﾏﾁｮｳ,6970036,32
外ノ浦町,ﾄﾉｳﾗﾁｮｳ,6970001,32
殿町,ﾄﾉﾏﾁ,6970027,32
内村町,ﾅｲﾑﾗﾁｮｳ,0000000,32
内村町十文字原,ﾅｲﾑﾗﾁｮｳｼﾞｭｳﾓﾝｼﾞﾊﾞﾗ,6970065,32
長沢町,ﾅｶﾞｻﾜﾁｮｳ,6970023,32
長浜町,ﾅｶﾞﾊﾏﾁｮｳ,6970063,32
長見町,ﾅｶﾞﾐﾁｮｳ,6970014,32
鍋石町,ﾅﾍﾞｲｼﾁｮｳ,6971333,32
錦町,ﾆｼｷﾏﾁ,6970042,32
西村町,ﾆｼﾑﾗﾁｮｳ,6971337,32
野原町,ﾉﾊﾞﾗﾁｮｳ,6970016,32
原井町,ﾊﾗｲﾁｮｳ,6970017,32
原町,ﾊﾗﾁｮｳ,6970056,32
日脚町,ﾋﾅｼﾁｮｳ,6971322,32
琵琶町,ﾋﾞﾜﾏﾁ,6970025,32
穂出町,ﾎﾉﾃﾞﾁｮｳ,6971324,32
松原町,ﾏﾂﾊﾞﾗﾁｮｳ,6970021,32
三隅町芦谷,ﾐｽﾐﾁｮｳｱｼﾀﾞﾆ,6993302,32
三隅町井川,ﾐｽﾐﾁｮｳｲｶﾞﾜ,6993215,32
三隅町井野,ﾐｽﾐﾁｮｳｲﾉ,6993301,32
三隅町岡見,ﾐｽﾐﾁｮｳｵｶﾐ,6993226,32
三隅町折居,ﾐｽﾐﾁｮｳｵﾘｲ,6993222,32
三隅町上古和,ﾐｽﾐﾁｮｳｶﾐｺﾜ,6993216,32
三隅町黒沢,ﾐｽﾐﾁｮｳｸﾛｻﾜ,6993217,32
三隅町河内,ﾐｽﾐﾁｮｳｺｳﾁ,6993213,32
三隅町西河内,ﾐｽﾐﾁｮｳｻｲｺﾞｳﾁ,6993223,32
三隅町下古和,ﾐｽﾐﾁｮｳｼﾓｺﾜ,6993215,32
三隅町東平原,ﾐｽﾐﾁｮｳﾋｶﾞｼﾋﾗﾊﾞﾗ,6993221,32
三隅町古市場,ﾐｽﾐﾁｮｳﾌﾙｲﾁﾊﾞ,6993225,32
三隅町三隅,ﾐｽﾐﾁｮｳﾐｽﾐ,6993211,32
三隅町湊浦,ﾐｽﾐﾁｮｳﾐﾅﾄｳﾗ,6993224,32
三隅町向野田,ﾐｽﾐﾁｮｳﾑｶｲﾉﾀ,6993212,32
三隅町室谷,ﾐｽﾐﾁｮｳﾑﾛﾀﾞﾆ,6993303,32
三隅町矢原,ﾐｽﾐﾁｮｳﾔﾊﾞﾗ,6993214,32
港町,ﾐﾅﾄﾏﾁ,6970052,32
元浜町,ﾓﾄﾊﾏﾁｮｳ,6970055,32
弥栄町稲代,ﾔｻｶﾁｮｳｲﾅｼﾛ,6971215,32
弥栄町大坪,ﾔｻｶﾁｮｳｵｵﾂﾎﾞ,6971214,32
弥栄町小坂,ﾔｻｶﾁｮｳｵｻｶ,6971202,32
弥栄町門田,ﾔｻｶﾁｮｳｶﾄﾞﾀ,6971204,32
弥栄町木都賀,ﾔｻｶﾁｮｳｷﾂｶ,6971122,32
弥栄町高内,ﾔｻｶﾁｮｳﾀｶｳﾁ,6971203,32
弥栄町田野原,ﾔｻｶﾁｮｳﾀﾉﾊﾗ,6971123,32
弥栄町栃木,ﾔｻｶﾁｮｳﾄﾁｷﾞ,6971201,32
弥栄町長安本郷,ﾔｻｶﾁｮｳﾅｶﾞﾔｽﾎﾝｺﾞｳ,6971211,32
弥栄町野坂,ﾔｻｶﾁｮｳﾉｻｶ,6971121,32
弥栄町程原,ﾔｻｶﾁｮｳﾎﾄﾞﾊﾗ,6971213,32
弥栄町三里,ﾔｻｶﾁｮｳﾐｻﾄ,6971212,32
横山町,ﾖｺﾔﾏﾁｮｳ,6971336,32
吉地町,ﾖｼｼﾞﾁｮｳ,6971325,32
