another_name,another_name_kana,post_id,prefecture_id
,,0000000,22
有玉北町,ｱﾘﾀﾏｷﾀﾏﾁ,4313121,22
有玉台,ｱﾘﾀﾏﾀﾞｲ,4313126,22
有玉西町,ｱﾘﾀﾏﾆｼﾏﾁ,4313123,22
有玉南町,ｱﾘﾀﾏﾐﾅﾐﾏﾁ,4313122,22
安新町,ｱﾝｼﾝﾁｮｳ,4350005,22
安間町,ｱﾝﾏﾁｮｳ,4350012,22
市野町,ｲﾁﾉﾁｮｳ,4350051,22
植松町,ｳｴﾏﾂﾁｮｳ,4300803,22
大蒲町,ｵｵｶﾊﾞﾁｮｳ,4350014,22
大島町,ｵｵｼﾏﾁｮｳ,4313112,22
大瀬町,ｵｵｾﾁｮｳ,4313113,22
笠井上町,ｶｻｲｶﾐﾏﾁ,4313106,22
笠井新田町,ｶｻｲｼﾝﾃﾞﾝﾁｮｳ,4313105,22
笠井町,ｶｻｲﾁｮｳ,4313107,22
上新屋町,ｶﾐｱﾗﾔﾁｮｳ,4350053,22
上石田町,ｶﾐｲｼﾀﾞﾁｮｳ,4350001,22
上西町,ｶﾐﾆｼﾁｮｳ,4350048,22
北島町,ｷﾀｼﾞﾏﾁｮｳ,4350041,22
貴平町,ｷﾍｲﾁｮｳ,4313104,22
国吉町,ｸﾆﾖｼﾁｮｳ,4350011,22
小池町,ｺｲｹﾁｮｳ,4350056,22
神立町,ｺｳﾀﾞﾁﾁｮｳ,4300801,22
子安町,ｺﾔｽﾁｮｳ,4350015,22
材木町,ｻﾞｲﾓｸﾁｮｳ,4350021,22
篠ケ瀬町,ｻｻｶﾞｾﾁｮｳ,4350042,22
下石田町,ｼﾓｲｼﾀﾞﾁｮｳ,4350006,22
将監町,ｼｮｳｹﾞﾝﾁｮｳ,4300802,22
常光町,ｼﾞｮｳｺｳﾁｮｳ,4313103,22
白鳥町,ｼﾛﾄﾘﾁｮｳ,4350002,22
積志町,ｾｷｼﾁｮｳ,4313114,22
恒武町,ﾂﾈﾀｹﾁｮｳ,4313108,22
天王町,ﾃﾝﾉｳﾁｮｳ,4350052,22
天龍川町,ﾃﾝﾘｭｳｶﾞﾜﾁｮｳ,4350013,22
豊西町,ﾄﾖﾆｼﾁｮｳ,4313102,22
中郡町,ﾅｶｺﾞｵﾘﾁｮｳ,4313111,22
中里町,ﾅｶｻﾄﾁｮｳ,4350003,22
中田町,ﾅｶﾀﾞﾁｮｳ,4350057,22
長鶴町,ﾅｶﾞﾂﾙﾁｮｳ,4350031,22
中野町,ﾅｶﾉﾏﾁ,4350004,22
西ケ崎町,ﾆｼｶﾞｻｷﾁｮｳ,4313115,22
西塚町,ﾆｼﾂﾞｶﾁｮｳ,4350044,22
原島町,ﾊﾞﾗｼﾞﾏﾁｮｳ,4350047,22
半田町,ﾊﾝﾀﾞﾁｮｳ,4313124,22
半田山,ﾊﾝﾀﾞﾔﾏ,4313125,22
松小池町,ﾏﾂｺｲｹﾁｮｳ,4350008,22
丸塚町,ﾏﾙﾂﾞｶﾁｮｳ,4350046,22
宮竹町,ﾐﾔﾀｹﾁｮｳ,4350043,22
薬師町,ﾔｸｼﾁｮｳ,4350017,22
薬新町,ﾔｸｼﾝﾁｮｳ,4350018,22
豊町,ﾕﾀｶﾁｮｳ,4313101,22
龍光町,ﾘｭｳｺｳﾁｮｳ,4350029,22
流通元町,ﾘｭｳﾂｳﾓﾄﾏﾁ,4350007,22
和田町,ﾜﾀﾞﾁｮｳ,4350016,22
