another_name,another_name_kana,post_id,prefecture_id
,,0000000,22
引佐町井伊谷,ｲﾅｻﾁｮｳｲｲﾉﾔ,4312212,22
引佐町伊平,ｲﾅｻﾁｮｳｲﾀﾞｲﾗ,4312205,22
引佐町奥山,ｲﾅｻﾁｮｳｵｸﾔﾏ,4312224,22
引佐町金指,ｲﾅｻﾁｮｳｶﾅｻｼ,4312213,22
引佐町狩宿,ｲﾅｻﾁｮｳｶﾘｼｭｸ,4312225,22
引佐町川名,ｲﾅｻﾁｮｳｶﾜﾅ,4312202,22
引佐町黒渕,ｲﾅｻﾁｮｳｸﾛﾌﾞﾁ,4312222,22
引佐町渋川,ｲﾅｻﾁｮｳｼﾌﾞｶﾜ,4312537,22
引佐町四方浄,ｲﾅｻﾁｮｳｼﾎｳｼﾞｮｳ,4312533,22
引佐町白岩,ｲﾅｻﾁｮｳｼﾗｲﾜ,4312215,22
引佐町田沢,ｲﾅｻﾁｮｳﾀｻﾞﾜ,4312536,22
引佐町田畑,ｲﾅｻﾁｮｳﾀﾊﾞﾀｹ,4312221,22
引佐町栃窪,ｲﾅｻﾁｮｳﾄﾁｸﾎﾞ,4312223,22
引佐町兎荷,ｲﾅｻﾁｮｳﾄｯｶ,4312204,22
引佐町西久留女木,ｲﾅｻﾁｮｳﾆｼｸﾙﾒｷ,4312532,22
引佐町西黒田,ｲﾅｻﾁｮｳﾆｼｸﾛﾀﾞ,4312206,22
引佐町花平,ｲﾅｻﾁｮｳﾊﾅﾀﾞｲﾗ,4312211,22
引佐町東久留女木,ｲﾅｻﾁｮｳﾋｶﾞｼｸﾙﾒｷ,0000000,22
引佐町東黒田,ｲﾅｻﾁｮｳﾋｶﾞｼｸﾛﾀﾞ,4312207,22
引佐町別所,ｲﾅｻﾁｮｳﾍﾞｯｼﾖ,4312534,22
引佐町的場,ｲﾅｻﾁｮｳﾏﾄﾊﾞ,4312535,22
引佐町三岳,ｲﾅｻﾁｮｳﾐﾀｹ,4312203,22
引佐町谷沢,ｲﾅｻﾁｮｳﾔｻﾞﾜ,4312226,22
引佐町横尾,ｲﾅｻﾁｮｳﾖｺｵ,4312214,22
大原町,ｵｵﾊﾗﾁｮｳ,4338102,22
神宮寺町,ｼﾞﾝｸﾞｳｼﾞﾁｮｳ,4312216,22
新都田,ｼﾝﾐﾔｺﾀﾞ,4312103,22
滝沢町,ﾀｷｻﾜﾁｮｳ,4312101,22
豊岡町,ﾄﾖｵｶﾁｮｳ,4338103,22
根洗町,ﾈｱﾗｲﾁｮｳ,4338108,22
初生町,ﾊﾂｵｲﾁｮｳ,4338112,22
東三方町,ﾋｶﾞｼﾐｶﾀﾁｮｳ,4338104,22
細江町小野,ﾎｿｴﾁｮｳｵﾉ,4311301,22
細江町気賀,ﾎｿｴﾁｮｳｷｶﾞ,4311305,22
細江町中川,ﾎｿｴﾁｮｳﾅｶｶﾞﾜ,4311304,22
細江町広岡,ﾎｿｴﾁｮｳﾋﾛｵｶ,4311302,22
細江町三和,ﾎｿｴﾁｮｳﾐﾜ,4311303,22
三方原町,ﾐｶﾀﾊﾗﾁｮｳ,4338105,22
三ヶ日町宇志,ﾐｯｶﾋﾞﾁｮｳｳｼ,4311404,22
三ヶ日町大崎,ﾐｯｶﾋﾞﾁｮｳｵｵｻｷ,4311403,22
三ヶ日町大谷,ﾐｯｶﾋﾞﾁｮｳｵｵﾔ,4311407,22
三ヶ日町岡本,ﾐｯｶﾋﾞﾁｮｳｵｶﾓﾄ,4311415,22
三ヶ日町上尾奈,ﾐｯｶﾋﾞﾁｮｳｶﾐｵﾅ,4311425,22
三ヶ日町駒場,ﾐｯｶﾋﾞﾁｮｳｺﾏﾊﾞ,4311406,22
三ヶ日町佐久米,ﾐｯｶﾋﾞﾁｮｳｻｸﾒ,4311401,22
三ヶ日町下尾奈,ﾐｯｶﾋﾞﾁｮｳｼﾓｵﾅ,4311424,22
三ヶ日町只木,ﾐｯｶﾋﾞﾁｮｳﾀﾀﾞｷ,4311412,22
三ヶ日町都筑,ﾐｯｶﾋﾞﾁｮｳﾂﾂﾞｷ,4311402,22
三ヶ日町津々崎,ﾐｯｶﾋﾞﾁｮｳﾂﾂﾞｻｷ,4311405,22
三ヶ日町釣,ﾐｯｶﾋﾞﾁｮｳﾂﾘ,4311416,22
三ヶ日町鵺代,ﾐｯｶﾋﾞﾁｮｳﾇｴｼﾛ,4311423,22
三ヶ日町日比沢,ﾐｯｶﾋﾞﾁｮｳﾋﾋﾞｻﾜ,4311422,22
三ヶ日町平山,ﾐｯｶﾋﾞﾁｮｳﾋﾗﾔﾏ,4311417,22
三ヶ日町福長,ﾐｯｶﾋﾞﾁｮｳﾌｸﾅｶﾞ,4311411,22
三ヶ日町本坂,ﾐｯｶﾋﾞﾁｮｳﾎﾝｻﾞｶ,4311421,22
三ヶ日町摩訶耶,ﾐｯｶﾋﾞﾁｮｳﾏｶﾔ,4311413,22
三ヶ日町三ヶ日,ﾐｯｶﾋﾞﾁｮｳﾐｯｶﾋﾞ,4311414,22
都田町,ﾐﾔｺﾀﾞﾁｮｳ,4312102,22
三幸町,ﾐﾕｷﾁｮｳ,4338101,22
鷲沢町,ﾜｼｻﾞﾜﾁｮｳ,4312104,22
