another_name,another_name_kana,post_id,prefecture_id
,,0000000,22
青谷,ｱｵﾔ,4313425,22
芦窪,ｱｼｸﾎﾞ,4313535,22
阿寺,ｱﾃﾗ,4313536,22
石神,ｲｼｶﾞﾐ,4313428,22
伊砂,ｲｽｶ,4313762,22
大川,ｵｵｶﾜ,4313755,22
大栗安,ｵｵｸﾞﾘﾔｽ,4313642,22
大谷,ｵｵﾔ,4313305,22
小川,ｵｶﾞﾜ,4313752,22
上野,ｶﾐﾉ,4313427,22
神沢,ｶﾝｻﾞﾜ,4313643,22
熊,ｸﾏ,4313641,22
佐久,ｻｸ,4313753,22
佐久間町相月,ｻｸﾏﾁｮｳｱｲﾂﾞｷ,4314111,22
佐久間町浦川,ｻｸﾏﾁｮｳｳﾗｶﾜ,4313906,22
佐久間町大井,ｻｸﾏﾁｮｳｵｵｲ,4313902,22
佐久間町奥領家,ｻｸﾏﾁｮｳｵｸﾘｮｳｹ,4314112,22
佐久間町上平山,ｻｸﾏﾁｮｳｶﾐﾋﾗﾔﾏ,4313903,22
佐久間町川合,ｻｸﾏﾁｮｳｶﾜｲ,4313907,22
佐久間町佐久間,ｻｸﾏﾁｮｳｻｸﾏ,4313901,22
佐久間町戸口,ｻｸﾏﾁｮｳﾄｸﾞﾁ,4313904,22
佐久間町中部,ｻｸﾏﾁｮｳﾅｶﾍﾞ,4313908,22
佐久間町半場,ｻｸﾏﾁｮｳﾊﾝﾊﾞ,4313905,22
次郎八新田,ｼﾞﾛｳﾊﾁｼﾝﾃﾞﾝ,4313304,22
相津,ｿｳﾂﾞ,4313754,22
只来,ﾀﾀﾞﾗｲ,4313302,22
龍山町大嶺,ﾀﾂﾔﾏﾁｮｳｵｵﾐﾈ,4313804,22
龍山町下平山,ﾀﾂﾔﾏﾁｮｳｼﾓﾋﾗﾔﾏ,4313802,22
龍山町瀬尻,ﾀﾂﾔﾏﾁｮｳｾｼﾞﾘ,4313801,22
龍山町戸倉,ﾀﾂﾔﾏﾁｮｳﾄｸﾗ,4313803,22
月,ﾂｷ,4313763,22
長沢,ﾅｶﾞｻﾜ,4313533,22
西雲名,ﾆｼｳﾝﾅ,4313761,22
西藤平,ﾆｼﾌｼﾞﾀﾞｲﾗ,4313532,22
春野町筏戸大上,ﾊﾙﾉﾁｮｳｲｶﾝﾄﾞｵｵｶﾐ,4370617,22
春野町砂川,ﾊﾙﾉﾁｮｳｲｻｶﾞﾜ,4370621,22
春野町石打松下,ﾊﾙﾉﾁｮｳｲｼｳﾁﾏﾂｼﾀ,4370615,22
春野町石切,ﾊﾙﾉﾁｮｳｲｼｷﾘ,4370607,22
春野町和泉平,ﾊﾙﾉﾁｮｳｲｽﾞﾐﾀﾞｲﾗ,4370624,22
春野町大時,ﾊﾙﾉﾁｮｳｵｵﾄｷ,4370622,22
春野町小俣京丸,ﾊﾙﾉﾁｮｳｵﾏﾀｷｮｳﾏﾙ,4370608,22
春野町川上,ﾊﾙﾉﾁｮｳｶﾜｶﾐ,4370601,22
春野町胡桃平,ﾊﾙﾉﾁｮｳｸﾙﾐﾀﾞｲﾗ,4370623,22
春野町気田,ﾊﾙﾉﾁｮｳｹﾀ,4370605,22
春野町越木平,ﾊﾙﾉﾁｮｳｺｼｷﾀﾞｲﾗ,4370618,22
春野町五和,ﾊﾙﾉﾁｮｳｺﾞﾜ,4370603,22
春野町杉,ﾊﾙﾉﾁｮｳｽｷﾞ,4370602,22
春野町田黒,ﾊﾙﾉﾁｮｳﾀｸﾞﾛ,4370616,22
春野町田河内,ﾊﾙﾉﾁｮｳﾀｺﾞｳﾁ,4370611,22
春野町長蔵寺,ﾊﾙﾉﾁｮｳﾁｮｳｿﾞｳｼﾞ,4370614,22
春野町豊岡,ﾊﾙﾉﾁｮｳﾄﾖｵｶ,4370606,22
春野町花島,ﾊﾙﾉﾁｮｳﾊﾅｼﾞﾏ,4370612,22
春野町堀之内,ﾊﾙﾉﾁｮｳﾎﾘﾉｳﾁ,4370625,22
春野町牧野,ﾊﾙﾉﾁｮｳﾏｷﾉ,4370613,22
春野町宮川,ﾊﾙﾉﾁｮｳﾐﾔｶﾞﾜ,4370604,22
春野町領家,ﾊﾙﾉﾁｮｳﾘｮｳｹ,4370626,22
日明,ﾋｱﾘ,4313421,22
東雲名,ﾋｶﾞｼｳﾝﾅ,4313751,22
東藤平,ﾋｶﾞｼﾌｼﾞﾀﾞｲﾗ,4313531,22
二俣町阿蔵,ﾌﾀﾏﾀﾁｮｳｱｸﾗ,4313311,22
二俣町大園,ﾌﾀﾏﾀﾁｮｳｵｵｿﾉ,4313315,22
二俣町鹿島,ﾌﾀﾏﾀﾁｮｳｶｼﾞﾏ,4313313,22
二俣町二俣,ﾌﾀﾏﾀﾁｮｳﾌﾀﾏﾀ,4313314,22
二俣町南鹿島,ﾌﾀﾏﾀﾁｮｳﾐﾅﾐｶｼﾞﾏ,4313312,22
懐山,ﾌﾄｺﾛﾔﾏ,4313534,22
船明,ﾌﾅｷﾞﾗ,4313306,22
水窪町奥領家,ﾐｻｸﾎﾞﾁｮｳｵｸﾘｮｳｹ,4314101,22
水窪町地頭方,ﾐｻｸﾎﾞﾁｮｳｼﾞﾄｳｶﾞﾀ,4314102,22
水窪町山住,ﾐｻｸﾎﾞﾁｮｳﾔﾏｽﾞﾐ,4314103,22
米沢,ﾐﾅｻﾞﾜ,4313422,22
山東,ﾔﾏﾋｶﾞｼ,4313303,22
谷山,ﾔﾔﾏ,4313756,22
横川,ﾖｺｶﾜ,4313301,22
横山町,ﾖｺﾔﾏﾁｮｳ,4313764,22
両島,ﾘｮｳｼﾏ,4313426,22
緑恵台,ﾘｮｸｹｲﾀﾞｲ,4313424,22
渡ケ島,ﾜﾀｶﾞｼﾏ,4313423,22
