another_name,another_name_kana,post_id,prefecture_id
,,0000000,11
青木,ｱｵｷ,3570003,11
赤沢,ｱｶｻﾞﾜ,3570128,11
茜台,ｱｶﾈﾀﾞｲ,3570069,11
吾野,ｱｶﾞﾉ,3570216,11
芦苅場,ｱｼｶﾘﾊﾞ,3570013,11
阿須,ｱｽﾞ,3570046,11
東町,ｱｽﾞﾏﾁｮｳ,3570034,11
稲荷町,ｲﾅﾘﾁｮｳ,3570037,11
井上,ｲﾉｳｴ,3570212,11
岩沢,ｲﾜｻﾜ,3570023,11
岩渕,ｲﾜﾌﾞﾁ,3570048,11
大河原,ｵｵｶﾜﾗ,3570065,11
落合,ｵﾁｱｲ,3570047,11
笠縫,ｶｻﾇｲ,3570045,11
上赤工,ｶﾐｱｶﾀﾞｸﾐ,3570125,11
上直竹上分,ｶﾐﾅｵﾀｹｶﾐﾌﾞﾝ,3570056,11
上直竹下分,ｶﾐﾅｵﾀｹｼﾓﾌﾞﾝ,3570055,11
上長沢,ｶﾐﾅｶﾞｻﾜ,3570206,11
上名栗,ｶﾐﾅｸﾞﾘ,3570111,11
上畑,ｶﾐﾊﾀ,3570053,11
唐竹,ｶﾗﾀｹ,3570127,11
苅生,ｶﾛｳ,3570051,11
川崎,ｶﾜｻｷ,3570011,11
川寺,ｶﾜﾃﾞﾗ,3570044,11
北川,ｷﾀｶﾞﾜ,3570201,11
久下,ｸｹﾞ,3570064,11
久須美,ｸｽﾐ,3570068,11
小岩井,ｺｲﾜｲ,3570066,11
小久保,ｺｸﾎﾞ,3570015,11
虎秀,ｺｼｭｳ,3570204,11
小瀬戸,ｺｾﾄﾞ,3570067,11
坂石,ｻｶｲｼ,3570215,11
坂石町分,ｻｶｲｼﾏﾁﾌﾞﾝ,3570213,11
栄町,ｻｶｴﾁｮｳ,3570025,11
坂元,ｻｶﾓﾄ,3570218,11
下赤工,ｼﾓｱｶﾀﾞｸﾐ,3570126,11
下加治,ｼﾓｶｼﾞ,3570016,11
下川崎,ｼﾓｶﾜｻｷ,3570012,11
下直竹,ｼﾓﾅｵﾀｹ,3570054,11
下名栗,ｼﾓﾅｸﾞﾘ,3570112,11
下畑,ｼﾓﾊﾀ,3570052,11
白子,ｼﾗｺ,3570205,11
新光,ｼﾝｺｳ,3570022,11
新町,ｼﾝﾏﾁ,3570004,11
征矢町,ｿﾔﾁｮｳ,3570049,11
高山,ﾀｶﾔﾏ,3570202,11
中居,ﾅｶｲ,3570002,11
仲町,ﾅｶﾁｮｳ,3570038,11
中藤上郷,ﾅｶﾄｳｶﾐｺﾞｳ,3570121,11
中藤中郷,ﾅｶﾄｳﾅｶｺﾞｳ,3570122,11
中藤下郷,ﾅｶﾄｳｼﾓｺﾞｳ,3570123,11
中山,ﾅｶﾔﾏ,3570006,11
長沢,ﾅｶﾞｻﾜ,3570203,11
永田,ﾅｶﾞﾀ,3570062,11
永田台,ﾅｶﾞﾀﾀﾞｲ,3570061,11
双柳,ﾅﾐﾔﾅｷﾞ,3570021,11
八幡町,ﾊﾁﾏﾝﾁｮｳ,3570033,11
原市場,ﾊﾗｲﾁﾊﾞ,3570124,11
原町,ﾊﾗﾏﾁ,3570005,11
飯能,ﾊﾝﾉｳ,3570063,11
平戸,ﾋﾗｯﾄ,3570211,11
平松,ﾋﾗﾏﾂ,3570014,11
本町,ﾎﾝﾁｮｳ,3570032,11
前ケ貫,ﾏｴｶﾞﾇｷ,3570043,11
美杉台,ﾐｽｷﾞﾀﾞｲ,3570041,11
緑町,ﾐﾄﾞﾘﾁｮｳ,3570024,11
南,ﾐﾅﾐ,3570214,11
南川,ﾐﾅﾐｶﾜ,3570217,11
南町,ﾐﾅﾐﾁｮｳ,3570036,11
宮沢,ﾐﾔｻﾞﾜ,3570001,11
矢颪,ﾔｵﾛｼ,3570042,11
柳町,ﾔﾅｷﾞﾁｮｳ,3570035,11
山手町,ﾔﾏﾃﾁｮｳ,3570031,11
