another_name,another_name_kana,post_id,prefecture_id
,,0000000,11
稲子,ｲﾅｺﾞ,3480061,11
今泉,ｲﾏｲｽﾞﾐ,3480017,11
大沼,ｵｵﾇﾏ,3480016,11
尾崎,ｵｻｷ,3480062,11
加羽ケ崎,ｶﾊﾞｶﾞｻｷ,3480031,11
上岩瀬,ｶﾐｲﾜｾ,3480044,11
上川崎,ｶﾐｶﾜｻｷ,3480035,11
上川俣,ｶﾐｶﾜﾏﾀ,3480056,11
上新郷,ｶﾐｼﾝｺﾞｳ,3480041,11
上手子林,ｶﾐﾃｺﾊﾞﾔｼ,3480025,11
上羽生,ｶﾐﾊﾆｭｳ,3480027,11
上村君,ｶﾐﾑﾗｷﾐ,3480005,11
川崎,ｶﾜｻｷ,3480039,11
喜右エ門新田,ｷｳｴﾓﾝｼﾝﾃﾞﾝ,3480014,11
北,ｷﾀ,3480057,11
北荻島,ｷﾀｵｷﾞｼﾏ,3480015,11
北袋,ｷﾀﾌﾞｸﾛ,3480028,11
桑崎,ｸﾜｻｷ,3480043,11
神戸,ｺﾞｳﾄﾞ,3480024,11
小須賀,ｺｽｶ,3480042,11
小松,ｺﾏﾂ,3480037,11
小松台,ｺﾏﾂﾀﾞｲ,3480038,11
下岩瀬,ｼﾓｲﾜｾ,3480045,11
下川崎,ｼﾓｶﾜｻｷ,3480034,11
下新郷,ｼﾓｼﾝｺﾞｳ,3480047,11
下新田,ｼﾓｼﾝﾃﾞﾝ,3480048,11
下手子林,ｼﾓﾃｺﾊﾞﾔｼ,3480022,11
下羽生,ｼﾓﾊﾆｭｳ,3480026,11
下村君,ｼﾓﾑﾗｷﾐ,3480006,11
須影,ｽｶｹﾞ,3480033,11
砂山,ｽﾅﾔﾏ,3480036,11
中央,ﾁｭｳｵｳ,3480058,11
堤,ﾂﾂﾐ,3480001,11
常木,ﾂﾈｷﾞ,3480003,11
中岩瀬,ﾅｶｲﾜｾ,3480046,11
中手子林,ﾅｶﾃｺﾊﾞﾔｼ,3480021,11
西,ﾆｼ,3480054,11
羽生,ﾊﾆｭｳ,3480055,11
東,ﾋｶﾞｼ,3480052,11
秀安,ﾋﾃﾞﾔｽ,3480032,11
日野手新田,ﾋﾉﾃｼﾝﾃﾞﾝ,3480013,11
藤井上組,ﾌｼﾞｲｶﾐｸﾞﾐ,3480064,11
藤井下組,ﾌｼﾞｲｼﾓｸﾞﾐ,3480065,11
発戸,ﾎｯﾄ,3480063,11
本川俣,ﾎﾝｶﾜﾏﾀ,3480051,11
町屋,ﾏﾁﾔ,3480023,11
三田ケ谷,ﾐﾀｶﾔ,3480011,11
南,ﾐﾅﾐ,3480053,11
南羽生,ﾐﾅﾐﾊﾆｭｳ,3480071,11
名,ﾐｮｳ,3480002,11
弥勒,ﾐﾛｸ,3480004,11
与兵エ新田,ﾖﾍｴｼﾝﾃﾞﾝ,3480012,11
