another_name,another_name_kana,post_id,prefecture_id
,,0000000,39
有井川,ｱﾘｲｶﾞﾜ,7891903,39
伊田,ｲﾀﾞ,7891904,39
市野瀬,ｲﾁﾉｾ,7891701,39
市野々川,ｲﾁﾉﾉｶﾞﾜ,7891711,39
出口,ｲﾃﾞｸﾞﾁ,7891934,39
伊与喜,ｲﾖｷ,7891713,39
入野,ｲﾘﾉ,7891931,39
浮鞭,ｳｷﾌﾞﾁ,7891911,39
馬荷,ｳﾏﾆ,7891924,39
大井川,ｵｵｲｶﾞﾜ,7891923,39
大方橘川,ｵｵｶﾞﾀﾀﾁﾊﾞﾅｶﾞﾜ,7891925,39
奥湊川,ｵｸﾐﾅﾄｶﾞﾜ,7891913,39
御坊畑,ｵﾝﾎﾞｳﾊﾞﾀ,7891936,39
荷稲,ｶｲﾅ,7891705,39
上川口,ｶﾐｶﾜｸﾞﾁ,7891901,39
上田の口,ｶﾐﾀﾉｸﾁ,7891935,39
加持,ｶﾓﾁ,7891921,39
加持川,ｶﾓﾁｶﾞﾜ,7891922,39
川奥,ｶﾜｵｸ,7891704,39
口湊川,ｸﾁﾐﾅﾄｶﾞﾜ,7891912,39
熊井,ｸﾏｲ,7891715,39
熊野浦,ｸﾏﾉｳﾗ,7891716,39
小黒ノ川,ｺｸﾞﾛﾉｶﾜ,7891706,39
拳ノ川,ｺﾌﾞｼﾉｶﾜ,7891703,39
佐賀,ｻｶﾞ,0000000,39
佐賀馬地,ｻｶﾞｳﾏｼﾞ,7891723,39
佐賀坂折,ｻｶﾞｻｶｵﾘ,7891722,39
佐賀中角,ｻｶﾞﾅｶｶﾄﾞ,7891721,39
佐賀横浜,ｻｶﾞﾖｺﾊﾏ,7891724,39
佐賀橘川,ｻｶﾞﾀﾁﾊﾞﾅｶﾞﾜ,7891702,39
下田の口,ｼﾓﾀﾉｸﾁ,7891932,39
白浜,ｼﾗﾊﾏ,7891725,39
鈴,ｽｽﾞ,7891708,39
田野浦,ﾀﾉｳﾗ,7891933,39
中ノ川,ﾅｶﾉｶﾜ,7891707,39
灘,ﾅﾀﾞ,7891905,39
藤縄,ﾌｼﾞﾅﾜ,7891714,39
不破原,ﾌﾊﾞﾊﾗ,7891712,39
蜷川,ﾐﾅｶﾞﾜ,7891902,39
