another_name,another_name_kana,post_id,prefecture_id
,,0000000,23
相生町,ｱｲｵｲﾏﾁ,4470862,23
明石町,ｱｶｼﾏﾁ,4470866,23
旭町,ｱｻﾋﾏﾁ,4470022,23
浅間町,ｱｻﾏﾏﾁ,4470865,23
油渕町,ｱﾌﾞﾗﾌﾁﾏﾁ,4470083,23
雨池町,ｱﾏｲｹﾏﾁ,4470813,23
荒居町,ｱﾗｲﾏﾁ,4470068,23
荒子町,ｱﾗｺﾏﾁ,4470038,23
井口町,ｲｸﾞﾁﾏﾁ,4470002,23
池下町,ｲｹｼﾀﾏﾁ,4470023,23
石橋町,ｲｼﾊﾞｼﾏﾁ,4470858,23
伊勢町,ｲｾﾏﾁ,4470837,23
稲荷町,ｲﾅﾘﾏﾁ,4470821,23
入船町,ｲﾘﾌﾈﾏﾁ,4470831,23
植出町,ｳｴﾀﾞｼﾏﾁ,4470047,23
江口町,ｴｸﾞﾁﾏﾁ,4470825,23
大久手町,ｵｵｸﾃﾏﾁ,4470008,23
大坪町,ｵｵﾂﾎﾞﾏﾁ,4470012,23
大堤町,ｵｵﾂﾞﾂﾐﾏﾁ,4470025,23
大浜上町,ｵｵﾊﾏｶﾐﾏﾁ,4470857,23
奥沢町,ｵｸｻﾜﾏﾁ,4470017,23
長田町,ｵｻﾀﾞﾏﾁ,4470014,23
尾城町,ｵｼﾞﾛﾏﾁ,4470036,23
音羽町,ｵﾄﾊﾏﾁ,4470847,23
篭田町,ｶｺﾞﾀﾏﾁ,4470045,23
春日町,ｶｽｶﾞﾏﾁ,4470888,23
霞浦町,ｶｽﾐｳﾗﾏﾁ,4470881,23
金山町,ｶﾅﾔﾏﾏﾁ,4470085,23
神有町,ｶﾐｱﾘﾏﾁ,4470028,23
上町,ｶﾐﾏﾁ,4470074,23
亀穴町,ｶﾒｱﾅﾏﾁ,4470024,23
河方町,ｶﾜｶﾀﾏﾁ,4470822,23
川口町,ｶﾜｸﾞﾁﾁｮｳ,4470823,23
川端町,ｶﾜﾊﾞﾀﾏﾁ,4470817,23
神田町,ｶﾝﾀﾞﾏﾁ,4470016,23
雁道町,ｶﾞﾝﾐﾁﾏﾁ,4470003,23
北浦町,ｷﾀｳﾗﾏﾁ,4470032,23
北町,ｷﾀﾏﾁ,4470001,23
久沓町,ｸｸﾞﾂﾏﾁ,4470065,23
栗山町,ｸﾘﾔﾏﾏﾁ,4470873,23
源氏神明町,ｹﾞﾝｼﾞｼﾝﾒｲﾏﾁ,4470872,23
源氏町,ｹﾞﾝｼﾞﾏﾁ,4470886,23
鴻島町,ｺｳｼﾞﾏﾏﾁ,4470034,23
港南町,ｺｳﾅﾝﾏﾁ,4470824,23
向陽町,ｺｳﾖｳﾏﾁ,4470871,23
湖西町,ｺｾｲﾏﾁ,4470082,23
小屋下町,ｺﾔｼﾀﾏﾁ,4470809,23
権現町,ｺﾞﾝｹﾞﾝﾏﾁ,4470833,23
権田町,ｺﾞﾝﾀﾞﾏﾁ,4470838,23
幸町,ｻｲﾜｲﾏﾁ,4470043,23
栄町,ｻｶｴﾏﾁ,4470877,23
坂口町,ｻｶｸﾞﾁﾏﾁ,4470087,23
