another_name,another_name_kana,post_id,prefecture_id
,,0000000,8
粟,ｱﾜ,3114321,8
阿波山,ｱﾜﾔﾏ,3114344,8
石塚,ｲｼﾂｶ,3114303,8
磯野,ｲｿﾉ,3114312,8
岩船,ｲﾜﾌﾈ,3114331,8
大網,ｵｵｱﾐ,3114403,8
小勝,ｵｶﾞﾁ,3114402,8
小坂,ｵｻｶ,3114316,8
勝見沢,ｶﾂﾐｻﾞﾜ,3114317,8
上青山,ｶﾐｱｵﾔﾏ,3114305,8
上赤沢,ｶﾐｱｶｻﾜ,3114405,8
上圷,ｶﾐｱｸﾂ,3114323,8
上阿野沢,ｶﾐｱﾉｻﾜ,3114342,8
上泉,ｶﾐｲｽﾞﾐ,3114301,8
上入野,ｶﾐｲﾘﾉ,3114313,8
上古内,ｶﾐﾌﾙｳﾁ,3114315,8
北方,ｷﾀｶﾀ,3114325,8
御前山,ｺﾞｾﾞﾝﾔﾏ,3114341,8
真端,ｻﾅﾊﾞﾀ,3114404,8
塩子,ｼｵｺﾞ,3114401,8
下青山,ｼﾓｱｵﾔﾏ,3114304,8
下赤沢,ｼﾓｱｶｻﾜ,3114406,8
下圷,ｼﾓｱｸﾂ,3114322,8
下阿野沢,ｼﾓｱﾉｻﾜ,3114343,8
下古内,ｼﾓﾌﾙｳﾁ,3114314,8
錫高野,ｽｽﾞｺｳﾔ,3114335,8
高久,ﾀｶｸ,3114324,8
高根,ﾀｶﾈ,3114333,8
高根台,ﾀｶﾈﾀﾞｲ,3114332,8
徳蔵,ﾄｸﾗ,3114407,8
那珂西,ﾅｶｻｲ,3114302,8
春園,ﾊﾙｿﾉ,3114306,8
孫根,ﾏｺﾞﾈ,3114334,8
増井,ﾏｼｲ,3114311,8
