another_name,another_name_kana,post_id,prefecture_id
,,0000000,13
上の原,ｳｴﾉﾊﾗ,2030001,13
学園町,ｶﾞｸｴﾝﾁｮｳ,2030021,13
金山町,ｶﾅﾔﾏﾁｮｳ,2030003,13
小山,ｺﾔﾏ,2030051,13
幸町,ｻｲﾜｲﾁｮｳ,2030052,13
下里,ｼﾓｻﾄ,2030043,13
新川町,ｼﾝｶﾜﾁｮｳ,2030013,13
神宝町,ｼﾝﾎｳﾁｮｳ,2030002,13
浅間町,ｾﾝｹﾞﾝﾁｮｳ,2030012,13
大門町,ﾀﾞｲﾓﾝﾁｮｳ,2030011,13
滝山,ﾀｷﾔﾏ,2030033,13
中央町,ﾁｭｳｵｳﾁｮｳ,2030054,13
野火止,ﾉﾋﾞﾄﾞﾒ,2030041,13
八幡町,ﾊﾁﾏﾝﾁｮｳ,2030042,13
氷川台,ﾋｶﾜﾀﾞｲ,2030004,13
東本町,ﾋｶﾞｼﾎﾝﾁｮｳ,2030014,13
ひばりが丘団地,ﾋﾊﾞﾘｶﾞｵｶﾀﾞﾝﾁ,2030022,13
本町,ﾎﾝﾁｮｳ,2030053,13
前沢,ﾏｴｻﾜ,2030032,13
南沢,ﾐﾅﾐｻﾜ,2030023,13
南町,ﾐﾅﾐﾁｮｳ,2030031,13
柳窪,ﾔﾅｷﾞｸﾎﾞ,2030044,13
弥生,ﾔﾖｲ,2030034,13
