another_name,another_name_kana,post_id,prefecture_id
,,0000000,27
旭町,ｱｻﾋﾏﾁ,5798048,27
足代,ｱｼﾞﾛ,5770841,27
足代新町,ｱｼﾞﾛｼﾝﾏﾁ,5770057,27
足代南,ｱｼﾞﾛﾐﾅﾐ,5770842,27
足代北,ｱｼﾞﾛｷﾀ,5770058,27
荒川,ｱﾗｶﾜ,5770843,27
荒本,ｱﾗﾓﾄ,5770023,27
荒本新町,ｱﾗﾓﾄｼﾝﾏﾁ,5770022,27
荒本西,ｱﾗﾓﾄﾆｼ,5770024,27
荒本北,ｱﾗﾓﾄｷﾀ,5770011,27
池島町,ｲｹｼﾏﾁｮｳ,5798064,27
池之端町,ｲｹﾉﾊﾀﾁｮｳ,5798002,27
出雲井町,ｲｽﾞﾓｲﾁｮｳ,5798033,27
出雲井本町,ｲｽﾞﾓｲﾎﾝﾏﾁ,5798034,27
稲田上町,ｲﾅﾀﾞｳｴﾏﾁ,5770002,27
稲田新町,ｲﾅﾀﾞｼﾝﾏﾁ,5770004,27
稲田本町,ｲﾅﾀﾞﾎﾝﾏﾁ,5770007,27
稲田三島町,ｲﾅﾀﾞﾐｼﾏﾁｮｳ,5770003,27
稲葉,ｲﾅﾊﾞ,5780925,27
今米,ｲﾏｺﾞﾒ,5780903,27
岩田町,ｲﾜﾀﾁｮｳ,5780941,27
瓜生堂,ｳﾘｭｳﾄﾞｳ,5780946,27
永和,ｴｲﾜ,5770809,27
近江堂,ｵｳﾐﾄﾞｳ,5770817,27
大蓮東,ｵｵﾊｽﾋｶﾞｼ,5770824,27
大蓮南,ｵｵﾊｽﾐﾅﾐ,5770825,27
大蓮北,ｵｵﾊｽｷﾀ,5770826,27
柏田東町,ｶｼﾀﾋｶﾞｼﾏﾁ,5770833,27
柏田本町,ｶｼﾀﾎﾝﾏﾁ,5770834,27
柏田西,ｶｼﾀﾆｼ,5770835,27
金岡,ｶﾅｵｶ,5770823,27
金物町,ｶﾅﾓﾉﾁｮｳ,5770815,27
加納,ｶﾉｳ,5780901,27
上石切町,ｶﾐｲｼｷﾘﾁｮｳ,0000000,27
上小阪,ｶﾐｺｻｶ,5770806,27
上四条町,ｶﾐｼｼﾞｮｳﾁｮｳ,5798052,27
上六万寺町,ｶﾐﾛｸﾏﾝｼﾞﾁｮｳ,5798062,27
川田,ｶﾜﾀﾞ,5780905,27
河内町,ｶﾜﾁﾁｮｳ,5798044,27
川中,ｶﾜﾅｶ,5780902,27
川俣,ｶﾜﾏﾀ,5770063,27
川俣本町,ｶﾜﾏﾀﾎﾝﾏﾁ,5770064,27
神田町,ｶﾝﾀﾞﾁｮｳ,5798058,27
岸田堂南町,ｷｼﾀﾞﾄﾞｳﾐﾅﾐﾏﾁ,5770847,27
岸田堂北町,ｷｼﾀﾞﾄﾞｳｷﾀﾏﾁ,5770846,27
岸田堂西,ｷｼﾀﾞﾄﾞｳﾆｼ,5770848,27
衣摺,ｷｽﾞﾘ,5770827,27
北石切町,ｷﾀｲｼｷﾘﾁｮｳ,5798015,27
北鴻池町,ｷﾀｺｳﾉｲｹﾁｮｳ,5780978,27
客坊町,ｷｬｸﾎﾞｳﾁｮｳ,5798043,27
喜里川町,ｷﾘｶﾜﾁｮｳ,5798041,27
日下町,ｸｻｶﾁｮｳ,5798003,27
楠根,ｸｽﾈ,5770006,27
源氏ケ丘,ｹﾞﾝｼﾞｶﾞｵｶ,5770822,27
鴻池徳庵町,ｺｳﾉｲｹﾄｸｱﾝﾁｮｳ,5780977,27
鴻池本町,ｺｳﾉｲｹﾎﾝﾏﾁ,5780971,27
鴻池元町,ｺｳﾉｲｹﾓﾄﾏﾁ,5780974,27
鴻池町,ｺｳﾉｲｹﾁｮｳ,5780972,27
小阪,ｺｻｶ,5770801,27
小阪本町,ｺｻｶﾎﾝﾏﾁ,5770802,27
五条町,ｺﾞｼﾞｮｳﾁｮｳ,5798042,27
寿町,ｺﾄﾌﾞｷﾁｮｳ,5770837,27
古箕輪,ｺﾐﾉﾜ,5780915,27
小若江,ｺﾜｶｴ,5770818,27
桜町,ｻｸﾗﾏﾁ,5798047,27
三ノ瀬,ｻﾝﾉｾ,5770849,27
新喜多,ｼｷﾞﾀ,5770052,27
四条町,ｼｼﾞｮｳﾁｮｳ,5798053,27
七軒家,ｼﾁｹﾝﾔ,5770005,27
渋川町,ｼﾌﾞｶﾜﾁｮｳ,5770836,27
島之内,ｼﾏﾉｳﾁ,5780981,27
下小阪,ｼﾓｺｻｶ,5770803,27
下六万寺町,ｼﾓﾛｸﾏﾝｼﾞﾁｮｳ,5798066,27
俊徳町,ｼｭﾝﾄｸﾁｮｳ,5770831,27
昭和町,ｼｮｳﾜﾁｮｳ,5798046,27
新池島町,ｼﾝｲｹｼﾏﾁｮｳ,5798065,27
新上小阪,ｼﾝｶﾐｺｻｶ,5770813,27
新家,ｼﾝｹ,5770025,27
新家中町,ｼﾝｹﾅｶﾏﾁ,5770027,27
新家東町,ｼﾝｹﾋｶﾞｼﾏﾁ,5770026,27
新家西町,ｼﾝｹﾆｼﾏﾁ,5770028,27
新鴻池町,ｼﾝｺｳﾉｲｹﾁｮｳ,5780967,27
新庄,ｼﾝｼﾞｮｳ,5780963,27
新庄東,ｼﾝｼﾞｮｳﾋｶﾞｼ,5780951,27
新庄西,ｼﾝｼﾞｮｳﾆｼ,5780964,27
新庄南,ｼﾝｼﾞｮｳﾐﾅﾐ,5780958,27
新町,ｼﾝﾏﾁ,5798037,27
末広町,ｽｴﾋﾛﾁｮｳ,5798055,27
角田,ｽﾐﾀﾞ,5780912,27
善根寺町,ｾﾞﾝｺﾝｼﾞﾁｮｳ,5798001,27
太平寺,ﾀｲﾍｲｼﾞ,5770844,27
高井田,ﾀｶｲﾀﾞ,5770053,27
高井田中,ﾀｶｲﾀﾞﾅｶ,5770065,27
高井田本通,ﾀｶｲﾀﾞﾎﾝﾄﾞｵﾘ,5770066,27
高井田元町,ﾀｶｲﾀﾞﾓﾄﾏﾁ,5770054,27
高井田西,ﾀｶｲﾀﾞﾆｼ,5770067,27
鷹殿町,ﾀｶﾄﾞﾉﾁｮｳ,5798036,27
宝町,ﾀｶﾗﾏﾁ,5798025,27
立花町,ﾀﾁﾊﾞﾅﾁｮｳ,5798023,27
玉串町東,ﾀﾏｸｼﾁｮｳﾋｶﾞｼ,5780932,27
玉串町西,ﾀﾏｸｼﾁｮｳﾆｼ,5780934,27
玉串元町,ﾀﾏｸｼﾓﾄﾏﾁ,5780933,27
長栄寺,ﾁｮｳｴｲｼﾞ,5770055,27
長堂,ﾁｮｳﾄﾞｳ,5770056,27
寺前町,ﾃﾗﾏｴﾁｮｳ,5770845,27
徳庵本町,ﾄｸｱﾝﾎﾝﾏﾁ,5770001,27
友井,ﾄﾓｲ,5770816,27
豊浦町,ﾄﾖｳﾗﾁｮｳ,5798031,27
鳥居町,ﾄﾘｲﾁｮｳ,5798035,27
中石切町,ﾅｶｲｼｷﾘﾁｮｳ,5798014,27
中鴻池町,ﾅｶｺｳﾉｲｹﾁｮｳ,5780975,27
中小阪,ﾅｶｺｻｶ,5770804,27
中新開,ﾅｶｼﾝｶｲ,5780911,27
長瀬町,ﾅｶﾞｾﾁｮｳ,5770832,27
長田,ﾅｶﾞﾀ,5770015,27
長田内介,ﾅｶﾞﾀﾅｲｽｹ,5770014,27
長田中,ﾅｶﾞﾀﾅｶ,5770013,27
長田東,ﾅｶﾞﾀﾋｶﾞｼ,5770012,27
長田西,ﾅｶﾞﾀﾆｼ,5770016,27
中野,ﾅｶﾉ,5780913,27
中野南,ﾅｶﾉﾐﾅﾐ,5780985,27
南荘町,ﾅﾝｿｳﾁｮｳ,5798024,27
西石切町,ﾆｼｲｼｷﾘﾁｮｳ,5798013,27
西岩田,ﾆｼｲﾜﾀ,5780947,27
西上小阪,ﾆｼｶﾐｺｻｶ,5770811,27
西鴻池町,ﾆｼｺｳﾉｲｹﾁｮｳ,5780976,27
西堤,ﾆｼﾂﾞﾂﾐ,5770042,27
西堤学園町,ﾆｼﾂﾞﾂﾐｶﾞｸｴﾝﾁｮｳ,5770044,27
西堤楠町,ﾆｼﾂﾞﾂﾐｸｽﾉｷﾁｮｳ,5770047,27
西堤西,ﾆｼﾂﾂﾐﾆｼ,5770048,27
西堤本通東,ﾆｼﾂﾞﾂﾐﾎﾝﾄﾞｵﾘﾋｶﾞｼ,5770045,27
西堤本通西,ﾆｼﾂﾞﾂﾐﾎﾝﾄﾞｵﾘﾆｼ,5770046,27
額田町,ﾇｶﾀﾁｮｳ,5798021,27
