another_name,another_name_kana,post_id,prefecture_id
,,0000000,42
井石郷,ｲｾｷｺﾞｳ,8593711,42
鬼木郷,ｵﾆｷﾞｺﾞｳ,8593713,42
折敷瀬郷,ｵﾘｼｷｾｺﾞｳ,8593701,42
金屋郷,ｶﾅﾔｺﾞｳ,8593714,42
川内郷,ｶﾜﾁｺﾞｳ,8593721,42
小樽郷,ｺﾀﾞﾙｺﾞｳ,8593704,42
皿山郷,ｻﾗﾔﾏｺﾞｳ,8593727,42
志折郷,ｼｵﾘｺﾞｳ,8593724,42
宿郷,ｼｭｸｺﾞｳ,8593715,42
岳辺田郷,ﾀｹﾍﾞﾀｺﾞｳ,8593722,42
田ノ頭郷,ﾀﾉｶｼﾗｺﾞｳ,8593716,42
中尾郷,ﾅｶｵｺﾞｳ,8593712,42
永尾郷,ﾅｶﾞｵｺﾞｳ,8593705,42
長野郷,ﾅｶﾞﾉｺﾞｳ,8593725,42
野々川郷,ﾉﾉｶﾜｺﾞｳ,8593703,42
稗木場郷,ﾋｴｺﾊﾞｺﾞｳ,8593726,42
平野郷,ﾋﾗﾉｺﾞｳ,8593723,42
三股郷,ﾐﾂﾏﾀｺﾞｳ,8593706,42
村木郷,ﾑﾗｷﾞｺﾞｳ,8593728,42
湯無田郷,ﾕﾑﾀｺﾞｳ,8593702,42
