another_name,another_name_kana,post_id,prefecture_id
,,0000000,11
青山,ｱｵﾔﾏ,3550324,11
飯田,ｲｲﾀﾞ,3550333,11
伊勢根,ｲｾﾈ,3550304,11
大塚,ｵｵﾂｶ,3550328,11
小川,ｵｶﾞﾜ,3550321,11
角山,ｶｸﾔﾏ,3550316,11
笠原,ｶｻﾊﾗ,3550334,11
上古寺,ｶﾐﾌﾙﾃﾗ,3550325,11
上横田,ｶﾐﾖｺﾀ,3550312,11
木部,ｷﾍﾞ,3550335,11
木呂子,ｷﾛｺ,3550337,11
高谷,ｺｳﾔ,3550311,11
腰越,ｺｼｺﾞｴ,3550327,11
下里,ｼﾓｻﾞﾄ,3550323,11
下古寺,ｼﾓﾌﾙﾃﾗ,3550326,11
下横田,ｼﾓﾖｺﾀ,3550313,11
勝呂,ｽｸﾞﾛ,3550336,11
鷹巣,ﾀｶﾉｽ,3550302,11
高見,ﾀｶﾐ,3550306,11
中爪,ﾅｶﾂﾒ,3550314,11
奈良梨,ﾅﾗﾅｼ,3550303,11
西古里,ﾆｼﾌﾙｻﾄ,3550301,11
能増,ﾉｳﾏｽ,3550305,11
原川,ﾊﾗｶﾞﾜ,3550317,11
東小川,ﾋｶﾞｼｵｶﾞﾜ,3550322,11
ひばり台,ﾋﾊﾞﾘﾀﾞｲ,3550318,11
増尾,ﾏｽｵ,3550332,11
みどりが丘,ﾐﾄﾞﾘｶﾞｵｶ,3550315,11
靱負,ﾕｷｴ,3550331,11
