another_name,another_name_kana,post_id,prefecture_id
,,0000000,28
相野,ｱｲﾉ,6712232,28
青山,ｱｵﾔﾏ,6712222,28
青山西,ｱｵﾔﾏﾆｼ,6712224,28
青山南,ｱｵﾔﾏﾐﾅﾐ,6712223,28
青山北,ｱｵﾔﾏｷﾀ,6712221,28
朝日町,ｱｻﾋﾏﾁ,6700934,28
阿保,ｱﾎﾞ,6700944,28
網干区網干浜,ｱﾎﾞｼｸｱﾎﾞｼﾊﾏ,6711236,28
網干区大江島,ｱﾎﾞｼｸｵｵｴｼﾞﾏ,6711231,28
網干区大江島寺前町,ｱﾎﾞｼｸｵｵｴｼﾞﾏﾃﾗﾏｴﾁｮｳ,6711232,28
網干区大江島古川町,ｱﾎﾞｼｸｵｵｴｼﾞﾏﾌﾙｶﾜﾁｮｳ,6711233,28
網干区興浜,ｱﾎﾞｼｸｵｷﾉﾊﾏ,6711241,28
網干区垣内中町,ｱﾎﾞｼｸｶｲﾁﾅｶﾏﾁ,6711253,28
網干区垣内東町,ｱﾎﾞｼｸｶｲﾁﾋｶﾞｼﾏﾁ,6711252,28
網干区垣内西町,ｱﾎﾞｼｸｶｲﾁﾆｼﾏﾁ,6711256,28
網干区垣内南町,ｱﾎﾞｼｸｶｲﾁﾐﾅﾐﾏﾁ,6711255,28
網干区垣内北町,ｱﾎﾞｼｸｶｲﾁｷﾀﾏﾁ,6711251,28
網干区垣内本町,ｱﾎﾞｼｸｶｲﾁﾎﾝﾏﾁ,6711257,28
網干区北新在家,ｱﾎﾞｼｸｷﾀｼﾝｻﾞｲｹ,6711235,28
網干区坂上,ｱﾎﾞｼｸｻｶｳｴ,6711223,28
網干区坂出,ｱﾎﾞｼｸｻｶﾃﾞ,6711228,28
網干区新在家,ｱﾎﾞｼｸｼﾝｻﾞｲｹ,6711234,28
網干区田井,ｱﾎﾞｼｸﾀｲ,6711221,28
網干区高田,ｱﾎﾞｼｸﾀｶﾀﾞ,6711226,28
網干区津市場,ｱﾎﾞｼｸﾂｲﾁﾊﾞ,6711224,28
網干区浜田,ｱﾎﾞｼｸﾊﾏﾀﾞ,6711242,28
網干区福井,ｱﾎﾞｼｸﾌｸｲ,6711225,28
網干区宮内,ｱﾎﾞｼｸﾐﾔｳﾁ,6711222,28
網干区余子浜,ｱﾎﾞｼｸﾖｺﾊﾏ,6711254,28
網干区和久,ｱﾎﾞｼｸﾜｸ,6711227,28
嵐山町,ｱﾗｼﾔﾏﾁｮｳ,6700029,28
飯田,ｲｲﾀﾞ,6700974,28
家島町坊勢,ｲｴｼﾏﾁｮｳﾎﾞｳｾﾞ,6720103,28
家島町真浦,ｲｴｼﾏﾁｮｳﾏｳﾗ,6720101,28
家島町宮,ｲｴｼﾏﾁｮｳﾐﾔ,6720102,28
生野町,ｲｸﾉﾏﾁ,6700007,28
石倉,ｲｼｸﾗ,6712231,28
市川台,ｲﾁｶﾜﾀﾞｲ,6700822,28
市川橋通,ｲﾁｶﾜﾊﾞｼﾄﾞｵﾘ,6700825,28
市之郷町,ｲﾁﾉｺﾞｳﾁｮｳ,6700943,28
伊伝居,ｲﾃﾞｲ,6700871,28
威徳寺町,ｲﾄｸｼﾞﾏﾁ,6700816,28
井ノ口,ｲﾉｸﾞﾁ,6700983,28
今宿,ｲﾏｼﾞｭｸ,6700052,28
岩端町,ｲﾜﾊﾞﾅﾁｮｳ,6700028,28
魚町,ｳｵﾏﾁ,6700905,28
打越,ｳﾁｺｼ,6712246,28
梅ケ枝町,ｳﾒｶﾞｴﾁｮｳ,6700817,28
梅ケ谷町,ｳﾒｶﾞﾀﾆﾁｮｳ,6700894,28
駅前町,ｴｷﾏｴﾁｮｳ,6700927,28
太市中,ｵｵｲﾁﾅｶ,6712233,28
大塩町,ｵｵｼｵﾁｮｳ,6710101,28
大塩町汐咲,ｵｵｼｵﾁｮｳｼｵｻｷ,6710102,28
大塩町宮前,ｵｵｼｵﾁｮｳﾐﾔﾏｴ,6710103,28
大津区恵美酒町,ｵｵﾂｸｴﾋﾞｽﾏﾁ,6711136,28
大津区大津町,ｵｵﾂｸｵｵﾂﾁｮｳ,6711146,28
大津区勘兵衛町,ｵｵﾂｸｶﾝﾍﾞｴﾁｮｳ,6711132,28
大津区北天満町,ｵｵﾂｸｷﾀﾃﾝﾏﾝﾁｮｳ,6711142,28
大津区吉美,ｵｵﾂｸｷﾋﾞ,6711133,28
大津区新町,ｵｵﾂｸｼﾝﾏﾁ,6711135,28
大津区天神町,ｵｵﾂｸﾃﾝｼﾞﾝﾏﾁ,6711131,28
大津区天満,ｵｵﾂｸﾃﾝﾏ,6711143,28
大津区長松,ｵｵﾂｸﾅｶﾞﾏﾂ,6711144,28
大津区西土井,ｵｵﾂｸﾆｼﾄﾞｲ,6711141,28
大津区平松,ｵｵﾂｸﾋﾗﾏﾂ,6711145,28
大津区真砂町,ｵｵﾂｸﾏｻｺﾞﾁｮｳ,6711134,28
大野町,ｵｵﾉﾏﾁ,6700868,28
岡田,ｵｶﾀﾞ,6700982,28
岡町,ｵｶﾏﾁ,6700026,28
奥山,ｵｸﾔﾏ,6728003,28
柿山伏,ｶｷﾔﾏﾌﾞｼ,6700037,28
鍵町,ｶｷﾞﾏﾁ,6700009,28
鍛冶町,ｶｼﾞﾏﾁ,6700002,28
片田町,ｶﾀﾀﾞﾏﾁ,6700045,28
刀出,ｶﾀﾅﾃﾞ,6712241,28
勝原区朝日谷,ｶﾂﾊﾗｸｱｻﾋﾀﾞﾆ,6711204,28
勝原区大谷,ｶﾂﾊﾗｸｵｵﾀﾆ,6711205,28
勝原区勝原町,ｶﾂﾊﾗｸｶﾂﾊﾗﾁｮｳ,6711212,28
勝原区勝山町,ｶﾂﾊﾗｸｶﾂﾔﾏﾁｮｳ,6711202,28
勝原区熊見,ｶﾂﾊﾗｸｸﾏﾐ,6711211,28
勝原区下太田,ｶﾂﾊﾗｸｼﾓｵｵﾀ,6711201,28
勝原区宮田,ｶﾂﾊﾗｸﾐﾔﾀﾞ,6711213,28
勝原区山戸,ｶﾂﾊﾗｸﾔﾏﾄ,6711214,28
勝原区丁,ｶﾂﾊﾗｸﾖﾛ,6711203,28
金屋町,ｶﾅﾔﾏﾁ,6700005,28
兼田,ｶﾈﾀﾞ,6728001,28
上大野,ｶﾐｵｵﾉ,6700896,28
上片町,ｶﾐｶﾀﾏﾁ,6700041,28
上手野,ｶﾐﾃﾉ,6700065,28
神屋町,ｶﾐﾔﾁｮｳ,6700836,28
亀井町,ｶﾒｲﾏﾁ,6700925,28
亀山,ｶﾒﾔﾏ,6700973,28
川西台,ｶﾜﾆｼﾀﾞｲ,6712213,28
川西,ｶﾜﾆｼ,6712212,28
神田町,ｶﾝﾀﾞﾁｮｳ,6700991,28
北今宿,ｷﾀｲﾏｼﾞｭｸ,6700057,28
北新在家,ｷﾀｼﾝｻﾞｲｹ,6700091,28
北原,ｷﾀﾊﾗ,6728002,28
北平野,ｷﾀﾋﾗﾉ,6700893,28
北平野奥垣内,ｷﾀﾋﾗﾉｵｸｶﾞｲﾁ,6700892,28
北平野台町,ｷﾀﾋﾗﾉﾀﾞｲﾁｮｳ,6700895,28
北平野南の町,ｷﾀﾋﾗﾉﾐﾅﾐﾉﾁｮｳ,6700887,28
北八代,ｷﾀﾔｼﾛ,6700877,28
