another_name,another_name_kana,post_id,prefecture_id
,,0000000,13
旭が丘,ｱｻﾋｶﾞｵｶ,1910065,13
新井,ｱﾗｲ,1910022,13
石田,ｲｼﾀﾞ,1910021,13
大坂上,ｵｵｻｶｳｴ,1910061,13
落川,ｵﾁｶﾜ,1910034,13
上田,ｶﾐﾀﾞ,1910014,13
川辺堀之内,ｶﾜﾍﾞﾎﾘﾉｳﾁ,1910015,13
栄町,ｻｶｴﾏﾁ,1910001,13
さくら町,ｻｸﾗﾏﾁ,1910063,13
下田,ｼﾓﾀﾞ,1910023,13
新町,ｼﾝﾏﾁ,1910002,13
神明,ｼﾝﾒｲ,1910016,13
高幡,ﾀｶﾊﾀ,1910031,13
多摩平,ﾀﾏﾀﾞｲﾗ,1910062,13
豊田,ﾄﾖﾀﾞ,0000000,13
豊田大字,ﾄﾖﾀﾞｵｵｱｻﾞ,1910051,13
西平山,ﾆｼﾋﾗﾔﾏ,1910055,13
東豊田,ﾋｶﾞｼﾄﾖﾀﾞ,1910052,13
東平山,ﾋｶﾞｼﾋﾗﾔﾏ,1910054,13
日野,ﾋﾉ,1910012,13
日野台,ﾋﾉﾀﾞｲ,1910003,13
日野本町,ﾋﾉﾎﾝﾏﾁ,1910011,13
平山,ﾋﾗﾔﾏ,1910043,13
富士町,ﾌｼﾞﾏﾁ,1910064,13
程久保,ﾎﾄﾞｸﾎﾞ,1910042,13
万願寺,ﾏﾝｶﾞﾝｼﾞ,1910024,13
三沢,ﾐｻﾜ,1910032,13
南平,ﾐﾅﾐﾀﾞｲﾗ,1910041,13
宮,ﾐﾔ,1910013,13
百草,ﾓｸﾞｻ,1910033,13
