another_name,another_name_kana,post_id,prefecture_id
,,0000000,2
荒田上駒田,ｱﾗﾀｶﾐｺﾏﾀ,0360112,2
荒田北稲村,ｱﾗﾀｷﾀｲﾅﾑﾗ,0360112,2
荒田北岡部,ｱﾗﾀｷﾀｵｶﾍﾞ,0360112,2
荒田下駒田,ｱﾗﾀｼﾓｺﾏﾀ,0360112,2
荒田南稲村,ｱﾗﾀﾐﾅﾐｲﾅﾑﾗ,0360112,2
荒田南岡部,ｱﾗﾀﾐﾅﾐｵｶﾍﾞ,0360112,2
新屋稲村,ｱﾗﾔｲﾅﾑﾗ,0360121,2
新屋長田,ｱﾗﾔｵｻﾀﾞ,0360121,2
新屋栄館,ｱﾗﾔｻｶｴﾀﾞﾃ,0360121,2
新屋滝の沢,ｱﾗﾔﾀｷﾉｻﾜ,0360121,2
新屋富山,ｱﾗﾔﾄﾐﾔﾏ,0360121,2
新屋平岡,ｱﾗﾔﾋﾗｵｶ,0360121,2
新屋平野,ｱﾗﾔﾋﾗﾉ,0360121,2
新屋福嶋,ｱﾗﾔﾌｸｼﾏ,0360121,2
新屋山下,ｱﾗﾔﾔﾏｼﾀ,0360121,2
新屋町上沢田,ｱﾗﾔﾏﾁｶﾐｻﾜﾀﾞ,0360213,2
新屋町北鶉野,ｱﾗﾔﾏﾁｷﾀｳｽﾞﾗﾉ,0360213,2
新屋町下沢田,ｱﾗﾔﾏﾁｼﾓｻﾜﾀﾞ,0360213,2
新屋町田川,ｱﾗﾔﾏﾁﾀｶﾞﾜ,0360213,2
新屋町松居,ｱﾗﾔﾏﾁﾏﾂｲ,0360213,2
新屋町松下,ｱﾗﾔﾏﾁﾏﾂｼﾀ,0360213,2
新屋町松久,ｱﾗﾔﾏﾁﾏﾂﾋｻ,0360213,2
新屋町道ノ下,ｱﾗﾔﾏﾁﾐﾁﾉｼﾀ,0360213,2
新屋町南鶉野,ｱﾗﾔﾏﾁﾐﾅﾐｳｽﾞﾗﾉ,0360213,2
新屋町村元,ｱﾗﾔﾏﾁﾑﾗﾓﾄ,0360213,2
碇ケ関,ｲｶﾘｶﾞｾｷ,0380101,2
碇ケ関相沢,ｲｶﾘｶﾞｾｷｱｲｻﾞﾜ,0380101,2
碇ケ関阿原,ｲｶﾘｶﾞｾｷｱﾊﾞﾗ,0380101,2
碇ケ関雷林,ｲｶﾘｶﾞｾｷｲｶｽﾞﾁﾊﾞﾔｼ,0380101,2
碇ケ関碇石,ｲｶﾘｶﾞｾｷｲｶﾘｲｼ,0380101,2
碇ケ関岩井,ｲｶﾘｶﾞｾｷｲﾜｲ,0380101,2
碇ケ関大葉平,ｲｶﾘｶﾞｾｷｵｵﾊﾞﾀﾞｲﾗ,0380101,2
碇ケ関大落前,ｲｶﾘｶﾞｾｷｵｵﾗｸﾏｴ,0380101,2
碇ケ関折橋,ｲｶﾘｶﾞｾｷｵﾘﾊｼ,0380101,2
碇ケ関鯨森,ｲｶﾘｶﾞｾｷｸｼﾞﾗﾓﾘ,0380101,2
碇ケ関小落前,ｲｶﾘｶﾞｾｷｺﾗｸﾏｴ,0380101,2
碇ケ関山神堂,ｲｶﾘｶﾞｾｷｻﾝｼﾞﾝﾄﾞｳ,0380101,2
碇ケ関白沢,ｲｶﾘｶﾞｾｷｼﾗｻﾜ,0380101,2
碇ケ関諏訪平,ｲｶﾘｶﾞｾｷｽﾜﾀﾞｲﾗ,0380101,2
碇ケ関外白沢,ｲｶﾘｶﾞｾｷｿﾄｼﾗｻﾜ,0380101,2
碇ケ関高田,ｲｶﾘｶﾞｾｷﾀｶﾀﾞ,0380101,2
碇ケ関樋ケ沢,ｲｶﾘｶﾞｾｷﾄｲｶﾞｻﾜ,0380101,2
碇ケ関西碇ケ関山,ｲｶﾘｶﾞｾｷﾆｼｲｶﾘｶﾞｾｷﾔﾏ,0380101,2
碇ケ関東碇ケ関山,ｲｶﾘｶﾞｾｷﾋｶﾞｼｲｶﾘｶﾞｾｷﾔﾏ,0380101,2
碇ケ関樋ノ口,ｲｶﾘｶﾞｾｷﾋﾉｸﾁ,0380101,2
碇ケ関船岡,ｲｶﾘｶﾞｾｷﾌﾅｵｶ,0380101,2
碇ケ関踏田切,ｲｶﾘｶﾞｾｷﾌﾐﾀｷﾞﾘ,0380101,2
碇ケ関三笠山,ｲｶﾘｶﾞｾｷﾐｶｻﾔﾏ,0380101,2
碇ケ関水溜,ｲｶﾘｶﾞｾｷﾐｽﾞﾀﾒ,0380101,2
碇ケ関湯向川添,ｲｶﾘｶﾞｾｷﾕﾑｶｲｶﾜｿﾞｴ,0380101,2
碇ケ関横町,ｲｶﾘｶﾞｾｷﾖｺﾏﾁ,0380101,2
碇ケ関古懸上程森,ｲｶﾘｶﾞｾｷｺｶﾞｹｶﾐﾎﾄﾞﾓﾘ,0380102,2
