another_name,another_name_kana,post_id,prefecture_id
,,0000000,1
相川,ｱｲｶﾜ,0892262,1
暁町,ｱｶﾂｷﾁｮｳ,0892145,1
旭浜,ｱｻﾋﾊﾏ,0892121,1
石坂,ｲｼｻﾞｶ,0892125,1
尾田,ｵﾀﾞ,0892261,1
開進,ｶｲｼﾝ,0892126,1
鏡町,ｶｶﾞﾐﾁｮｳ,0892147,1
柏木町,ｶｼﾜｷﾞﾁｮｳ,0892138,1
上大樹,ｶﾐﾀｲｷ,0892103,1
上中島,ｶﾐﾅｶｼﾞﾏ,0892123,1
上萠和,ｶﾐﾓｲﾜ,0892111,1
北通,ｷﾀﾄﾞｵﾘ,0892137,1
高校通,ｺｳｺｳﾄﾞｵﾘ,0892151,1
更生,ｺｳｾｲ,0892117,1
光地園,ｺｳﾁｴﾝ,0892271,1
幸徳,ｺｳﾄｸ,0892272,1
寿通,ｺﾄﾌﾞｷﾄﾞｵﾘ,0892146,1
幸町,ｻｲﾜｲﾁｮｳ,0892154,1
栄通,ｻｶｴﾄﾞｵﾘ,0892140,1
下大樹,ｼﾓﾀｲｷ,0892106,1
下芽武,ｼﾓﾒﾑ,0892114,1
新通,ｼﾝﾄﾞｵﾘ,0892136,1
住吉,ｽﾐﾖｼ,0892272,1
生花,ｾｲｶ,0891881,1
大樹,ﾀｲｷ,0892105,1
大光,ﾀｲｺｳ,0892273,1
大全,ﾀｲｾﾞﾝ,0892273,1
拓進,ﾀｸｼﾝ,0892263,1
拓北,ﾀｸﾎｸ,0892261,1
東和,ﾄｳﾜ,0892101,1
豊里,ﾄﾖｻﾄ,0892261,1
中島,ﾅｶｼﾞﾏ,0892122,1
中大樹,ﾅｶﾀｲｷ,0892104,1
仲通,ﾅｶﾄﾞｵﾘ,0892133,1
西本通,ﾆｼﾎﾝﾄﾞｵﾘ,0892152,1
浜大樹,ﾊﾏﾀｲｷ,0892116,1
晩成,ﾊﾞﾝｾｲ,0891882,1
東本通,ﾋｶﾞｼﾎﾝﾄﾞｵﾘ,0892134,1
日方,ﾋｶﾀ,0892124,1
美成,ﾋﾞｾｲ,0892115,1
双葉町,ﾌﾀﾊﾞﾁｮｳ,0892132,1
振別,ﾌﾙﾍﾞﾂ,0892127,1
松山,ﾏﾂﾔﾏ,0892107,1
松山町,ﾏﾂﾔﾏﾁｮｳ,0892131,1
麻友,ﾏﾕｳ,0892148,1
緑町,ﾐﾄﾞﾘﾁｮｳ,0892155,1
南通,ﾐﾅﾐﾄﾞｵﾘ,0892135,1
南町,ﾐﾅﾐﾏﾁ,0892153,1
芽武,ﾒﾑ,0892113,1
萠和,ﾓｲﾜ,0892112,1
大和,ﾔﾏﾄ,0892102,1
緑苑,ﾛｸｴﾝ,0892156,1
一条通,1ｼﾞｮｳﾄﾞｵﾘ,0892141,1
二条通,2ｼﾞｮｳﾄﾞｵﾘ,0892142,1
三条通,3ｼﾞｮｳﾄﾞｵﾘ,0892143,1
