another_name,another_name_kana,post_id,prefecture_id
,,0000000,11
朝日町,ｱｻﾋﾁｮｳ,3670026,11
新井,ｱﾗｲ,3670075,11
五十子,ｲｶｯｺ,3670027,11
今井,ｲﾏｲ,3670036,11
いまい台,ｲﾏｲﾀﾞｲ,3670038,11
鵜森,ｳﾉﾓﾘ,3670016,11
駅南,ｴｷﾅﾝ,3670041,11
小島,ｵｼﾞﾏ,3670061,11
小島南,ｵｼﾞﾏﾐﾅﾐ,3670062,11
柏,ｶｼﾜ,3670045,11
上仁手,ｶﾐﾆｯﾃ,3670007,11
北堀,ｷﾀﾎﾞﾘ,3670031,11
共栄,ｷｮｳｴｲ,3670037,11
銀座,ｷﾞﾝｻﾞ,3670052,11
久々宇,ｸｸﾞｳ,3670005,11
栗崎,ｸﾘｻﾞｷ,3670032,11
けや木,ｹﾔｷ,3670042,11
見福,ｹﾝﾌﾟｸ,3670044,11
児玉町秋山,ｺﾀﾞﾏﾁｮｳｱｷﾔﾏ,3670213,11
児玉町飯倉,ｺﾀﾞﾏﾁｮｳｲｲｸﾞﾗ,3670225,11
児玉町稲沢,ｺﾀﾞﾏﾁｮｳｲﾅｻﾞﾜ,3670251,11
児玉町入浅見,ｺﾀﾞﾏﾁｮｳｲﾘｱｻﾞﾐ,3670203,11
児玉町太駄,ｺﾀﾞﾏﾁｮｳｵｵﾀﾞ,3670254,11
児玉町金屋,ｺﾀﾞﾏﾁｮｳｶﾅﾔ,3670216,11
児玉町上真下,ｺﾀﾞﾏﾁｮｳｶﾐﾏｼﾓ,3670205,11
児玉町吉田林,ｺﾀﾞﾏﾁｮｳｷﾀﾊﾞﾔｼ,3670211,11
児玉町共栄,ｺﾀﾞﾏﾁｮｳｷｮｳｴｲ,3670206,11
児玉町元田,ｺﾀﾞﾏﾁｮｳｹﾞﾝﾀﾞ,3670252,11
児玉町河内,ｺﾀﾞﾏﾁｮｳｺｳﾁ,3670253,11
児玉町小平,ｺﾀﾞﾏﾁｮｳｺﾀﾞｲﾗ,3670214,11
児玉町児玉,ｺﾀﾞﾏﾁｮｳｺﾀﾞﾏ,3670212,11
児玉町児玉南,ｺﾀﾞﾏﾁｮｳｺﾀﾞﾏﾐﾅﾐ,3670218,11
児玉町塩谷,ｺﾀﾞﾏﾁｮｳｼｵﾔ,3670223,11
児玉町下浅見,ｺﾀﾞﾏﾁｮｳｼﾓｱｻﾞﾐ,3670202,11
児玉町下真下,ｺﾀﾞﾏﾁｮｳｼﾓﾏｼﾓ,3670207,11
児玉町高関,ｺﾀﾞﾏﾁｮｳﾀｶｾﾞｷ,3670201,11
児玉町高柳,ｺﾀﾞﾏﾁｮｳﾀｶﾔﾅｷﾞ,3670224,11
児玉町田端,ｺﾀﾞﾏﾁｮｳﾀﾊﾞﾀ,3670222,11
児玉町長沖,ｺﾀﾞﾏﾁｮｳﾅｶﾞｵｷ,3670215,11
児玉町八幡山,ｺﾀﾞﾏﾁｮｳﾊﾁﾏﾝﾔﾏ,3670217,11
児玉町蛭川,ｺﾀﾞﾏﾁｮｳﾋﾙｶﾞﾜ,3670204,11
児玉町保木野,ｺﾀﾞﾏﾁｮｳﾎｷﾉ,3670221,11
児玉町宮内,ｺﾀﾞﾏﾁｮｳﾐﾔｳﾁ,3670226,11
寿,ｺﾄﾌﾞｷ,3670023,11
小和瀬,ｺﾜｾﾞ,3670011,11
栄,ｻｶｴ,3670046,11
山王堂,ｻﾝﾉｳﾄﾞｳ,3670071,11
四季の里,ｼｷﾉｻﾄ,3670039,11
四方田,ｼﾎｳﾃﾞﾝ,3670034,11
下仁手,ｼﾓﾆﾂﾃ,3670001,11
下野堂,ｼﾓﾉﾄﾞｳ,3670063,11
杉山,ｽｷﾞﾔﾏ,3670074,11
諏訪町,ｽﾜﾁｮｳ,3670018,11
台町,ﾀﾞｲﾏﾁ,3670003,11
滝瀬,ﾀｷｾ,3670013,11
田中,ﾀﾅｶ,3670006,11
中央,ﾁｭｳｵｳ,3670053,11
千代田,ﾁﾖﾀﾞ,3670054,11
照若町,ﾃﾙﾜｶﾁｮｳ,3670056,11
西五十子,ﾆｼｲｶﾂｺ,3670025,11
西富田,ﾆｼﾄﾐﾀﾞ,3670035,11
仁手,ﾆｯﾃ,3670002,11
沼和田,ﾇﾏﾜﾀﾞ,3670072,11
東五十子,ﾋｶﾞｼｲｶﾂｺ,3670024,11
東台,ﾋｶﾞｼﾀﾞｲ,3670021,11
東富田,ﾋｶﾞｼﾄﾐﾀﾞ,3670033,11
日の出,ﾋﾉﾃﾞ,3670022,11
傍示堂,ﾎｳｼﾞﾄﾞｳ,3670017,11
堀田,ﾎｯﾀ,3670014,11
本庄,ﾎﾝｼﾞｮｳ,3670051,11
前原,ﾏｴﾊﾗ,3670047,11
万年寺,ﾏﾝﾈﾝｼﾞ,3670064,11
緑,ﾐﾄﾞﾘ,3670043,11
南,ﾐﾅﾐ,3670048,11
都島,ﾐﾔｺｼﾞﾏ,3670073,11
宮戸,ﾐﾔﾄﾞ,3670012,11
牧西,ﾓｸｻｲ,3670015,11
本町,ﾓﾄﾏﾁ,3670004,11
若泉,ﾜｶｲｽﾞﾐ,3670055,11
早稲田の杜,ﾜｾﾀﾞﾉﾓﾘ,3670030,11
