another_name,another_name_kana,post_id,prefecture_id
,,0000000,46
池田,ｲｹﾀﾞ,8910312,46
岩本,ｲﾜﾓﾄ,8910315,46
大牟礼,ｵｵﾑﾚ,8910401,46
開聞上野,ｶｲﾓﾝｳｴﾉ,8910601,46
開聞川尻,ｶｲﾓﾝｶﾜｼﾘ,8910602,46
開聞十町,ｶｲﾓﾝｼﾞｭｯﾁｮｳ,8910603,46
開聞仙田,ｶｲﾓﾝｾﾝﾀ,8910604,46
小牧,ｺﾏｷ,8910314,46
十二町,ｼﾞｭｳﾆﾁｮｳ,8910403,46
十町,ｼﾞｭｯﾁｮｳ,8910402,46
新西方,ｼﾝﾆｼｶﾀ,8910313,46
西方,ﾆｼｶﾀ,8910311,46
東方,ﾋｶﾞｼｶﾀ,0000000,46
湊,ﾐﾅﾄ,8910405,46
山川朝日町,ﾔﾏｶﾞﾜｱｻﾋﾁｮｳ,8910502,46
山川入船町,ﾔﾏｶﾞﾜｲﾘﾌﾈﾁｮｳ,8910507,46
山川大山,ﾔﾏｶﾞﾜｵｵﾔﾏ,0000000,46
山川岡児ケ水,ﾔﾏｶﾞﾜｵｶﾁﾖｶﾞﾐｽﾞ,8910513,46
山川小川,ﾔﾏｶﾞﾜｵｶﾞﾜ,8910515,46
山川金生町,ﾔﾏｶﾞﾜｷﾝｾｲﾁｮｳ,8910506,46
山川潮見町,ﾔﾏｶﾞﾜｼｵﾐﾁｮｳ,8910503,46
山川新栄町,ﾔﾏｶﾞﾜｼﾝｴｲﾁｮｳ,8910501,46
山川新生町,ﾔﾏｶﾞﾜｼﾝｾｲﾁｮｳ,8910504,46
山川利永,ﾔﾏｶﾞﾜﾄｼﾅｶﾞ,8910621,46
山川成川,ﾔﾏｶﾞﾜﾅﾘｶﾜ,8910516,46
山川浜児ケ水,ﾔﾏｶﾞﾜﾊﾏﾁﾖｶﾞﾐｽﾞ,8910512,46
山川福元,ﾔﾏｶﾞﾜﾌｸﾓﾄ,8910511,46
山川山下町,ﾔﾏｶﾞﾜﾔﾏｼﾀﾁｮｳ,8910505,46
湯の浜,ﾕﾉﾊﾏ,8910406,46
