another_name,another_name_kana,post_id,prefecture_id
,,0000000,23
相生,ｱｲｵｲ,4910882,23
赤見,ｱｶﾐ,4910023,23
浅野,ｱｻﾉ,4910871,23
朝日,ｱｻﾋ,4910028,23
浅井町江森,ｱｻﾞｲﾁｮｳｴﾓﾘ,4910114,23
浅井町大野,ｱｻﾞｲﾁｮｳｵｵﾉ,4910143,23
浅井町大日比野,ｱｻﾞｲﾁｮｳｵｵﾋﾋﾞﾉ,4910105,23
浅井町尾関,ｱｻﾞｲﾁｮｳｵｾﾞｷ,0000000,23
浅井町尾関長田,ｱｻﾞｲﾁｮｳｵｾﾞｷﾅｶﾞﾀ,4910102,23
浅井町黒岩,ｱｻﾞｲﾁｮｳｸﾛｲﾜ,4910141,23
浅井町河田,ｱｻﾞｲﾁｮｳｺｳﾀﾞ,4910142,23
浅井町河端,ｱｻﾞｲﾁｮｳｺｳﾊﾞﾀ,4910111,23
浅井町小日比野,ｱｻﾞｲﾁｮｳｺﾋﾋﾞﾉ,4910104,23
浅井町極楽寺,ｱｻﾞｲﾁｮｳｺﾞｸﾗｸｼﾞ,4910144,23
浅井町東浅井,ｱｻﾞｲﾁｮｳﾋｶﾞｼｱｻﾞｲ,4910112,23
浅井町西浅井,ｱｻﾞｲﾁｮｳﾆｼｱｻﾞｲ,4910113,23
浅井町西海戸,ｱｻﾞｲﾁｮｳﾆｼｶﾞｲﾄﾞ,4910115,23
浅井町前野,ｱｻﾞｲﾁｮｳﾏｴﾉ,4910103,23
あずら,ｱｽﾞﾗ,4910835,23
一色町,ｲｼｷﾁｮｳ,4910902,23
石山町,ｲｼﾔﾏﾁｮｳ,4910855,23
泉,ｲｽﾞﾐ,4910861,23
一宮,ｲﾁﾉﾐﾔ,4910059,23
乾町,ｲﾇｲﾁｮｳ,4910061,23
今伊勢町馬寄,ｲﾏｲｾﾁｮｳｳﾏﾖｾ,0000000,23
今伊勢町馬寄舟入,ｲﾏｲｾﾁｮｳｳﾏﾖｾﾌﾅｲﾘ,4910058,23
今伊勢町新神戸,ｲﾏｲｾﾁｮｳｼﾝｶﾝﾍﾞ,4910052,23
今伊勢町本神戸,ｲﾏｲｾﾁｮｳﾎﾝｶﾝﾍﾞ,4910053,23
今伊勢町宮後,ｲﾏｲｾﾁｮｳﾐﾔｳｼﾛ,4910057,23
印田通,ｲﾝﾃﾞﾝﾄﾞｵﾘ,4910865,23
牛野通,ｳｼﾉﾄﾞｵﾘ,4910846,23
大赤見,ｵｵｱｶﾐ,4910015,23
大江,ｵｵｴ,4910851,23
大毛,ｵｵｹ,4910132,23
大浜,ｵｵﾊﾏ,4910035,23
大宮,ｵｵﾐﾔ,4910044,23
奥町,ｵｸﾁｮｳ,4910201,23
小栗町,ｵｸﾞﾘﾁｮｳ,4910068,23
起,ｵｺｼ,4940006,23
音羽,ｵﾄﾜ,4910045,23
小原町,ｵﾊﾗﾁｮｳ,4910082,23
開明,ｶｲﾒｲ,4940001,23
篭屋,ｶｺﾞﾔ,4940002,23
上祖父江,ｶﾐｿﾌﾞｴ,4940014,23
神山,ｶﾐﾔﾏ,4910904,23
苅安賀,ｶﾘﾔｽｶ,4910933,23
川田町,ｶﾜﾀﾞﾁｮｳ,4910853,23
観音寺,ｶﾝﾉﾝｼﾞ,4910916,23
観音町,ｶﾝﾉﾝﾁｮｳ,4910031,23
神戸町,ｶﾝﾍﾞﾁｮｳ,4910055,23
木曽川町内割田,ｷｿｶﾞﾜﾁｮｳｳﾁﾜﾘﾃﾞﾝ,4930006,23
木曽川町門間,ｷｿｶﾞﾜﾁｮｳｶﾄﾞﾏ,4930002,23
木曽川町黒田,ｷｿｶﾞﾜﾁｮｳｸﾛﾀﾞ,4930001,23
木曽川町里小牧,ｷｿｶﾞﾜﾁｮｳｻﾄｺﾏｷ,4930005,23
木曽川町外割田,ｷｿｶﾞﾜﾁｮｳｿﾄﾜﾘﾃﾞﾝ,4930007,23
木曽川町玉ノ井,ｷｿｶﾞﾜﾁｮｳﾀﾏﾉｲ,4930004,23
木曽川町三ツ法寺,ｷｿｶﾞﾜﾁｮｳﾐﾂﾎｳｼﾞ,4930003,23
北今,ｷﾀｲﾏ,4940004,23
北浦町,ｷﾀｳﾗﾁｮｳ,4910901,23
北小渕,ｷﾀｵﾌﾞﾁ,4910013,23
北方町北方,ｷﾀｶﾞﾀﾁｮｳｷﾀｶﾞﾀ,4938001,23
北方町曽根,ｷﾀｶﾞﾀﾁｮｳｿﾈ,4938002,23
