another_name,another_name_kana,post_id,prefecture_id
,,0000000,33
青野町,ｱｵﾉﾁｮｳ,7150012,33
井原町,ｲﾊﾞﾗﾁｮｳ,7150019,33
岩倉町,ｲﾜｸﾗﾁｮｳ,7150016,33
大江町,ｵｵｴﾁｮｳ,7150023,33
上出部町,ｶﾐｲｽﾞｴﾁｮｳ,7150021,33
上出部町四季が丘,ｶﾐｲｽﾞｴﾁｮｳｼｷｶﾞｵｶ,7150026,33
上稲木町,ｶﾐｲﾅｷﾞﾁｮｳ,7150018,33
北山町,ｷﾀﾔﾏﾁｮｳ,7150013,33
木之子町,ｷﾉｺﾁｮｳ,7150004,33
神代町,ｺｳｼﾞﾛﾁｮｳ,7150002,33
笹賀町,ｻｻｶﾁｮｳ,7150025,33
下出部町,ｼﾓｲｽﾞｴﾁｮｳ,7150022,33
下稲木町,ｼﾓｲﾅｷﾞﾁｮｳ,7150017,33
高屋町,ﾀｶﾔﾁｮｳ,7150024,33
七日市町,ﾅﾇｶｲﾁﾁｮｳ,7150014,33
西江原町,ﾆｼｴﾊﾞﾗﾁｮｳ,7150006,33
西方町,ﾆｼｶﾞﾀﾁｮｳ,7150015,33
野上町,ﾉｶﾞﾐﾁｮｳ,7150001,33
稗原町,ﾋｴﾊﾗﾁｮｳ,7150011,33
東江原町,ﾋｶﾞｼｴﾊﾞﾗﾁｮｳ,7150003,33
美星町宇戸,ﾋﾞｾｲﾁｮｳｳﾄ,7141405,33
美星町烏頭,ﾋﾞｾｲﾁｮｳｳﾄｳ,7141404,33
美星町宇戸谷,ﾋﾞｾｲﾁｮｳｳﾄﾀﾞﾆ,7141402,33
美星町大倉,ﾋﾞｾｲﾁｮｳｵｵｸﾗ,7141411,33
美星町上高末,ﾋﾞｾｲﾁｮｳｶﾐｺｳｽﾞｴ,7141403,33
美星町黒木,ﾋﾞｾｲﾁｮｳｸﾛｷﾞ,7141414,33
美星町黒忠,ﾋﾞｾｲﾁｮｳｸﾛﾀﾀﾞ,7141407,33
美星町西水砂,ﾋﾞｾｲﾁｮｳﾆｼﾐｽﾞｽﾅ,7141413,33
美星町東水砂,ﾋﾞｾｲﾁｮｳﾋｶﾞｼﾐｽﾞｽﾅ,7141412,33
美星町星田,ﾋﾞｾｲﾁｮｳﾎｼﾀﾞ,7141415,33
美星町三山,ﾋﾞｾｲﾁｮｳﾐﾔﾏ,7141406,33
美星町明治,ﾋﾞｾｲﾁｮｳﾒｲｼﾞ,7141401,33
門田町,ﾓﾝﾃﾞﾝﾁｮｳ,7150005,33
芳井町池谷,ﾖｼｲﾁｮｳｲｹﾀﾞﾆ,7142125,33
芳井町井山,ﾖｼｲﾁｮｳｲﾔﾏ,7142124,33
芳井町宇戸川,ﾖｼｲﾁｮｳｳﾄｶﾞﾜ,7142103,33
芳井町梶江,ﾖｼｲﾁｮｳｶｼﾞｴ,7142101,33
芳井町片塚,ﾖｼｲﾁｮｳｶﾀﾂﾞｶ,7142123,33
芳井町上鴫,ﾖｼｲﾁｮｳｶﾐｼｷﾞ,7142232,33
芳井町川相,ﾖｼｲﾁｮｳｶﾜｲ,7142114,33
芳井町佐屋,ﾖｼｲﾁｮｳｻﾔ,7142121,33
芳井町下鴫,ﾖｼｲﾁｮｳｼﾓｼｷﾞ,7142231,33
芳井町種,ﾖｼｲﾁｮｳﾀﾈ,7142122,33
芳井町天神山,ﾖｼｲﾁｮｳﾃﾝｼﾞﾝﾔﾏ,7142113,33
芳井町西三原,ﾖｼｲﾁｮｳﾆｼﾐﾊﾗ,7142234,33
芳井町花滝,ﾖｼｲﾁｮｳﾊﾅﾀﾞｷ,7142104,33
芳井町東三原,ﾖｼｲﾁｮｳﾋｶﾞｼﾐﾊﾗ,7142341,33
芳井町簗瀬,ﾖｼｲﾁｮｳﾔﾅｾ,7142112,33
芳井町山村,ﾖｼｲﾁｮｳﾔﾏﾑﾗ,7142233,33
芳井町与井,ﾖｼｲﾁｮｳﾖｲ,7142102,33
芳井町吉井,ﾖｼｲﾁｮｳﾖｼｲ,7142111,33
