another_name,another_name_kana,post_id,prefecture_id
,,0000000,29
櫟原,ｲﾁﾊﾗ,6360944,29
春日丘,ｶｽｶﾞｵｶ,6360915,29
上庄,ｶﾐｼｮｳ,6360905,29
菊美台,ｷｸﾐﾀﾞｲ,6360906,29
北信貴ケ丘,ｷﾀｼｷﾞｶﾞｵｶ,6360913,29
久安寺,ｷｭｳｱﾝｼﾞ,6360924,29
越木塚,ｺｼｷﾂﾞｶ,6360925,29
信貴山,ｼｷﾞｻﾝ,6360923,29
信貴畑,ｼｷﾞﾊﾀ,6360922,29
椣原,ｼﾃﾞﾊﾗ,6360901,29
下垣内,ｼﾓｶﾞｲﾄ,6360933,29
白石畑,ｼﾗｲｼﾊﾞﾀ,6360902,29
竜田川,ﾀﾂﾀｶﾞﾜ,6360912,29
椿井,ﾂﾊﾞｲ,6360911,29
椿台,ﾂﾊﾞｷﾀﾞｲ,6360943,29
梨本,ﾅｼﾓﾄ,6360931,29
鳴川,ﾅﾙｶﾜ,6360945,29
西宮,ﾆｼﾉﾐﾔ,6360914,29
西向,ﾆｼﾑｶｲ,6360942,29
初香台,ﾊﾂｶﾀﾞｲ,6360934,29
光ケ丘,ﾋｶﾘｶﾞｵｶ,6360935,29
平等寺,ﾋﾞｮｳﾄﾞｳｼﾞ,6360903,29
福貴,ﾌｷ,6360936,29
福貴畑,ﾌｷﾊﾀ,6360937,29
椹原,ﾌｼﾊﾗ,6360921,29
三里,ﾐｻﾄ,6360904,29
緑ケ丘,ﾐﾄﾞﾘｶﾞｵｶ,6360941,29
吉新,ﾖｼｼﾝ,6360932,29
若井,ﾜｶｲ,6360916,29
若葉台,ﾜｶﾊﾞﾀﾞｲ,6360938,29
