another_name,another_name_kana,post_id,prefecture_id
,,0000000,29
青山台,ｱｵﾔﾏﾀﾞｲ,6300239,29
あすか台,ｱｽｶﾀﾞｲ,6300132,29
あすか野南,ｱｽｶﾉﾐﾅﾐ,6300133,29
あすか野北,ｱｽｶﾉｷﾀ,6300134,29
有里町,ｱﾘｻﾄﾁｮｳ,6300233,29
生駒台南,ｲｺﾏﾀﾞｲﾐﾅﾐ,6300202,29
生駒台北,ｲｺﾏﾀﾞｲｷﾀ,6300203,29
壱分町,ｲﾁﾌﾞﾁｮｳ,6300222,29
小倉寺町,ｵｸﾞﾗｼﾞﾁｮｳ,6300232,29
小瀬町,ｵｾﾞﾁｮｳ,6300223,29
乙田町,ｵﾄﾀﾞﾁｮｳ,6300227,29
鬼取町,ｵﾆﾄﾘﾁｮｳ,6300237,29
上町,ｶﾐﾏﾁ,6300131,29
上町台,ｶﾐﾏﾁﾀﾞｲ,6300138,29
軽井沢町,ｶﾙｲｻﾞﾜﾁｮｳ,6300265,29
北新町,ｷﾀｼﾝﾏﾁ,6300245,29
北田原町,ｷﾀﾀﾊﾗﾁｮｳ,6300142,29
北大和,ｷﾀﾔﾏﾄ,6300121,29
喜里が丘,ｷﾘｶﾞｵｶ,6300248,29
小明町,ｺｳﾐｮｳﾁｮｳ,6300201,29
光陽台,ｺｳﾖｳﾀﾞｲ,6300247,29
小平尾町,ｺﾋﾞﾗｵﾁｮｳ,6300226,29
桜ケ丘,ｻｸﾗｶﾞｵｶ,6300211,29
さつき台,ｻﾂｷﾀﾞｲ,6300221,29
鹿ノ台東,ｼｶﾉﾀﾞｲﾋｶﾞｼ,6300112,29
鹿ノ台西,ｼｶﾉﾀﾞｲﾆｼ,6300114,29
鹿ノ台南,ｼｶﾉﾀﾞｲﾐﾅﾐ,6300113,29
鹿ノ台北,ｼｶﾉﾀﾞｲｷﾀ,6300111,29
鹿畑町,ｼｶﾊﾀﾁｮｳ,6300115,29
白庭台,ｼﾗﾆﾜﾀﾞｲ,6300136,29
新旭ケ丘,ｼﾝｱｻﾋｶﾞｵｶ,6300253,29
新生駒台,ｼﾝｲｺﾏﾀﾞｲ,6300242,29
翠光台,ｽｲｺｳﾀﾞｲ,6300229,29
大門町,ﾀﾞｲﾓﾝﾁｮｳ,6300238,29
高山町,ﾀｶﾔﾏﾁｮｳ,6300101,29
谷田町,ﾀﾆﾀﾞﾁｮｳ,6300251,29
俵口町,ﾀﾜﾗｸﾞﾁﾁｮｳ,6300243,29
辻町,ﾂｼﾞﾏﾁ,6300212,29
中菜畑,ﾅｶﾅﾊﾞﾀ,6300263,29
仲之町,ﾅｶﾉﾁｮｳ,6300267,29
菜畑町,ﾅﾊﾞﾀﾁｮｳ,6300231,29
西旭ケ丘,ﾆｼｱｻﾋｶﾞｵｶ,6300261,29
西白庭台,ﾆｼｼﾗﾆﾜﾀﾞｲ,6300137,29
西菜畑町,ﾆｼﾅﾊﾞﾀﾁｮｳ,6300264,29
西畑町,ﾆｼﾊﾀﾁｮｳ,6300236,29
西松ケ丘,ﾆｼﾏﾂｶﾞｵｶ,6300246,29
萩の台,ﾊｷﾞﾉﾀﾞｲ,6300224,29
萩原町,ﾊｷﾞﾊﾗﾁｮｳ,6300234,29
ひかりが丘,ﾋｶﾘｶﾞｵｶ,6300141,29
東旭ケ丘,ﾋｶﾞｼｱｻﾋｶﾞｵｶ,6300254,29
東生駒,ﾋｶﾞｼｲｺﾏ,6300213,29
東生駒月見町,ﾋｶﾞｼｲｺﾏﾂｷﾐﾁｮｳ,6300214,29
東新町,ﾋｶﾞｼｼﾝﾏﾁ,6300258,29
東菜畑,ﾋｶﾞｼﾅﾊﾞﾀ,6300215,29
東松ケ丘,ﾋｶﾞｼﾏﾂｶﾞｵｶ,6300244,29
東山町,ﾋｶﾞｼﾔﾏﾁｮｳ,6300225,29
藤尾町,ﾌｼﾞｵﾁｮｳ,6300235,29
本町,ﾎﾝﾏﾁ,6300256,29
松美台,ﾏﾂﾐﾀﾞｲ,6300241,29
真弓,ﾏﾕﾐ,6300122,29
真弓南,ﾏﾕﾐﾐﾅﾐ,6300123,29
美鹿の台,ﾐｶﾉﾀﾞｲ,6300116,29
緑ケ丘,ﾐﾄﾞﾘｶﾞｵｶ,6300262,29
南田原町,ﾐﾅﾐﾀﾜﾗﾁｮｳ,6300135,29
南山手台,ﾐﾅﾐﾔﾏﾃﾀﾞｲ,6300228,29
元町,ﾓﾄﾏﾁ,6300257,29
門前町,ﾓﾝｾﾞﾝﾁｮｳ,6300266,29
山崎新町,ﾔﾏｻｷｼﾝﾏﾁ,6300255,29
山崎町,ﾔﾏｻｷﾁｮｳ,6300252,29
