another_name,another_name_kana,post_id,prefecture_id
,,0000000,18
安善寺,ｱﾝｾﾞﾝｼﾞ,9102504,18
池田,ｲｹﾀﾞ,9102515,18
板垣,ｲﾀｶﾞｷ,9102527,18
市,ｲﾁ,9102525,18
稲荷,ｲﾅﾘ,9102512,18
魚見,ｳｵﾐ,9102534,18
大本,ｵｵﾓﾄ,9102552,18
尾緩,ｵﾀﾞﾙﾐ,9102551,18
小畑,ｵﾊﾞﾀｹ,9102557,18
柿ケ原,ｶｷｶﾞﾊﾗ,9102508,18
学園,ｶﾞｸｴﾝ,9102514,18
籠掛,ｶｺﾞｶｹ,9102553,18
金見谷,ｶﾅﾐﾀﾞﾆ,9102554,18
上荒谷,ｶﾐｱﾗﾀﾆ,9102526,18
河内,ｺｳﾁ,9102523,18
定方,ｻﾀﾞｶﾀ,9102537,18
志津原,ｼﾂﾞﾊﾗ,9102523,18
清水谷,ｼﾐｽﾞﾀﾆ,9102507,18
白粟,ｼﾗﾜ,9102556,18
新保,ｼﾝﾎﾞ,9102532,18
菅生,ｽｺﾞｳ,9102535,18
谷口,ﾀﾆｸﾞﾁ,9102503,18
千代谷,ﾁﾖﾀﾞﾆ,9102555,18
月ケ瀬,ﾂｷｶﾞｾ,9102522,18
常安,ﾂﾈﾔｽ,9102521,18
寺島,ﾃﾗｼﾞﾏ,9102513,18
寺谷,ﾃﾗﾀﾞﾆ,9102517,18
土合皿尾,ﾄﾞｱｲｻﾗｵ,9102524,18
西角間,ﾆｼｶｸﾏ,9102536,18
野尻,ﾉｼﾞﾘ,9102502,18
東角間,ﾋｶﾞｼｶｸﾏ,9102531,18
東俣,ﾋｶﾞｼﾏﾀ,9102533,18
広瀬,ﾋﾛｾ,9102506,18
松ケ谷,ﾏﾂｶﾞﾀﾆ,9102556,18
水海,ﾐｽﾞｳﾐ,9102505,18
持越,ﾓﾁｺｼ,9102501,18
薮田,ﾔﾌﾞﾀ,9102511,18
山田,ﾔﾏﾀﾞ,9102516,18
