another_name,another_name_kana,post_id,prefecture_id
,,0000000,24
員弁町石仏,ｲﾅﾍﾞﾁｮｳｲｼﾎﾞﾄｹ,5110204,24
員弁町市之原,ｲﾅﾍﾞﾁｮｳｲﾁﾉﾊﾗ,5110201,24
員弁町宇野,ｲﾅﾍﾞﾁｮｳｳﾉ,5110206,24
員弁町大泉,ｲﾅﾍﾞﾁｮｳｵｵｲｽﾞﾐ,5110224,24
員弁町大泉新田,ｲﾅﾍﾞﾁｮｳｵｵｲｽﾞﾐｼﾝﾃﾞﾝ,5110217,24
員弁町岡丁田,ｲﾅﾍﾞﾁｮｳｵｶﾁｮｳﾀﾞ,5110214,24
員弁町笠田新田,ｲﾅﾍﾞﾁｮｳｶｻﾀﾞｼﾝﾃﾞﾝ,5110205,24
員弁町上笠田,ｲﾅﾍﾞﾁｮｳｶﾐｶｻﾀﾞ,5110207,24
員弁町北金井,ｲﾅﾍﾞﾁｮｳｷﾀｶﾅｲ,5110223,24
員弁町暮明,ｲﾅﾍﾞﾁｮｳｸﾗｶﾞﾘ,5110213,24
員弁町下笠田,ｲﾅﾍﾞﾁｮｳｼﾓｶｻﾀﾞ,5110221,24
員弁町楚原,ｲﾅﾍﾞﾁｮｳｿﾊﾗ,5110202,24
員弁町西方,ｲﾅﾍﾞﾁｮｳﾆｼｶﾞﾀ,5110225,24
員弁町畑新田,ｲﾅﾍﾞﾁｮｳﾊﾀｼﾝﾃﾞﾝ,5110203,24
員弁町坂東新田,ｲﾅﾍﾞﾁｮｳﾊﾞﾝﾄﾞｳｼﾝﾃﾞﾝ,5110208,24
員弁町東一色,ｲﾅﾍﾞﾁｮｳﾋｶﾞｼｲｯｼｷ,5110215,24
員弁町平古,ｲﾅﾍﾞﾁｮｳﾋﾗｺ,5110212,24
員弁町松名新田,ｲﾅﾍﾞﾁｮｳﾏﾂﾅｼﾝﾃﾞﾝ,5110211,24
員弁町松之木,ｲﾅﾍﾞﾁｮｳﾏﾂﾉｷ,5110216,24
員弁町御薗,ｲﾅﾍﾞﾁｮｳﾐｿﾉ,5110222,24
大安町石榑北山,ﾀﾞｲｱﾝﾁｮｳｲｼｸﾞﾚｷﾀﾔﾏ,5110267,24
大安町石榑下,ﾀﾞｲｱﾝﾁｮｳｲｼｸﾞﾚｼﾓ,5110276,24
大安町石榑東,ﾀﾞｲｱﾝﾁｮｳｲｼｸﾞﾚﾋｶﾞｼ,5110264,24
大安町石榑南,ﾀﾞｲｱﾝﾁｮｳｲｼｸﾞﾚﾐﾅﾐ,5110266,24
大安町石榑北,ﾀﾞｲｱﾝﾁｮｳｲｼｸﾞﾚｷﾀ,5110265,24
大安町宇賀,ﾀﾞｲｱﾝﾁｮｳｳｶﾞ,5110286,24
大安町宇賀新田,ﾀﾞｲｱﾝﾁｮｳｳｶﾞｼﾝﾃﾞﾝ,5110285,24
大安町梅戸,ﾀﾞｲｱﾝﾁｮｳｳﾒﾄﾞ,5110284,24
大安町大泉,ﾀﾞｲｱﾝﾁｮｳｵｵｲｽﾞﾐ,5110282,24
大安町大井田,ﾀﾞｲｱﾝﾁｮｳｵｵｲﾀﾞ,5110274,24
大安町片樋,ﾀﾞｲｱﾝﾁｮｳｶﾀﾋ,5110271,24
大安町高柳,ﾀﾞｲｱﾝﾁｮｳﾀｶﾔﾅｷﾞ,5110272,24
大安町中央ケ丘,ﾀﾞｲｱﾝﾁｮｳﾁｭｳｵｳｶﾞｵｶ,5110287,24
大安町鍋坂,ﾀﾞｲｱﾝﾁｮｳﾅﾍﾞｻｶ,5110275,24
大安町丹生川上,ﾀﾞｲｱﾝﾁｮｳﾆｭｳｶﾞﾜｶﾐ,5110261,24
大安町丹生川中,ﾀﾞｲｱﾝﾁｮｳﾆｭｳｶﾞﾜﾅｶ,5110262,24
大安町丹生川久下,ﾀﾞｲｱﾝﾁｮｳﾆｭｳｶﾞﾜﾋｻｶ,5110263,24
大安町平塚,ﾀﾞｲｱﾝﾁｮｳﾋﾗﾂｶ,5110273,24
大安町南金井,ﾀﾞｲｱﾝﾁｮｳﾐﾅﾐｶﾅｲ,5110283,24
大安町門前,ﾀﾞｲｱﾝﾁｮｳﾓﾝｾﾞﾝ,5110281,24
藤原町石川,ﾌｼﾞﾜﾗﾁｮｳｲｼｶﾜ,5110514,24
藤原町市場,ﾌｼﾞﾜﾗﾁｮｳｲﾁﾊﾞ,5110511,24
藤原町上之山田,ﾌｼﾞﾜﾗﾁｮｳｳｴﾉﾔﾏﾀﾞ,5110507,24
藤原町大貝戸,ﾌｼﾞﾜﾗﾁｮｳｵｵｶﾞｲﾄ,5110517,24
藤原町鼎,ﾌｼﾞﾜﾗﾁｮｳｶﾅｴ,5110501,24
藤原町上相場,ﾌｼﾞﾜﾗﾁｮｳｶﾐｱｲﾊﾞ,5110502,24
藤原町川合,ﾌｼﾞﾜﾗﾁｮｳｶﾜｲ,5110504,24
藤原町坂本,ﾌｼﾞﾜﾗﾁｮｳｻｶﾓﾄ,5110518,24
藤原町篠立,ﾌｼﾞﾜﾗﾁｮｳｼﾉﾀﾞﾁ,5110522,24
藤原町下相場,ﾌｼﾞﾜﾗﾁｮｳｼﾓｱｲﾊﾞ,5110503,24
藤原町下野尻,ﾌｼﾞﾜﾗﾁｮｳｼﾓﾉｼﾞﾘ,5110513,24
藤原町志礼石新田,ﾌｼﾞﾜﾗﾁｮｳｼﾚｲｼｼﾝﾃﾞﾝ,5110512,24
藤原町東禅寺,ﾌｼﾞﾜﾗﾁｮｳﾄｳｾﾞﾝｼﾞ,5110515,24
藤原町長尾,ﾌｼﾞﾜﾗﾁｮｳﾅｶﾞｵ,5110506,24
藤原町西野尻,ﾌｼﾞﾜﾗﾁｮｳﾆｼﾉｼﾞﾘ,5110516,24
藤原町日内,ﾌｼﾞﾜﾗﾁｮｳﾋﾅｲ,5110505,24
藤原町藤ケ丘,ﾌｼﾞﾜﾗﾁｮｳﾌｼﾞｶﾞｵｶ,5110508,24
藤原町古田,ﾌｼﾞﾜﾗﾁｮｳﾌﾙﾀ,5110521,24
藤原町別名,ﾌｼﾞﾜﾗﾁｮｳﾍﾞﾂﾐｮｳ,5110519,24
藤原町本郷,ﾌｼﾞﾜﾗﾁｮｳﾎﾝｺﾞｳ,5110523,24
藤原町山口,ﾌｼﾞﾜﾗﾁｮｳﾔﾏｸﾞﾁ,5110524,24
北勢町阿下喜,ﾎｸｾｲﾁｮｳｱｹﾞｷ,5110428,24
北勢町飯倉,ﾎｸｾｲﾁｮｳｲｸﾞﾗ,5110416,24
北勢町麻生田,ﾎｸｾｲﾁｮｳｵｳﾀﾞ,5110427,24
北勢町大辻新田,ﾎｸｾｲﾁｮｳｵｵﾂｼﾞｼﾝﾃﾞﾝ,5110425,24
北勢町奥村,ﾎｸｾｲﾁｮｳｵｸﾑﾗ,5110435,24
北勢町垣内,ﾎｸｾｲﾁｮｳｶｲﾄ,5110437,24
北勢町川原,ﾎｸｾｲﾁｮｳｶﾜﾊﾗ,5110401,24
北勢町北中津原,ﾎｸｾｲﾁｮｳｷﾀﾅｶﾂﾊﾗ,5110422,24
