another_name,another_name_kana,post_id,prefecture_id
,,0000000,23
青塚,ｱｵﾂｶ,4840945,23
味加田,ｱｼﾞｶﾀ,4840921,23
荒井,ｱﾗｲ,4840837,23
池田,ｲｹﾀﾞ,4840887,23
池野安楽寺,ｲｹﾉｱｽﾞｸｼ,4840032,23
石塚,ｲｼﾂﾞｶ,4840862,23
石畑,ｲｼﾊﾀ,4840053,23
稲干場,ｲﾅﾎｼﾊﾞ,4840056,23
犬山,ｲﾇﾔﾏ,4840081,23
井ノ元,ｲﾉﾓﾄ,4840033,23
今井,ｲﾏｲ,4840005,23
杁下,ｲﾘｼﾀ,4840021,23
岩穴,ｲﾜｱﾅ,4840008,23
岩田,ｲﾜﾀ,4840872,23
牛岩,ｳｼｲﾜ,4840055,23
内久保,ｳﾁｸﾎﾞ,4840047,23
内田東町,ｳﾁﾀﾞﾋｶﾞｼﾏﾁ,4840071,23
内屋敷,ｳﾁﾔｼｷ,4840026,23
梅坪,ｳﾒﾂﾎﾞ,4840074,23
裏之門,ｳﾗﾉﾓﾝ,4840854,23
裏山,ｳﾗﾔﾏ,4840035,23
追分,ｵｲﾜｹ,4840902,23
追分東,ｵｲﾜｹﾋｶﾞｼ,4840903,23
大洞,ｵｵﾎﾞﾗ,4840034,23
落添,ｵﾁｿﾞｴ,4840962,23
垣ノ内,ｶｷﾉｳﾁ,4840001,23
柿畑,ｶｷﾊﾞﾀ,4840901,23
角池,ｶｸｲｹ,4840955,23
楽田青塚,ｶﾞｸﾃﾞﾝｱｵﾂｶ,4840936,23
楽田安師,ｶﾞｸﾃﾞﾝｱﾝｼ,4840944,23
楽田一色浦,ｶﾞｸﾃﾞﾝｲｼｷｳﾗ,4840926,23
楽田今村,ｶﾞｸﾃﾞﾝｲﾏﾑﾗ,4840874,23
楽田内久保,ｶﾞｸﾃﾞﾝｳﾁｸﾎﾞ,4840048,23
楽田打越,ｶﾞｸﾃﾞﾝｳﾁｺｼ,4840843,23
楽田大橋,ｶﾞｸﾃﾞﾝｵｵﾊｼ,4840924,23
楽田勝部前,ｶﾞｸﾃﾞﾝｶﾁﾍﾞﾏｴ,4840904,23
楽田上沼,ｶﾞｸﾃﾞﾝｶﾐﾇﾏ,4840915,23
楽田小針,ｶﾞｸﾃﾞﾝｺﾊﾞﾘ,4840841,23
楽田地蔵池,ｶﾞｸﾃﾞﾝｼﾞｿﾞｳｲｹ,4840907,23
楽田大円,ｶﾞｸﾃﾞﾝﾀﾞｲｴﾝ,4840947,23
楽田鶴池,ｶﾞｸﾃﾞﾝﾂﾙｲｹ,4840963,23
楽田天神,ｶﾞｸﾃﾞﾝﾃﾝｼﾞﾝ,4840856,23
楽田長塚東,ｶﾞｸﾃﾞﾝﾅｶﾞﾂｶﾋｶﾞｼ,4840811,23
楽田長塚西,ｶﾞｸﾃﾞﾝﾅｶﾞﾂｶﾆｼ,4840819,23
楽田西浦,ｶﾞｸﾃﾞﾝﾆｼｳﾗ,4840916,23
